大类,部门名称,组织员人数,编制人数,本科生,研究生,留学生人数,长期留学生人数,折合学生数,在编-教师,公共课学分,公共课数量,是否公共课,预算约束人数
理,物理科学与工程学院,1,6,522,565,17,7,1372.3,108,40.5,15,1,10
理,数学科学学院,1,7,482,274,16,6,895.4,82,101,22,1,7
理,化学科学与工程学院,1,6,271,412,5,5,891,63,30,12,1,7
理,海洋与地球科学学院,1,7,207,382,22,22,788.8,85,0,0,0,8
理,生命科学与技术学院,1,8,336,662,17,10,1333,104,0,0,0,11
工,机械工程与机器人学院,2,13,1189,949,50,47,2631.3,98,23,8,1,16
工,测绘与地理信息学院,1,6,348,396,14,2,942.8,53,5,2,1,6
工,计算机科学与技术学院（软件学院）,2,10,1440,933,116,87,2874.3,121,33.5,14,1,15
工,汽车与能源学院,2,11,841,1024,13,8,2380.2,270,0,0,0,13
工,材料科学与工程学院,1,10,499,716,15,15,1579,92,2,1,1,11
工,电子与信息工程学院,2,15,1687,1247,161,95,3595.5,203,14,5,1,20
工,环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,2,16,377,1208,244,198,2268.2,318,0,0,0,16
工,土木工程学院,5,25,859,2611,481,368,4922.7,558,7,3,1,33
工,交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,2,21,996,1509,103,46,3277.9,191,0,0,0,22
工,建筑与城市规划学院,3,21,701,1373,711,374,2910.1,214,0,0,0,22
工,航空航天与力学学院,1,7,438,381,12,7,1012.3,73,17,5,1,7
工,中德工程学院，职业技术教育学院,1,8,631,107,228,105,833.5,58,0,0,0,5
医,医学院,4,19,1147,2883,214,180,5543.5,137,0,0,0,30
文,设计创意学院,1,8,438,303,176,139,948.1,52,0,0,0,8
文,人文学院,1,7,318,367,16,16,874.9,92,2,1,1,7
文,外国语学院,1,12,398,287,13,13,833.7,152,54,25,1,11
文,经济与管理学院,2,22,862,1271,548,522,2977.3,169,2,1,1,21
文,政治与国际关系学院,1,4,211,191,66,58,520.7,48,0,0,0,4
文,艺术与传媒学院,1,8,604,249,77,72,1006.3,75,6,2,1,7
文,上海国际知识产权学院,1,4,0,200,77,77,330.8,30,0,0,0,3
文,马克思主义学院,1,8,112,241,0,0,473.5,70,25,13,1,6
文,国际文化交流学院,1,5,99,23,858,750,433.5,24,0,0,0,4
文,法学院,1,6,330,258,41,41,733.4,49,0,0,0,4
文,体育部（国际足球学院）,1,12,225,123,6,6,411.9,192,0,0,0,8
医,医学与生命科学部,1,2,0,0,0,0,0,0,0,0,0,0
文,出国培训学院，留德预备部,0,0,0,0,0,0,0,12,0,0,0,0
文,网络教育学院，继续教育学院,1,9,0,0,101,6,2.4,8,0,0,0,0
文,中德学院,1,3,0,1,0,0,1.5,1,0,0,0,0
文,创新创业学院,1,6,0,0,0,0,0,1,0,0,0,0
工,新生院,1,3,48,0,0,0,48,0,0,0,0,0
工,国豪书院（未来技术学院）,2,8,1600,0,0,0,1600,0,0,0,0,0
工,国家卓越工程师学院，国际工程师学院,1,6,0,0,0,0,0,0,0,0,0,0
工,中意工程创新学院,1,0,0,0,0,0,0,0,0,0,0,0
工,启迪书院,1,4,597,0,0,0,597,0,0,0,0,0
医,口腔医学院,1,0,259,189,8,8,545.7,0,0,0,0,0
工,上海自主智能无人系统科学中心,2,11,0,414,0,0,621,10,0,0,0,0
文,同济大学上海国际设计创新学院,0,0,0,180,0,0,270,0,0,0,0,0
