大类,部门名称,组织员人数,本科生,研究生,留学生人数,长期留学生人数,折合学生数,在编-教师,公共课学分,公共课数量,是否公共课,预算约束人数
理,物理科学与工程学院,1,328,255,20,8,713.7,120,40.5,15,1,10
理,数学科学学院,1,364,240,19,7,726.8,110,101,22,1,7
理,化学科学与工程学院,1,308,240,6,6,670.4,90,30,12,1,7
理,海洋与地球科学学院,1,260,210,25,24,584.6,100,0,0,0,8
理,生命科学与技术学院,1,302,255,20,11,688.9,120,0,0,0,11
工,机械工程与机器人学院,2,664,780,56,52,1854.8,105,23,8,1,16
工,测绘与地理信息学院,1,204,300,30,4,655.6,80,5,2,1,6
工,计算机科学与技术学院（软件学院）,2,990,1050,127,96,2603.4,200,33.5,14,1,15
工,汽车与能源学院,2,704,810,15,9,1922.6,125,0,0,0,13
工,材料科学与工程学院,1,422,480,20,16,1148.4,120,2,1,1,11
工,电子与信息工程学院,2,1669,1140,171,104,3420.6,230,14,5,1,20
工,环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,2,364,720,265,218,1531.2,180,0,0,0,16
工,土木工程学院,5,860,960,520,403,2461.2,255,7,3,1,33
工,交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,2,904,900,109,51,2274.4,200,0,0,0,22
工,建筑与城市规划学院,3,712,900,757,409,2225.6,230,0,0,0,22
工,航空航天与力学学院,1,352,255,20,8,737.7,100,17,5,1,7
工,中德工程学院，职业技术教育学院,1,2880,0,265,115,2926,20,0,0,0,5
医,医学院,4,1060,1590,234,198,3524.2,180,0,0,0,30
文,设计创意学院,1,320,420,200,153,1011.2,55,0,0,0,8
文,人文学院,1,397,285,30,18,831.7,95,2,1,1,7
文,外国语学院,1,368,255,20,14,756.1,140,54,25,1,11
文,经济与管理学院,2,660,1200,600,572,2688.8,180,2,1,1,21
文,政治与国际关系学院,1,184,150,74,64,434.6,50,0,0,0,4
文,艺术与传媒学院,1,589,240,120,79,980.6,70,6,2,1,7
文,上海国际知识产权学院,1,0,210,85,85,349,35,0,0,0,3
文,马克思主义学院,1,112,165,0,0,359.5,80,25,13,1,6
文,国际文化交流学院,1,0,0,1000,825,330,24,0,0,0,4
文,法学院,1,283,270,45,45,706,50,0,0,0,4
文,体育部（国际足球学院）,1,256,120,20,7,438.8,86,0,0,0,8
医,医学与生命科学部,1,0,0,0,0,0,0,0,0,0,0
文,出国培训学院，留德预备部,0,0,0,0,0,0,6,0,0,0,0
文,网络教育学院，继续教育学院,1,0,0,104,7,2.8,8,0,0,0,0
文,中德学院,1,0,120,0,0,180,1,0,0,0,0
文,创新创业学院,1,0,0,0,0,0,1,0,0,0,0
工,新生院,1,48,0,0,0,48,0,0,0,0,0
工,国豪书院（未来技术学院）,2,1940,0,0,0,1940,0,0,0,0,0
工,国家卓越工程师学院，国际工程师学院,1,0,0,0,0,0,0,0,0,0,0
工,中意工程创新学院,1,0,300,0,0,450,0,0,0,0,0
工,启迪书院,1,1600,0,0,0,1600,0,0,0,0,0
医,口腔医学院,1,224,180,9,9,497.6,0,0,0,0,0
工,上海自主智能无人系统科学中心,2,0,0,0,0,0,0,0,0,0,0
文,同济大学上海国际设计创新学院,0,0,177,0,0,265.5,0,0,0,0,0
