部门名称,实际编制,GPR预测(含组织员),预算约束,约束后总编(含组织员),正科(20%),副科(30%),科级以下(50%)
物理科学与工程学院,6,7.81,10,7.81,1.36,2.04,3.41
数学科学学院,6,7.63,7,7.0,1.2,1.8,3.0
化学科学与工程学院,7,7.14,7,7.0,1.2,1.8,3.0
海洋与地球科学学院,8,7.07,8,7.07,1.21,1.82,3.03
生命科学与技术学院,8,8.62,11,8.62,1.52,2.29,3.81
机械工程与机器人学院,11,9.3,16,9.3,1.46,2.19,3.65
测绘与地理信息学院,5,7.04,6,6.0,1.0,1.5,2.5
计算机科学与技术学院（软件学院）,12,9.71,15,9.71,1.54,2.31,3.86
汽车与能源学院,11,17.63,13,13.0,2.2,3.3,5.5
材料科学与工程学院,9,9.45,11,9.45,1.69,2.53,4.22
电子与信息工程学院,16,18.51,20,18.51,3.3,4.95,8.26
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,17,15.16,16,15.16,2.63,3.95,6.58
土木工程学院,27,21.52,33,21.52,3.3,4.96,8.26
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,20,20.74,22,20.74,3.75,5.62,9.37
建筑与城市规划学院,20,19.54,22,19.54,3.31,4.96,8.27
航空航天与力学学院,7,6.64,7,6.64,1.13,1.69,2.82
医学院,22,19.87,30,19.87,3.17,4.76,7.94
设计创意学院,9,7.58,8,7.58,1.32,1.97,3.29
人文学院,7,6.96,7,6.96,1.19,1.79,2.98
外国语学院,12,10.54,11,10.54,1.91,2.86,4.77
经济与管理学院,22,19.1,21,19.1,3.42,5.13,8.55
政治与国际关系学院,3,6.85,4,4.0,0.6,0.9,1.5
艺术与传媒学院,7,7.2,7,7.0,1.2,1.8,3.0
马克思主义学院,8,7.29,6,6.0,1.0,1.5,2.5
国际文化交流学院,4,6.83,4,4.0,0.6,0.9,1.5
法学院,6,6.98,4,4.0,0.6,0.9,1.5
体育部（国际足球学院）,11,6.83,8,6.83,1.17,1.75,2.92
