部门名称,实际编制,GPR预测(含组织员),预算约束,约束后总编(含组织员),正科(20%),副科(30%),科级以下(50%)
物理科学与工程学院,6,6.65,10,6.65,1.13,1.7,2.83
数学科学学院,6,8.95,7,7.0,1.2,1.8,3.0
化学科学与工程学院,7,6.46,7,6.46,1.09,1.64,2.73
海洋与地球科学学院,8,7.1,8,7.1,1.22,1.83,3.05
生命科学与技术学院,8,8.84,11,8.84,1.57,2.35,3.92
机械工程与机器人学院,11,9.86,16,9.86,1.57,2.36,3.93
测绘与地理信息学院,5,7.16,6,6.0,1.0,1.5,2.5
计算机科学与技术学院（软件学院）,12,9.32,15,9.32,1.46,2.19,3.66
汽车与能源学院,11,17.48,13,13.0,2.2,3.3,5.5
材料科学与工程学院,9,9.63,11,9.63,1.73,2.59,4.31
电子与信息工程学院,16,18.79,20,18.79,3.36,5.04,8.39
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,17,15.15,16,15.15,2.63,3.95,6.58
土木工程学院,27,21.51,33,21.51,3.3,4.95,8.26
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,20,20.44,22,20.44,3.69,5.53,9.22
建筑与城市规划学院,20,19.29,22,19.29,3.26,4.89,8.14
航空航天与力学学院,7,6.87,7,6.87,1.17,1.76,2.94
医学院,22,20.05,30,20.05,3.21,4.82,8.03
设计创意学院,9,7.73,8,7.73,1.35,2.02,3.36
人文学院,7,6.97,7,6.97,1.19,1.79,2.98
外国语学院,12,10.36,11,10.36,1.87,2.81,4.68
经济与管理学院,22,18.8,21,18.8,3.36,5.04,8.4
政治与国际关系学院,3,6.75,4,4.0,0.6,0.9,1.5
艺术与传媒学院,7,7.43,7,7.0,1.2,1.8,3.0
马克思主义学院,8,6.97,6,6.0,1.0,1.5,2.5
国际文化交流学院,4,6.66,4,4.0,0.6,0.9,1.5
法学院,6,6.97,4,4.0,0.6,0.9,1.5
体育部（国际足球学院）,11,6.64,8,6.64,1.13,1.69,2.82
