部门名称,实际编制,GPR预测(含组织员),预算约束,约束后总编(含组织员),正科(20%),副科(30%),科级以下(50%)
物理科学与工程学院,6,7.98,10,7.98,1.4,2.1,3.49
数学科学学院,6,7.54,7,7.0,1.2,1.8,3.0
化学科学与工程学院,7,7.54,7,7.0,1.2,1.8,3.0
海洋与地球科学学院,8,7.07,8,7.07,1.21,1.82,3.03
生命科学与技术学院,8,8.65,11,8.65,1.53,2.29,3.82
机械工程与机器人学院,11,10.65,16,10.65,1.73,2.6,4.33
测绘与地理信息学院,5,7.57,6,6.0,1.0,1.5,2.5
计算机科学与技术学院（软件学院）,12,13.7,15,13.7,2.34,3.51,5.85
汽车与能源学院,11,17.16,13,13.0,2.2,3.3,5.5
材料科学与工程学院,9,8.47,11,8.47,1.49,2.24,3.73
电子与信息工程学院,16,18.06,20,18.06,3.21,4.82,8.03
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,17,14.84,16,14.84,2.57,3.85,6.42
土木工程学院,27,23.39,33,23.39,3.68,5.52,9.19
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,20,20.09,22,20.09,3.62,5.43,9.04
建筑与城市规划学院,20,18.96,22,18.96,3.19,4.79,7.98
航空航天与力学学院,7,7.61,7,7.0,1.2,1.8,3.0
医学院,22,19.01,30,19.01,3.0,4.5,7.5
设计创意学院,9,7.62,8,7.62,1.32,1.98,3.31
人文学院,7,7.53,7,7.0,1.2,1.8,3.0
外国语学院,12,7.53,11,7.53,1.31,1.96,3.27
经济与管理学院,22,15.13,21,15.13,2.63,3.94,6.57
政治与国际关系学院,3,6.8,4,4.0,0.6,0.9,1.5
艺术与传媒学院,7,7.64,7,7.0,1.2,1.8,3.0
马克思主义学院,8,7.69,6,6.0,1.0,1.5,2.5
国际文化交流学院,4,6.75,4,4.0,0.6,0.9,1.5
法学院,6,6.97,4,4.0,0.6,0.9,1.5
体育部（国际足球学院）,11,6.74,8,6.74,1.15,1.72,2.87
