部门名称,实际编制,GPR预测(含组织员),预算约束,约束后总编(含组织员),正科(20%),副科(30%),科级以下(50%)
物理科学与工程学院,6,8.3,10,8.3,1.46,2.19,3.65
数学科学学院,6,7.33,7,7.0,1.2,1.8,3.0
化学科学与工程学院,7,7.33,7,7.0,1.2,1.8,3.0
海洋与地球科学学院,8,7.23,8,7.23,1.25,1.87,3.11
生命科学与技术学院,8,8.32,11,8.32,1.46,2.2,3.66
机械工程与机器人学院,11,12.02,16,12.02,2.0,3.01,5.01
测绘与地理信息学院,5,7.44,6,6.0,1.0,1.5,2.5
计算机科学与技术学院（软件学院）,12,15.5,15,15.0,2.6,3.9,6.5
汽车与能源学院,11,15.34,13,13.0,2.2,3.3,5.5
材料科学与工程学院,9,9.08,11,9.08,1.62,2.42,4.04
电子与信息工程学院,16,19.58,20,19.58,3.52,5.28,8.79
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,17,13.29,16,13.29,2.26,3.39,5.64
土木工程学院,27,21.61,33,21.61,3.32,4.98,8.31
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,20,18.17,22,18.17,3.23,4.85,8.09
建筑与城市规划学院,20,17.03,22,17.03,2.81,4.21,7.02
航空航天与力学学院,7,7.56,7,7.0,1.2,1.8,3.0
医学院,22,20.2,30,20.2,3.24,4.86,8.1
设计创意学院,9,7.58,8,7.58,1.32,1.97,3.29
人文学院,7,7.24,7,7.0,1.2,1.8,3.0
外国语学院,12,7.21,11,7.21,1.24,1.86,3.1
经济与管理学院,22,16.96,21,16.96,2.99,4.49,7.48
政治与国际关系学院,3,7.09,4,4.0,0.6,0.9,1.5
艺术与传媒学院,7,7.63,7,7.0,1.2,1.8,3.0
马克思主义学院,8,7.09,6,6.0,1.0,1.5,2.5
国际文化交流学院,4,7.09,4,4.0,0.6,0.9,1.5
法学院,6,7.17,4,4.0,0.6,0.9,1.5
体育部（国际足球学院）,11,7.09,8,7.09,1.22,1.83,3.05
