部门名称,实际编制,GPR预测(含组织员),预算约束,约束后总编(含组织员),正科(20%),副科(30%),科级以下(50%)
物理科学与工程学院,11,10.83,10,10.0,1.8,2.7,4.5
数学科学学院,9,10.11,7,7.0,1.2,1.8,3.0
化学科学与工程学院,9,8.32,7,7.0,1.2,1.8,3.0
海洋与地球科学学院,11,9.96,8,8.0,1.4,2.1,3.5
生命科学与技术学院,11,10.87,11,10.87,1.97,2.96,4.93
机械工程与机器人学院,9,10.7,16,10.7,1.74,2.61,4.35
测绘与地理信息学院,8,9.43,6,6.0,1.0,1.5,2.5
计算机科学与技术学院（软件学院）,11,9.39,15,9.39,1.48,2.22,3.7
汽车与能源学院,11,11.26,13,11.26,1.85,2.78,4.63
材料科学与工程学院,11,11.59,11,11.0,2.0,3.0,5.0
电子与信息工程学院,13,11.83,20,11.83,1.97,2.95,4.91
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,13,11.83,16,11.83,1.97,2.95,4.92
土木工程学院,17,14.08,33,14.08,1.82,2.73,4.54
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,13,13.77,22,13.77,2.35,3.53,5.89
建筑与城市规划学院,15,14.49,22,14.49,2.3,3.45,5.75
航空航天与力学学院,10,9.99,7,7.0,1.2,1.8,3.0
医学院,12,9.3,30,9.3,1.06,1.59,2.65
设计创意学院,8,7.54,8,7.54,1.31,1.96,3.27
人文学院,10,9.21,7,7.0,1.2,1.8,3.0
外国语学院,11,10.94,11,10.94,1.99,2.98,4.97
经济与管理学院,13,12.25,21,12.25,2.05,3.07,5.12
政治与国际关系学院,8,9.65,4,4.0,0.6,0.9,1.5
艺术与传媒学院,9,10.08,7,7.0,1.2,1.8,3.0
马克思主义学院,10,10.05,6,6.0,1.0,1.5,2.5
国际文化交流学院,6,7.67,4,4.0,0.6,0.9,1.5
法学院,8,8.76,4,4.0,0.6,0.9,1.5
体育部（国际足球学院）,10,9.81,8,8.0,1.4,2.1,3.5
