部门名称,实际编制,GPR预测(含组织员),预算约束,约束后总编(含组织员),正科(20%),副科(30%),科级以下(50%)
物理科学与工程学院,6,6.65,10,6.65,1.13,1.69,2.82
数学科学学院,6,7.14,7,7.0,1.2,1.8,3.0
化学科学与工程学院,7,6.45,7,6.45,1.09,1.63,2.72
海洋与地球科学学院,8,6.53,8,6.53,1.11,1.66,2.76
生命科学与技术学院,8,8.74,11,8.74,1.55,2.32,3.87
机械工程与机器人学院,11,10.57,16,10.57,1.71,2.57,4.29
测绘与地理信息学院,5,6.04,6,6.0,1.0,1.5,2.5
计算机科学与技术学院（软件学院）,12,9.74,15,9.74,1.55,2.32,3.87
汽车与能源学院,11,20.37,13,13.0,2.2,3.3,5.5
材料科学与工程学院,9,10.01,11,10.01,1.8,2.7,4.51
电子与信息工程学院,16,14.45,20,14.45,2.49,3.74,6.23
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,17,17.22,16,16.0,2.8,4.2,7.0
土木工程学院,27,18.0,33,18.0,2.6,3.9,6.5
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,20,21.42,22,21.42,3.88,5.83,9.71
建筑与城市规划学院,20,18.65,22,18.65,3.13,4.7,7.83
航空航天与力学学院,7,6.74,7,6.74,1.15,1.72,2.87
医学院,22,18.39,30,18.39,2.88,4.32,7.19
设计创意学院,9,7.44,8,7.44,1.29,1.93,3.22
人文学院,7,7.06,7,7.0,1.2,1.8,3.0
外国语学院,12,12.0,11,11.0,2.0,3.0,5.0
经济与管理学院,22,20.66,21,20.66,3.73,5.6,9.33
政治与国际关系学院,3,5.16,4,4.0,0.6,0.9,1.5
艺术与传媒学院,7,8.56,7,7.0,1.2,1.8,3.0
马克思主义学院,8,7.86,6,6.0,1.0,1.5,2.5
国际文化交流学院,4,4.88,4,4.0,0.6,0.9,1.5
法学院,6,5.96,4,4.0,0.6,0.9,1.5
体育部（国际足球学院）,11,7.07,8,7.07,1.21,1.82,3.04
