部门名称,实际编制,GPR预测(含组织员),预算约束,约束后总编(含组织员),正科(20%),副科(30%),科级以下(50%)
物理科学与工程学院,6,8.87,10,8.87,1.57,2.36,3.93
数学科学学院,6,7.31,7,7.0,1.2,1.8,3.0
化学科学与工程学院,7,6.4,7,6.4,1.08,1.62,2.7
海洋与地球科学学院,8,6.66,8,6.66,1.13,1.7,2.83
生命科学与技术学院,8,8.99,11,8.99,1.6,2.4,3.99
机械工程与机器人学院,11,10.22,16,10.22,1.64,2.47,4.11
测绘与地理信息学院,5,6.09,6,6.0,1.0,1.5,2.5
计算机科学与技术学院（软件学院）,12,9.55,15,9.55,1.51,2.26,3.77
汽车与能源学院,11,17.16,13,13.0,2.2,3.3,5.5
材料科学与工程学院,9,8.61,11,8.61,1.52,2.28,3.8
电子与信息工程学院,16,14.72,20,14.72,2.54,3.82,6.36
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,17,17.05,16,16.0,2.8,4.2,7.0
土木工程学院,27,22.2,33,22.2,3.44,5.16,8.6
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,20,20.73,22,20.73,3.75,5.62,9.37
建筑与城市规划学院,20,18.65,22,18.65,3.13,4.7,7.83
航空航天与力学学院,7,7.04,7,7.0,1.2,1.8,3.0
医学院,22,18.26,30,18.26,2.85,4.28,7.13
设计创意学院,9,7.48,8,7.48,1.3,1.94,3.24
人文学院,7,7.65,7,7.0,1.2,1.8,3.0
外国语学院,12,10.66,11,10.66,1.93,2.9,4.83
经济与管理学院,22,20.75,21,20.75,3.75,5.62,9.37
政治与国际关系学院,3,5.21,4,4.0,0.6,0.9,1.5
艺术与传媒学院,7,7.32,7,7.0,1.2,1.8,3.0
马克思主义学院,8,7.62,6,6.0,1.0,1.5,2.5
国际文化交流学院,4,4.83,4,4.0,0.6,0.9,1.5
法学院,6,6.09,4,4.0,0.6,0.9,1.5
体育部（国际足球学院）,11,7.2,8,7.2,1.24,1.86,3.1
