部门名称,实际编制,GPR预测(含组织员),预算约束,约束后总编(含组织员),正科(20%),副科(30%),科级以下(50%)
物理科学与工程学院,6,6.73,10,6.73,1.15,1.72,2.87
数学科学学院,6,7.18,7,7.0,1.2,1.8,3.0
化学科学与工程学院,7,6.46,7,6.46,1.09,1.64,2.73
海洋与地球科学学院,8,6.83,8,6.83,1.17,1.75,2.91
生命科学与技术学院,8,8.57,11,8.57,1.51,2.27,3.79
机械工程与机器人学院,11,10.53,16,10.53,1.71,2.56,4.27
测绘与地理信息学院,5,6.1,6,6.0,1.0,1.5,2.5
计算机科学与技术学院（软件学院）,12,9.47,15,9.47,1.49,2.24,3.73
汽车与能源学院,11,18.66,13,13.0,2.2,3.3,5.5
材料科学与工程学院,9,9.48,11,9.48,1.7,2.54,4.24
电子与信息工程学院,16,14.43,20,14.43,2.49,3.73,6.22
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,17,16.09,16,16.0,2.8,4.2,7.0
土木工程学院,27,21.29,33,21.29,3.26,4.89,8.15
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,20,20.52,22,20.52,3.7,5.55,9.26
建筑与城市规划学院,20,21.16,22,21.16,3.63,5.45,9.08
航空航天与力学学院,7,6.87,7,6.87,1.17,1.76,2.93
医学院,22,18.62,30,18.62,2.92,4.39,7.31
设计创意学院,9,8.26,8,8.0,1.4,2.1,3.5
人文学院,7,7.19,7,7.0,1.2,1.8,3.0
外国语学院,12,12.09,11,11.0,2.0,3.0,5.0
经济与管理学院,22,21.85,21,21.0,3.8,5.7,9.5
政治与国际关系学院,3,4.73,4,4.0,0.6,0.9,1.5
艺术与传媒学院,7,8.53,7,7.0,1.2,1.8,3.0
马克思主义学院,8,7.73,6,6.0,1.0,1.5,2.5
国际文化交流学院,4,5.07,4,4.0,0.6,0.9,1.5
法学院,6,5.64,4,4.0,0.6,0.9,1.5
体育部（国际足球学院）,11,6.95,8,6.95,1.19,1.78,2.97
