部门名称,实际编制,GPR预测(含组织员),预算约束,约束后总编(含组织员),正科(20%),副科(30%),科级以下(50%)
物理科学与工程学院,6,6.29,10,6.29,1.06,1.59,2.64
数学科学学院,6,7.31,7,7.0,1.2,1.8,3.0
化学科学与工程学院,7,6.25,7,6.25,1.05,1.57,2.62
海洋与地球科学学院,8,6.8,8,6.8,1.16,1.74,2.9
生命科学与技术学院,8,8.66,11,8.66,1.53,2.3,3.83
机械工程与机器人学院,11,10.69,16,10.69,1.74,2.61,4.34
测绘与地理信息学院,5,6.12,6,6.0,1.0,1.5,2.5
计算机科学与技术学院（软件学院）,12,9.55,15,9.55,1.51,2.26,3.77
汽车与能源学院,11,17.8,13,13.0,2.2,3.3,5.5
材料科学与工程学院,9,9.49,11,9.49,1.7,2.55,4.24
电子与信息工程学院,16,14.46,20,14.46,2.49,3.74,6.23
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,17,16.36,16,16.0,2.8,4.2,7.0
土木工程学院,27,21.71,33,21.71,3.34,5.01,8.36
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,20,20.46,22,20.46,3.69,5.54,9.23
建筑与城市规划学院,20,21.21,22,21.21,3.64,5.46,9.1
航空航天与力学学院,7,6.91,7,6.91,1.18,1.77,2.95
医学院,22,18.59,30,18.59,2.92,4.38,7.29
设计创意学院,9,8.27,8,8.0,1.4,2.1,3.5
人文学院,7,7.17,7,7.0,1.2,1.8,3.0
外国语学院,12,12.01,11,11.0,2.0,3.0,5.0
经济与管理学院,22,21.87,21,21.0,3.8,5.7,9.5
政治与国际关系学院,3,4.7,4,4.0,0.6,0.9,1.5
艺术与传媒学院,7,8.49,7,7.0,1.2,1.8,3.0
马克思主义学院,8,7.78,6,6.0,1.0,1.5,2.5
国际文化交流学院,4,5.09,4,4.0,0.6,0.9,1.5
法学院,6,5.64,4,4.0,0.6,0.9,1.5
体育部（国际足球学院）,11,6.88,8,6.88,1.18,1.77,2.94
