部门名称,实际编制,GPR预测(含组织员),预算约束,约束后总编(含组织员),正科(20%),副科(30%),科级以下(50%)
物理科学与工程学院,6,8.9,10,8.9,1.58,2.37,3.95
数学科学学院,6,7.34,7,7.0,1.2,1.8,3.0
化学科学与工程学院,7,6.86,7,6.86,1.17,1.76,2.93
海洋与地球科学学院,8,7.21,8,7.21,1.24,1.86,3.1
生命科学与技术学院,8,8.67,11,8.67,1.53,2.3,3.84
机械工程与机器人学院,11,9.35,16,9.35,1.47,2.2,3.67
测绘与地理信息学院,5,6.73,6,6.0,1.0,1.5,2.5
计算机科学与技术学院（软件学院）,12,11.83,15,11.83,1.97,2.95,4.92
汽车与能源学院,11,13.34,13,13.0,2.2,3.3,5.5
材料科学与工程学院,9,8.74,11,8.74,1.55,2.32,3.87
电子与信息工程学院,16,14.92,20,14.92,2.58,3.88,6.46
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,17,14.48,16,14.48,2.5,3.74,6.24
土木工程学院,27,24.91,33,24.91,3.98,5.97,9.96
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,20,17.01,22,17.01,3.0,4.5,7.5
建筑与城市规划学院,20,21.44,22,21.44,3.69,5.53,9.22
航空航天与力学学院,7,7.47,7,7.0,1.2,1.8,3.0
医学院,22,19.68,30,19.68,3.14,4.71,7.84
设计创意学院,9,7.69,8,7.69,1.34,2.01,3.34
人文学院,7,7.69,7,7.0,1.2,1.8,3.0
外国语学院,12,9.41,11,9.41,1.68,2.52,4.2
经济与管理学院,22,20.96,21,20.96,3.79,5.69,9.48
政治与国际关系学院,3,5.73,4,4.0,0.6,0.9,1.5
艺术与传媒学院,7,7.83,7,7.0,1.2,1.8,3.0
马克思主义学院,8,6.66,6,6.0,1.0,1.5,2.5
国际文化交流学院,4,5.84,4,4.0,0.6,0.9,1.5
法学院,6,6.19,4,4.0,0.6,0.9,1.5
体育部（国际足球学院）,11,6.9,8,6.9,1.18,1.77,2.95
