部门名称,实际编制,GPR预测(含组织员),预算约束,约束后总编(含组织员),正科(20%),副科(30%),科级以下(50%)
物理科学与工程学院,6,8.66,10,8.66,1.53,2.3,3.83
数学科学学院,6,7.22,7,7.0,1.2,1.8,3.0
化学科学与工程学院,7,6.3,7,6.3,1.06,1.59,2.65
海洋与地球科学学院,8,7.53,8,7.53,1.31,1.96,3.27
生命科学与技术学院,8,8.55,11,8.55,1.51,2.27,3.78
机械工程与机器人学院,11,10.25,16,10.25,1.65,2.47,4.12
测绘与地理信息学院,5,6.12,6,6.0,1.0,1.5,2.5
计算机科学与技术学院（软件学院）,12,10.25,15,10.25,1.65,2.47,4.12
汽车与能源学院,11,13.94,13,13.0,2.2,3.3,5.5
材料科学与工程学院,9,8.53,11,8.53,1.51,2.26,3.77
电子与信息工程学院,16,14.37,20,14.37,2.47,3.71,6.19
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,17,16.37,16,16.0,2.8,4.2,7.0
土木工程学院,27,22.09,33,22.09,3.42,5.13,8.55
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,20,19.5,22,19.5,3.5,5.25,8.75
建筑与城市规划学院,20,21.16,22,21.16,3.63,5.45,9.08
航空航天与力学学院,7,7.14,7,7.0,1.2,1.8,3.0
医学院,22,18.73,30,18.73,2.95,4.42,7.36
设计创意学院,9,7.69,8,7.69,1.34,2.01,3.35
人文学院,7,7.53,7,7.0,1.2,1.8,3.0
外国语学院,12,9.84,11,9.84,1.77,2.65,4.42
经济与管理学院,22,21.6,21,21.0,3.8,5.7,9.5
政治与国际关系学院,3,5.7,4,4.0,0.6,0.9,1.5
艺术与传媒学院,7,7.8,7,7.0,1.2,1.8,3.0
马克思主义学院,8,6.63,6,6.0,1.0,1.5,2.5
国际文化交流学院,4,5.3,4,4.0,0.6,0.9,1.5
法学院,6,5.96,4,4.0,0.6,0.9,1.5
体育部（国际足球学院）,11,7.83,8,7.83,1.37,2.05,3.42
