部门名称,实际编制,GPR预测(含组织员),预算约束,约束后总编(含组织员),正科(20%),副科(30%),科级以下(50%)
物理科学与工程学院,6,6.69,10,6.69,1.14,1.71,2.84
数学科学学院,6,7.17,7,7.0,1.2,1.8,3.0
化学科学与工程学院,7,6.48,7,6.48,1.1,1.64,2.74
海洋与地球科学学院,8,6.82,8,6.82,1.16,1.75,2.91
生命科学与技术学院,8,8.55,11,8.55,1.51,2.26,3.77
机械工程与机器人学院,11,10.51,16,10.51,1.7,2.55,4.25
测绘与地理信息学院,5,6.09,6,6.0,1.0,1.5,2.5
计算机科学与技术学院（软件学院）,12,9.38,15,9.38,1.48,2.21,3.69
汽车与能源学院,11,19.19,13,13.0,2.2,3.3,5.5
材料科学与工程学院,9,9.51,11,9.51,1.7,2.55,4.26
电子与信息工程学院,16,14.34,20,14.34,2.47,3.7,6.17
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,17,15.58,16,15.58,2.72,4.07,6.79
土木工程学院,27,19.77,33,19.77,2.95,4.43,7.38
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,20,20.41,22,20.41,3.68,5.52,9.2
建筑与城市规划学院,20,21.53,22,21.53,3.71,5.56,9.26
航空航天与力学学院,7,6.84,7,6.84,1.17,1.75,2.92
医学院,22,18.63,30,18.63,2.93,4.39,7.32
设计创意学院,9,8.24,8,8.0,1.4,2.1,3.5
人文学院,7,7.15,7,7.0,1.2,1.8,3.0
外国语学院,12,12.12,11,11.0,2.0,3.0,5.0
经济与管理学院,22,21.98,21,21.0,3.8,5.7,9.5
政治与国际关系学院,3,4.72,4,4.0,0.6,0.9,1.5
艺术与传媒学院,7,8.47,7,7.0,1.2,1.8,3.0
马克思主义学院,8,7.75,6,6.0,1.0,1.5,2.5
国际文化交流学院,4,5.03,4,4.0,0.6,0.9,1.5
法学院,6,5.64,4,4.0,0.6,0.9,1.5
体育部（国际足球学院）,11,6.92,8,6.92,1.18,1.78,2.96
