部门名称,实际编制,GPR预测(含组织员),预算约束,约束后总编(含组织员),正科(20%),副科(30%),科级以下(50%)
物理科学与工程学院,6,6.26,10,6.26,1.05,1.58,2.63
数学科学学院,6,7.3,7,7.0,1.2,1.8,3.0
化学科学与工程学院,7,6.28,7,6.28,1.06,1.58,2.64
海洋与地球科学学院,8,6.79,8,6.79,1.16,1.74,2.89
生命科学与技术学院,8,8.63,11,8.63,1.53,2.29,3.81
机械工程与机器人学院,11,10.62,16,10.62,1.72,2.59,4.31
测绘与地理信息学院,5,6.09,6,6.0,1.0,1.5,2.5
计算机科学与技术学院（软件学院）,12,9.51,15,9.51,1.5,2.25,3.75
汽车与能源学院,11,18.43,13,13.0,2.2,3.3,5.5
材料科学与工程学院,9,9.52,11,9.52,1.7,2.56,4.26
电子与信息工程学院,16,14.38,20,14.38,2.48,3.71,6.19
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,17,15.76,16,15.76,2.75,4.13,6.88
土木工程学院,27,20.09,33,20.09,3.02,4.53,7.55
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,20,20.35,22,20.35,3.67,5.51,9.18
建筑与城市规划学院,20,21.56,22,21.56,3.71,5.57,9.28
航空航天与力学学院,7,6.88,7,6.88,1.18,1.77,2.94
医学院,22,18.6,30,18.6,2.92,4.38,7.3
设计创意学院,9,8.25,8,8.0,1.4,2.1,3.5
人文学院,7,7.13,7,7.0,1.2,1.8,3.0
外国语学院,12,12.01,11,11.0,2.0,3.0,5.0
经济与管理学院,22,21.99,21,21.0,3.8,5.7,9.5
政治与国际关系学院,3,4.71,4,4.0,0.6,0.9,1.5
艺术与传媒学院,7,8.41,7,7.0,1.2,1.8,3.0
马克思主义学院,8,7.79,6,6.0,1.0,1.5,2.5
国际文化交流学院,4,5.04,4,4.0,0.6,0.9,1.5
法学院,6,5.64,4,4.0,0.6,0.9,1.5
体育部（国际足球学院）,11,6.84,8,6.84,1.17,1.75,2.92
