部门名称,实际编制,GPR预测(含组织员),预算约束,约束后总编(含组织员),正科(20%),副科(30%),科级以下(50%)
物理科学与工程学院,6,8.71,10,8.71,1.54,2.31,3.86
数学科学学院,6,7.23,7,7.0,1.2,1.8,3.0
化学科学与工程学院,7,6.84,7,6.84,1.17,1.75,2.92
海洋与地球科学学院,8,7.23,8,7.23,1.25,1.87,3.12
生命科学与技术学院,8,8.7,11,8.7,1.54,2.31,3.85
机械工程与机器人学院,11,9.42,16,9.42,1.48,2.23,3.71
测绘与地理信息学院,5,6.54,6,6.0,1.0,1.5,2.5
计算机科学与技术学院（软件学院）,12,11.73,15,11.73,1.95,2.92,4.87
汽车与能源学院,11,14.49,13,13.0,2.2,3.3,5.5
材料科学与工程学院,9,8.63,11,8.63,1.53,2.29,3.81
电子与信息工程学院,16,14.48,20,14.48,2.5,3.74,6.24
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,17,15.1,16,15.1,2.62,3.93,6.55
土木工程学院,27,23.82,33,23.82,3.76,5.65,9.41
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,20,17.49,22,17.49,3.1,4.65,7.74
建筑与城市规划学院,20,21.15,22,21.15,3.63,5.44,9.07
航空航天与力学学院,7,7.34,7,7.0,1.2,1.8,3.0
医学院,22,19.47,30,19.47,3.09,4.64,7.73
设计创意学院,9,7.76,8,7.76,1.35,2.03,3.38
人文学院,7,7.75,7,7.0,1.2,1.8,3.0
外国语学院,12,9.61,11,9.61,1.72,2.58,4.31
经济与管理学院,22,21.19,21,21.0,3.8,5.7,9.5
政治与国际关系学院,3,5.68,4,4.0,0.6,0.9,1.5
艺术与传媒学院,7,7.82,7,7.0,1.2,1.8,3.0
马克思主义学院,8,6.89,6,6.0,1.0,1.5,2.5
国际文化交流学院,4,5.66,4,4.0,0.6,0.9,1.5
法学院,6,6.13,4,4.0,0.6,0.9,1.5
体育部（国际足球学院）,11,6.96,8,6.96,1.19,1.79,2.98
