部门名称,实际编制,GPR预测(含组织员),预算约束,约束后总编(含组织员),正科(20%),副科(30%),科级以下(50%)
物理科学与工程学院,6,8.53,10,8.53,1.51,2.26,3.77
数学科学学院,6,7.12,7,7.0,1.2,1.8,3.0
化学科学与工程学院,7,6.27,7,6.27,1.05,1.58,2.64
海洋与地球科学学院,8,7.56,8,7.56,1.31,1.97,3.28
生命科学与技术学院,8,8.54,11,8.54,1.51,2.26,3.77
机械工程与机器人学院,11,10.37,16,10.37,1.67,2.51,4.18
测绘与地理信息学院,5,6.02,6,6.0,1.0,1.5,2.5
计算机科学与技术学院（软件学院）,12,9.92,15,9.92,1.58,2.37,3.96
汽车与能源学院,11,14.56,13,13.0,2.2,3.3,5.5
材料科学与工程学院,9,8.57,11,8.57,1.51,2.27,3.78
电子与信息工程学院,16,14.34,20,14.34,2.47,3.7,6.17
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,17,16.01,16,16.0,2.8,4.2,7.0
土木工程学院,27,20.29,33,20.29,3.06,4.59,7.64
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,20,19.44,22,19.44,3.49,5.23,8.72
建筑与城市规划学院,20,21.71,22,21.71,3.74,5.61,9.36
航空航天与力学学院,7,7.06,7,7.0,1.2,1.8,3.0
医学院,22,18.67,30,18.67,2.93,4.4,7.34
设计创意学院,9,7.76,8,7.76,1.35,2.03,3.38
人文学院,7,7.52,7,7.0,1.2,1.8,3.0
外国语学院,12,9.89,11,9.89,1.78,2.67,4.44
经济与管理学院,22,21.36,21,21.0,3.8,5.7,9.5
政治与国际关系学院,3,5.69,4,4.0,0.6,0.9,1.5
艺术与传媒学院,7,7.84,7,7.0,1.2,1.8,3.0
马克思主义学院,8,6.66,6,6.0,1.0,1.5,2.5
国际文化交流学院,4,5.26,4,4.0,0.6,0.9,1.5
法学院,6,5.96,4,4.0,0.6,0.9,1.5
体育部（国际足球学院）,11,7.85,8,7.85,1.37,2.06,3.43
