部门名称,实际编制,GPR预测(含组织员),预算约束,约束后总编(含组织员),正科(20%),副科(30%),科级以下(50%)
物理科学与工程学院,6,6.34,10,6.34,1.07,1.6,2.67
数学科学学院,6,7.24,7,7.0,1.2,1.8,3.0
化学科学与工程学院,7,5.73,7,5.73,0.95,1.42,2.37
海洋与地球科学学院,8,7.92,8,7.92,1.38,2.08,3.46
生命科学与技术学院,8,8.0,11,8.0,1.4,2.1,3.5
机械工程与机器人学院,11,12.75,16,12.75,2.15,3.23,5.38
测绘与地理信息学院,5,6.22,6,6.0,1.0,1.5,2.5
计算机科学与技术学院（软件学院）,12,9.68,15,9.68,1.54,2.31,3.84
汽车与能源学院,11,17.08,13,13.0,2.2,3.3,5.5
材料科学与工程学院,9,9.04,11,9.04,1.61,2.41,4.02
电子与信息工程学院,16,14.96,20,14.96,2.59,3.89,6.48
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,17,14.7,16,14.7,2.54,3.81,6.35
土木工程学院,27,11.74,33,11.74,1.35,2.02,3.37
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,20,21.34,22,21.34,3.87,5.8,9.67
建筑与城市规划学院,20,19.38,22,19.38,3.28,4.91,8.19
航空航天与力学学院,7,6.71,7,6.71,1.14,1.71,2.86
医学院,22,18.52,30,18.52,2.9,4.36,7.26
设计创意学院,9,8.2,8,8.0,1.4,2.1,3.5
人文学院,7,7.18,7,7.0,1.2,1.8,3.0
外国语学院,12,12.06,11,11.0,2.0,3.0,5.0
经济与管理学院,22,21.11,21,21.0,3.8,5.7,9.5
政治与国际关系学院,3,4.42,4,4.0,0.6,0.9,1.5
艺术与传媒学院,7,7.94,7,7.0,1.2,1.8,3.0
马克思主义学院,8,7.41,6,6.0,1.0,1.5,2.5
国际文化交流学院,4,4.98,4,4.0,0.6,0.9,1.5
法学院,6,5.59,4,4.0,0.6,0.9,1.5
体育部（国际足球学院）,11,8.6,8,8.0,1.4,2.1,3.5
