部门名称,实际编制,GPR预测(含组织员),预算约束,约束后总编(含组织员),正科(20%),副科(30%),科级以下(50%)
物理科学与工程学院,11,10.71,10,10.0,1.8,2.7,4.5
数学科学学院,9,10.42,7,7.0,1.2,1.8,3.0
化学科学与工程学院,9,8.65,7,7.0,1.2,1.8,3.0
海洋与地球科学学院,11,9.87,8,8.0,1.4,2.1,3.5
生命科学与技术学院,11,10.74,11,10.74,1.95,2.92,4.87
机械工程与机器人学院,9,10.89,16,10.89,1.78,2.67,4.45
测绘与地理信息学院,8,9.39,6,6.0,1.0,1.5,2.5
计算机科学与技术学院（软件学院）,11,9.36,15,9.36,1.47,2.21,3.68
汽车与能源学院,11,11.31,13,11.31,1.86,2.79,4.65
材料科学与工程学院,11,11.62,11,11.0,2.0,3.0,5.0
电子与信息工程学院,13,11.79,20,11.79,1.96,2.94,4.9
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,13,11.85,16,11.85,1.97,2.96,4.93
土木工程学院,17,14.19,33,14.19,1.84,2.76,4.59
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,13,13.85,22,13.85,2.37,3.55,5.92
建筑与城市规划学院,15,14.64,22,14.64,2.33,3.49,5.82
航空航天与力学学院,10,10.11,7,7.0,1.2,1.8,3.0
医学院,12,9.37,30,9.37,1.07,1.61,2.68
设计创意学院,8,7.39,8,7.39,1.28,1.92,3.19
人文学院,10,9.9,7,7.0,1.2,1.8,3.0
外国语学院,11,10.73,11,10.73,1.95,2.92,4.86
经济与管理学院,13,12.55,21,12.55,2.11,3.16,5.27
政治与国际关系学院,8,9.61,4,4.0,0.6,0.9,1.5
艺术与传媒学院,9,10.0,7,7.0,1.2,1.8,3.0
马克思主义学院,10,10.13,6,6.0,1.0,1.5,2.5
国际文化交流学院,6,7.56,4,4.0,0.6,0.9,1.5
法学院,8,8.56,4,4.0,0.6,0.9,1.5
体育部（国际足球学院）,10,9.95,8,8.0,1.4,2.1,3.5
