部门名称,实际编制,GPR预测(含组织员),预算约束,约束后总编(含组织员),正科(20%),副科(30%),科级以下(50%)
物理科学与工程学院,11,10.69,10,10.0,1.8,2.7,4.5
数学科学学院,9,10.05,7,7.0,1.2,1.8,3.0
化学科学与工程学院,9,8.41,7,7.0,1.2,1.8,3.0
海洋与地球科学学院,11,10.1,8,8.0,1.4,2.1,3.5
生命科学与技术学院,11,10.8,11,10.8,1.96,2.94,4.9
机械工程与机器人学院,9,11.16,16,11.16,1.83,2.75,4.58
测绘与地理信息学院,8,9.47,6,6.0,1.0,1.5,2.5
计算机科学与技术学院（软件学院）,11,9.17,15,9.17,1.43,2.15,3.59
汽车与能源学院,11,11.63,13,11.63,1.93,2.89,4.81
材料科学与工程学院,11,11.59,11,11.0,2.0,3.0,5.0
电子与信息工程学院,13,11.85,20,11.85,1.97,2.95,4.92
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,13,11.92,16,11.92,1.98,2.97,4.96
土木工程学院,17,14.5,33,14.5,1.9,2.85,4.75
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,13,13.66,22,13.66,2.33,3.5,5.83
建筑与城市规划学院,15,15.07,22,15.07,2.41,3.62,6.03
航空航天与力学学院,10,9.79,7,7.0,1.2,1.8,3.0
医学院,12,9.15,30,9.15,1.03,1.54,2.57
设计创意学院,8,7.48,8,7.48,1.3,1.94,3.24
人文学院,10,9.33,7,7.0,1.2,1.8,3.0
外国语学院,11,10.88,11,10.88,1.98,2.96,4.94
经济与管理学院,13,12.65,21,12.65,2.13,3.19,5.32
政治与国际关系学院,8,9.07,4,4.0,0.6,0.9,1.5
艺术与传媒学院,9,9.94,7,7.0,1.2,1.8,3.0
马克思主义学院,10,9.93,6,6.0,1.0,1.5,2.5
国际文化交流学院,6,7.34,4,4.0,0.6,0.9,1.5
法学院,8,8.67,4,4.0,0.6,0.9,1.5
体育部（国际足球学院）,10,10.43,8,8.0,1.4,2.1,3.5
