部门名称,实际编制,GPR预测(含组织员),预算约束,约束后总编(含组织员),正科(20%),副科(30%),科级以下(50%)
物理科学与工程学院,11,10.63,10,10.0,1.8,2.7,4.5
数学科学学院,9,10.17,7,7.0,1.2,1.8,3.0
化学科学与工程学院,9,8.43,7,7.0,1.2,1.8,3.0
海洋与地球科学学院,11,10.09,8,8.0,1.4,2.1,3.5
生命科学与技术学院,11,10.8,11,10.8,1.96,2.94,4.9
机械工程与机器人学院,9,10.99,16,10.99,1.8,2.7,4.5
测绘与地理信息学院,8,9.49,6,6.0,1.0,1.5,2.5
计算机科学与技术学院（软件学院）,11,9.21,15,9.21,1.44,2.16,3.6
汽车与能源学院,11,11.6,13,11.6,1.92,2.88,4.8
材料科学与工程学院,11,11.58,11,11.0,2.0,3.0,5.0
电子与信息工程学院,13,11.88,20,11.88,1.98,2.96,4.94
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,13,11.91,16,11.91,1.98,2.97,4.95
土木工程学院,17,14.48,33,14.48,1.9,2.84,4.74
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,13,13.65,22,13.65,2.33,3.5,5.83
建筑与城市规划学院,15,15.04,22,15.04,2.41,3.61,6.02
航空航天与力学学院,10,9.85,7,7.0,1.2,1.8,3.0
医学院,12,9.17,30,9.17,1.03,1.55,2.58
设计创意学院,8,7.49,8,7.49,1.3,1.95,3.24
人文学院,10,9.32,7,7.0,1.2,1.8,3.0
外国语学院,11,10.91,11,10.91,1.98,2.97,4.95
经济与管理学院,13,12.64,21,12.64,2.13,3.19,5.32
政治与国际关系学院,8,9.08,4,4.0,0.6,0.9,1.5
艺术与传媒学院,9,9.93,7,7.0,1.2,1.8,3.0
马克思主义学院,10,9.9,6,6.0,1.0,1.5,2.5
国际文化交流学院,6,7.35,4,4.0,0.6,0.9,1.5
法学院,8,8.68,4,4.0,0.6,0.9,1.5
体育部（国际足球学院）,10,10.41,8,8.0,1.4,2.1,3.5
