部门名称,实际编制,GPR预测(含组织员),预算约束,约束后总编(含组织员),正科(20%),副科(30%),科级以下(50%)
物理科学与工程学院,11,10.81,10,10.0,1.8,2.7,4.5
数学科学学院,9,10.39,7,7.0,1.2,1.8,3.0
化学科学与工程学院,9,8.84,7,7.0,1.2,1.8,3.0
海洋与地球科学学院,11,10.12,8,8.0,1.4,2.1,3.5
生命科学与技术学院,11,10.68,11,10.68,1.94,2.9,4.84
机械工程与机器人学院,9,11.2,16,11.2,1.84,2.76,4.6
测绘与地理信息学院,8,9.45,6,6.0,1.0,1.5,2.5
计算机科学与技术学院（软件学院）,11,9.19,15,9.19,1.44,2.16,3.59
汽车与能源学院,11,11.74,13,11.74,1.95,2.92,4.87
材料科学与工程学院,11,11.46,11,11.0,2.0,3.0,5.0
电子与信息工程学院,13,11.73,20,11.73,1.95,2.92,4.87
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,13,11.88,16,11.88,1.98,2.96,4.94
土木工程学院,17,14.47,33,14.47,1.89,2.84,4.73
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,13,13.71,22,13.71,2.34,3.51,5.86
建筑与城市规划学院,15,14.81,22,14.81,2.36,3.54,5.9
航空航天与力学学院,10,10.12,7,7.0,1.2,1.8,3.0
医学院,12,9.23,30,9.23,1.05,1.57,2.61
设计创意学院,8,7.38,8,7.38,1.28,1.91,3.19
人文学院,10,9.69,7,7.0,1.2,1.8,3.0
外国语学院,11,10.24,11,10.24,1.85,2.77,4.62
经济与管理学院,13,12.69,21,12.69,2.14,3.21,5.34
政治与国际关系学院,8,9.09,4,4.0,0.6,0.9,1.5
艺术与传媒学院,9,10.04,7,7.0,1.2,1.8,3.0
马克思主义学院,10,10.07,6,6.0,1.0,1.5,2.5
国际文化交流学院,6,7.36,4,4.0,0.6,0.9,1.5
法学院,8,8.45,4,4.0,0.6,0.9,1.5
体育部（国际足球学院）,10,10.5,8,8.0,1.4,2.1,3.5
