部门名称,实际编制,GPR预测(含组织员),预算约束,约束后总编(含组织员),正科(20%),副科(30%),科级以下(50%)
物理科学与工程学院,11,10.58,10,10.0,1.8,2.7,4.5
数学科学学院,9,10.2,7,7.0,1.2,1.8,3.0
化学科学与工程学院,9,8.51,7,7.0,1.2,1.8,3.0
海洋与地球科学学院,11,10.04,8,8.0,1.4,2.1,3.5
生命科学与技术学院,11,10.82,11,10.82,1.96,2.95,4.91
机械工程与机器人学院,9,11.01,16,11.01,1.8,2.7,4.51
测绘与地理信息学院,8,9.72,6,6.0,1.0,1.5,2.5
计算机科学与技术学院（软件学院）,11,9.22,15,9.22,1.44,2.17,3.61
汽车与能源学院,11,11.82,13,11.82,1.96,2.95,4.91
材料科学与工程学院,11,11.49,11,11.0,2.0,3.0,5.0
电子与信息工程学院,13,11.85,20,11.85,1.97,2.96,4.93
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,13,12.0,16,12.0,2.0,3.0,5.0
土木工程学院,17,14.4,33,14.4,1.88,2.82,4.7
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,13,13.56,22,13.56,2.31,3.47,5.78
建筑与城市规划学院,15,15.08,22,15.08,2.42,3.62,6.04
航空航天与力学学院,10,9.81,7,7.0,1.2,1.8,3.0
医学院,12,9.16,30,9.16,1.03,1.55,2.58
设计创意学院,8,7.56,8,7.56,1.31,1.97,3.28
人文学院,10,9.36,7,7.0,1.2,1.8,3.0
外国语学院,11,10.88,11,10.88,1.98,2.96,4.94
经济与管理学院,13,12.43,21,12.43,2.09,3.13,5.22
政治与国际关系学院,8,9.09,4,4.0,0.6,0.9,1.5
艺术与传媒学院,9,9.95,7,7.0,1.2,1.8,3.0
马克思主义学院,10,9.85,6,6.0,1.0,1.5,2.5
国际文化交流学院,6,7.36,4,4.0,0.6,0.9,1.5
法学院,8,8.67,4,4.0,0.6,0.9,1.5
体育部（国际足球学院）,10,10.42,8,8.0,1.4,2.1,3.5
