部门名称,实际编制,GPR预测(含组织员),预算约束,约束后总编(含组织员),正科(20%),副科(30%),科级以下(50%)
物理科学与工程学院,11,10.62,10,10.0,1.8,2.7,4.5
数学科学学院,9,10.26,7,7.0,1.2,1.8,3.0
化学科学与工程学院,9,8.24,7,7.0,1.2,1.8,3.0
海洋与地球科学学院,11,10.1,8,8.0,1.4,2.1,3.5
生命科学与技术学院,11,10.89,11,10.89,1.98,2.97,4.95
机械工程与机器人学院,9,11.01,16,11.01,1.8,2.7,4.5
测绘与地理信息学院,8,9.02,6,6.0,1.0,1.5,2.5
计算机科学与技术学院（软件学院）,11,9.1,15,9.1,1.42,2.13,3.55
汽车与能源学院,11,11.84,13,11.84,1.97,2.95,4.92
材料科学与工程学院,11,11.75,11,11.0,2.0,3.0,5.0
电子与信息工程学院,13,11.89,20,11.89,1.98,2.97,4.94
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,13,11.97,16,11.97,1.99,2.99,4.98
土木工程学院,17,14.64,33,14.64,1.93,2.89,4.82
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,13,13.94,22,13.94,2.39,3.58,5.97
建筑与城市规划学院,15,14.73,22,14.73,2.35,3.52,5.87
航空航天与力学学院,10,10.04,7,7.0,1.2,1.8,3.0
医学院,12,9.18,30,9.18,1.04,1.55,2.59
设计创意学院,8,7.3,8,7.3,1.26,1.89,3.15
人文学院,10,10.63,7,7.0,1.2,1.8,3.0
外国语学院,11,11.33,11,11.0,2.0,3.0,5.0
经济与管理学院,13,12.76,21,12.76,2.15,3.23,5.38
政治与国际关系学院,8,8.93,4,4.0,0.6,0.9,1.5
艺术与传媒学院,9,9.92,7,7.0,1.2,1.8,3.0
马克思主义学院,10,10.34,6,6.0,1.0,1.5,2.5
国际文化交流学院,6,7.09,4,4.0,0.6,0.9,1.5
法学院,8,8.07,4,4.0,0.6,0.9,1.5
体育部（国际足球学院）,10,10.99,8,8.0,1.4,2.1,3.5
