部门名称,实际编制,GPR预测(含组织员),预算约束,约束后总编(含组织员),正科(20%),副科(30%),科级以下(50%)
物理科学与工程学院,11,10.89,10,10.0,1.8,2.7,4.5
数学科学学院,9,10.22,7,7.0,1.2,1.8,3.0
化学科学与工程学院,9,9.45,7,7.0,1.2,1.8,3.0
海洋与地球科学学院,11,9.28,8,8.0,1.4,2.1,3.5
生命科学与技术学院,11,10.48,11,10.48,1.9,2.84,4.74
机械工程与机器人学院,9,10.83,16,10.83,1.77,2.65,4.41
测绘与地理信息学院,8,9.68,6,6.0,1.0,1.5,2.5
计算机科学与技术学院（软件学院）,11,9.08,15,9.08,1.42,2.12,3.54
汽车与能源学院,11,11.94,13,11.94,1.99,2.98,4.97
材料科学与工程学院,11,11.47,11,11.0,2.0,3.0,5.0
电子与信息工程学院,13,11.6,20,11.6,1.92,2.88,4.8
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,13,12.05,16,12.05,2.01,3.02,5.03
土木工程学院,17,14.45,33,14.45,1.89,2.83,4.72
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,13,13.61,22,13.61,2.32,3.48,5.81
建筑与城市规划学院,15,15.22,22,15.22,2.44,3.67,6.11
航空航天与力学学院,10,10.05,7,7.0,1.2,1.8,3.0
医学院,12,9.08,30,9.08,1.02,1.52,2.54
设计创意学院,8,7.57,8,7.57,1.31,1.97,3.28
人文学院,10,9.39,7,7.0,1.2,1.8,3.0
外国语学院,11,9.68,11,9.68,1.74,2.6,4.34
经济与管理学院,13,12.45,21,12.45,2.09,3.14,5.23
政治与国际关系学院,8,9.01,4,4.0,0.6,0.9,1.5
艺术与传媒学院,9,9.91,7,7.0,1.2,1.8,3.0
马克思主义学院,10,10.31,6,6.0,1.0,1.5,2.5
国际文化交流学院,6,7.29,4,4.0,0.6,0.9,1.5
法学院,8,8.98,4,4.0,0.6,0.9,1.5
体育部（国际足球学院）,10,10.34,8,8.0,1.4,2.1,3.5
