部门名称,实际编制,GPR预测(含组织员),预算约束,约束后总编(含组织员),正科(20%),副科(30%),科级以下(50%)
物理科学与工程学院,11,10.77,10,10.0,1.8,2.7,4.5
数学科学学院,9,9.67,7,7.0,1.2,1.8,3.0
化学科学与工程学院,9,8.5,7,7.0,1.2,1.8,3.0
海洋与地球科学学院,11,10.13,8,8.0,1.4,2.1,3.5
生命科学与技术学院,11,10.95,11,10.95,1.99,2.99,4.98
机械工程与机器人学院,9,10.59,16,10.59,1.72,2.58,4.3
测绘与地理信息学院,8,9.1,6,6.0,1.0,1.5,2.5
计算机科学与技术学院（软件学院）,11,10.59,15,10.59,1.72,2.58,4.3
汽车与能源学院,11,10.59,13,10.59,1.72,2.58,4.3
材料科学与工程学院,11,11.6,11,11.0,2.0,3.0,5.0
电子与信息工程学院,13,11.28,20,11.28,1.86,2.78,4.64
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,13,10.86,16,10.86,1.77,2.66,4.43
土木工程学院,17,10.66,33,10.66,1.13,1.7,2.83
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,13,12.51,22,12.51,2.1,3.15,5.26
建筑与城市规划学院,15,10.62,22,10.62,1.52,2.29,3.81
航空航天与力学学院,10,9.86,7,7.0,1.2,1.8,3.0
医学院,12,10.59,30,10.59,1.32,1.98,3.3
设计创意学院,8,9.33,8,8.0,1.4,2.1,3.5
人文学院,10,9.69,7,7.0,1.2,1.8,3.0
外国语学院,11,10.39,11,10.39,1.88,2.82,4.69
经济与管理学院,13,10.61,21,10.61,1.72,2.58,4.3
政治与国际关系学院,8,9.05,4,4.0,0.6,0.9,1.5
艺术与传媒学院,9,10.12,7,7.0,1.2,1.8,3.0
马克思主义学院,10,10.19,6,6.0,1.0,1.5,2.5
国际文化交流学院,6,7.04,4,4.0,0.6,0.9,1.5
法学院,8,8.42,4,4.0,0.6,0.9,1.5
体育部（国际足球学院）,10,11.04,8,8.0,1.4,2.1,3.5
