部门名称,实际编制,GPR预测(含组织员),GPR_std,正科(20%),副科(30%),科级以下(50%)
物理科学与工程学院,6,8.56,2.29,1.51,2.27,3.78
数学科学学院,6,6.6,2.82,1.12,1.68,2.8
化学科学与工程学院,7,7.48,2.25,1.3,1.94,3.24
海洋与地球科学学院,8,6.02,2.06,1.0,1.51,2.51
生命科学与技术学院,8,8.26,2.09,1.45,2.18,3.63
机械工程与机器人学院,11,10.59,2.25,1.72,2.58,4.29
测绘与地理信息学院,5,6.52,2.07,1.1,1.66,2.76
计算机科学与技术学院（软件学院）,12,11.59,2.51,1.92,2.88,4.8
汽车与能源学院,11,16.52,2.16,2.9,4.35,7.26
材料科学与工程学院,9,9.26,2.1,1.65,2.48,4.13
电子与信息工程学院,16,18.82,2.32,3.36,5.05,8.41
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,17,14.35,2.14,2.47,3.7,6.17
土木工程学院,27,23.93,2.43,3.79,5.68,9.47
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,20,19.46,2.22,3.49,5.24,8.73
建筑与城市规划学院,20,18.28,2.19,3.06,4.58,7.64
航空航天与力学学院,7,6.84,2.19,1.17,1.75,2.92
中德工程学院，职业技术教育学院,5,6.22,2.06,1.04,1.57,2.61
医学院,22,23.55,2.59,3.91,5.87,9.78
设计创意学院,9,6.94,2.07,1.19,1.78,2.97
人文学院,7,6.03,2.05,1.01,1.51,2.51
外国语学院,12,9.89,2.59,1.78,2.67,4.45
经济与管理学院,22,17.99,2.17,3.2,4.8,7.99
政治与国际关系学院,3,5.32,2.05,0.86,1.3,2.16
艺术与传媒学院,7,6.88,2.08,1.18,1.76,2.94
上海国际知识产权学院,4,4.95,2.06,0.79,1.19,1.98
马克思主义学院,8,6.68,2.34,1.14,1.7,2.84
国际文化交流学院,4,5.06,2.05,0.81,1.22,2.03
法学院,6,5.8,2.05,0.96,1.44,2.4
体育部（国际足球学院）,11,4.97,2.06,0.79,1.19,1.99
医学与生命科学部,2,2.0,0.0,0.2,0.3,0.5
出国培训学院，留德预备部,0,4.23,2.12,0.85,1.27,2.11
网络教育学院，继续教育学院,9,4.23,2.12,0.65,0.97,1.62
中德学院,3,4.23,2.12,0.65,0.97,1.61
创新创业学院,8,4.23,2.12,0.65,0.97,1.61
新生院,3,4.29,2.11,0.66,0.99,1.65
国豪书院（未来技术学院）,8,9.76,2.11,1.55,2.33,3.88
国家卓越工程师学院，国际工程师学院,7,7.0,0.0,1.2,1.8,3.0
中意工程创新学院,4,4.0,0.0,0.6,0.9,1.5
启迪书院,4,5.46,2.05,0.89,1.34,2.23
口腔医学院,0,5.33,2.05,0.87,1.3,2.16
上海自主智能无人系统科学中心,11,5.64,2.05,0.73,1.09,1.82
同济大学上海国际设计创新学院,0,4.66,2.07,0.93,1.4,2.33
