部门名称,实际编制,GPR预测(含组织员),GPR_std,正科(20%),副科(30%),科级以下(50%)
物理科学与工程学院,6,7.48,2.26,1.3,1.94,3.24
数学科学学院,6,8.67,2.36,1.53,2.3,3.84
化学科学与工程学院,7,6.58,2.26,1.12,1.67,2.79
海洋与地球科学学院,8,6.13,2.05,1.03,1.54,2.56
生命科学与技术学院,8,8.43,2.08,1.49,2.23,3.72
机械工程与机器人学院,11,11.05,2.25,1.81,2.71,4.52
测绘与地理信息学院,5,6.65,2.08,1.13,1.69,2.82
计算机科学与技术学院（软件学院）,12,11.32,2.55,1.86,2.8,4.66
汽车与能源学院,11,16.35,2.16,2.87,4.31,7.18
材料科学与工程学院,9,9.43,2.09,1.69,2.53,4.21
电子与信息工程学院,16,19.13,2.29,3.43,5.14,8.56
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,17,14.32,2.13,2.46,3.69,6.16
土木工程学院,27,23.92,2.42,3.78,5.68,9.46
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,20,19.12,2.2,3.42,5.14,8.56
建筑与城市规划学院,20,18.0,2.18,3.0,4.5,7.5
航空航天与力学学院,7,6.75,2.17,1.15,1.73,2.88
中德工程学院，职业技术教育学院,5,6.34,2.06,1.07,1.6,2.67
医学院,22,23.72,2.59,3.94,5.92,9.86
设计创意学院,9,7.09,2.07,1.22,1.83,3.04
人文学院,7,6.12,2.05,1.02,1.54,2.56
外国语学院,12,9.65,2.56,1.73,2.6,4.33
经济与管理学院,22,17.77,2.15,3.15,4.73,7.88
政治与国际关系学院,3,5.37,2.05,0.87,1.31,2.18
艺术与传媒学院,7,7.05,2.08,1.21,1.81,3.02
上海国际知识产权学院,4,4.95,2.05,0.79,1.19,1.98
马克思主义学院,8,6.34,2.39,1.07,1.6,2.67
国际文化交流学院,4,5.07,2.05,0.81,1.22,2.03
法学院,6,5.89,2.05,0.98,1.47,2.44
体育部（国际足球学院）,11,4.97,2.05,0.79,1.19,1.99
医学与生命科学部,2,2.0,0.0,0.2,0.3,0.5
出国培训学院，留德预备部,0,4.07,2.12,0.81,1.22,2.03
网络教育学院，继续教育学院,9,4.07,2.11,0.61,0.92,1.53
中德学院,3,4.07,2.11,0.61,0.92,1.53
创新创业学院,8,4.07,2.12,0.61,0.92,1.53
新生院,3,4.15,2.1,0.63,0.95,1.58
国豪书院（未来技术学院）,8,9.92,2.1,1.58,2.38,3.96
国家卓越工程师学院，国际工程师学院,7,7.0,0.0,1.2,1.8,3.0
中意工程创新学院,4,4.0,0.0,0.6,0.9,1.5
启迪书院,4,5.52,2.05,0.9,1.36,2.26
口腔医学院,0,5.37,2.05,0.87,1.31,2.19
上海自主智能无人系统科学中心,11,5.71,2.05,0.74,1.11,1.86
同济大学上海国际设计创新学院,0,4.61,2.07,0.92,1.38,2.31
