部门名称,实际编制,GPR预测(含组织员),GPR_std,正科(20%),副科(30%),科级以下(50%)
物理科学与工程学院,6,8.18,2.1,1.44,2.15,3.59
数学科学学院,6,7.17,2.11,1.23,1.85,3.09
化学科学与工程学院,7,7.17,2.11,1.23,1.85,3.09
海洋与地球科学学院,8,6.08,2.07,1.02,1.52,2.54
生命科学与技术学院,8,8.29,2.11,1.46,2.19,3.65
机械工程与机器人学院,11,11.48,2.18,1.9,2.84,4.74
测绘与地理信息学院,5,7.31,2.1,1.26,1.89,3.15
计算机科学与技术学院（软件学院）,12,14.67,2.22,2.53,3.8,6.33
汽车与能源学院,11,15.91,2.2,2.78,4.17,6.96
材料科学与工程学院,9,8.89,2.12,1.58,2.37,3.95
电子与信息工程学院,16,19.08,2.29,3.42,5.13,8.54
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,17,13.96,2.17,2.39,3.59,5.98
土木工程学院,27,25.44,2.7,4.09,6.13,10.22
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,20,18.54,2.28,3.31,4.96,8.27
建筑与城市规划学院,20,17.49,2.24,2.9,4.35,7.24
航空航天与力学学院,7,7.44,2.1,1.29,1.93,3.22
中德工程学院，职业技术教育学院,5,6.29,2.07,1.06,1.59,2.64
医学院,22,22.58,2.77,3.72,5.57,9.29
设计创意学院,9,7.0,2.09,1.2,1.8,3.0
人文学院,7,7.05,2.12,1.21,1.81,3.02
外国语学院,12,7.01,2.12,1.2,1.8,3.0
经济与管理学院,22,16.11,2.24,2.82,4.23,7.06
政治与国际关系学院,3,5.36,2.06,0.87,1.31,2.18
艺术与传媒学院,7,7.51,2.1,1.3,1.95,3.26
上海国际知识产权学院,4,4.97,2.06,0.79,1.19,1.98
马克思主义学院,8,6.7,2.23,1.14,1.71,2.85
国际文化交流学院,4,5.08,2.06,0.82,1.22,2.04
法学院,6,5.85,2.06,0.97,1.46,2.43
体育部（国际足球学院）,11,4.99,2.06,0.8,1.2,1.99
医学与生命科学部,2,2.0,0.0,0.2,0.3,0.5
出国培训学院，留德预备部,0,4.14,2.12,0.83,1.24,2.07
网络教育学院，继续教育学院,9,4.14,2.12,0.63,0.94,1.57
中德学院,3,4.14,2.12,0.63,0.94,1.57
创新创业学院,8,4.14,2.12,0.63,0.94,1.57
新生院,3,4.22,2.11,0.64,0.97,1.61
国豪书院（未来技术学院）,8,9.73,2.13,1.55,2.32,3.86
国家卓越工程师学院，国际工程师学院,7,7.0,0.0,1.2,1.8,3.0
中意工程创新学院,4,4.0,0.0,0.6,0.9,1.5
启迪书院,4,5.51,2.06,0.9,1.35,2.25
口腔医学院,0,5.37,2.06,0.87,1.31,2.18
上海自主智能无人系统科学中心,11,5.69,2.06,0.74,1.11,1.84
同济大学上海国际设计创新学院,0,4.65,2.07,0.93,1.39,2.32
