部门名称,实际编制,GPR预测(含组织员),GPR_std,正科(20%),副科(30%),科级以下(50%)
物理科学与工程学院,6,9.38,2.21,1.68,2.51,4.19
数学科学学院,6,6.49,2.73,1.1,1.65,2.75
化学科学与工程学院,7,6.96,2.19,1.19,1.79,2.98
海洋与地球科学学院,8,8.45,2.11,1.49,2.23,3.72
生命科学与技术学院,8,10.5,2.11,1.9,2.85,4.75
机械工程与机器人学院,11,9.08,2.24,1.42,2.12,3.54
测绘与地理信息学院,5,6.94,2.05,1.19,1.78,2.97
计算机科学与技术学院（软件学院）,12,12.03,2.41,2.01,3.01,5.02
汽车与能源学院,11,13.99,2.18,2.4,3.6,6.0
材料科学与工程学院,9,9.97,2.09,1.79,2.69,4.49
电子与信息工程学院,16,17.73,2.52,3.15,4.72,7.87
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,17,16.27,2.25,2.85,4.28,7.14
土木工程学院,27,26.08,2.6,4.22,6.32,10.54
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,20,19.17,2.17,3.43,5.15,8.59
建筑与城市规划学院,20,20.24,2.28,3.45,5.17,8.62
航空航天与力学学院,7,7.84,2.09,1.37,2.05,3.42
中德工程学院，职业技术教育学院,5,5.15,2.14,0.83,1.24,2.07
医学院,22,21.87,2.65,3.57,5.36,8.94
设计创意学院,9,6.8,2.07,1.16,1.74,2.9
人文学院,7,8.24,2.09,1.45,2.17,3.62
外国语学院,12,9.71,2.4,1.74,2.61,4.35
经济与管理学院,22,16.83,2.14,2.97,4.45,7.41
政治与国际关系学院,3,5.81,2.05,0.96,1.44,2.4
艺术与传媒学院,7,7.54,2.1,1.31,1.96,3.27
上海国际知识产权学院,4,5.21,2.09,0.84,1.26,2.11
马克思主义学院,8,6.48,2.19,1.1,1.64,2.74
国际文化交流学院,4,4.42,2.07,0.68,1.03,1.71
法学院,6,6.24,2.06,1.05,1.57,2.62
体育部（国际足球学院）,11,7.59,2.17,1.32,1.98,3.29
医学与生命科学部,2,2.0,0.0,0.2,0.3,0.5
出国培训学院，留德预备部,0,3.77,2.1,0.75,1.13,1.88
网络教育学院，继续教育学院,9,3.83,2.1,0.57,0.85,1.42
中德学院,3,3.61,2.11,0.52,0.78,1.31
创新创业学院,8,3.61,2.11,0.52,0.78,1.31
新生院,3,3.57,2.1,0.51,0.77,1.28
国豪书院（未来技术学院）,8,6.72,2.59,0.94,1.42,2.36
国家卓越工程师学院，国际工程师学院,7,7.0,0.0,1.2,1.8,3.0
中意工程创新学院,4,4.0,0.0,0.6,0.9,1.5
启迪书院,4,3.95,2.18,0.59,0.88,1.47
口腔医学院,0,4.07,2.1,0.61,0.92,1.53
上海自主智能无人系统科学中心,11,5.13,2.17,0.63,0.94,1.57
同济大学上海国际设计创新学院,0,4.0,2.11,0.8,1.2,2.0
