部门名称,实际编制,GPR预测(含组织员),GPR_std,正科(20%),副科(30%),科级以下(50%)
物理科学与工程学院,6,9.28,2.19,1.66,2.48,4.14
数学科学学院,6,7.45,2.35,1.29,1.93,3.22
化学科学与工程学院,7,6.8,2.2,1.16,1.74,2.9
海洋与地球科学学院,8,8.37,2.11,1.47,2.21,3.68
生命科学与技术学院,8,10.45,2.11,1.89,2.84,4.73
机械工程与机器人学院,11,9.02,2.24,1.4,2.1,3.51
测绘与地理信息学院,5,6.85,2.05,1.17,1.75,2.92
计算机科学与技术学院（软件学院）,12,11.76,2.48,1.95,2.93,4.88
汽车与能源学院,11,14.08,2.18,2.42,3.62,6.04
材料科学与工程学院,9,9.92,2.09,1.78,2.68,4.46
电子与信息工程学院,16,17.74,2.53,3.15,4.72,7.87
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,17,16.26,2.26,2.85,4.28,7.13
土木工程学院,27,26.04,2.61,4.21,6.31,10.52
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,20,19.21,2.17,3.44,5.16,8.61
建筑与城市规划学院,20,20.19,2.29,3.44,5.16,8.6
航空航天与力学学院,7,7.67,2.09,1.33,2.0,3.34
中德工程学院，职业技术教育学院,5,5.14,2.14,0.83,1.24,2.07
医学院,22,21.99,2.66,3.6,5.4,8.99
设计创意学院,9,6.78,2.07,1.16,1.73,2.89
人文学院,7,8.1,2.1,1.42,2.13,3.55
外国语学院,12,9.97,2.53,1.79,2.69,4.48
经济与管理学院,22,16.81,2.13,2.96,4.44,7.41
政治与国际关系学院,3,5.77,2.05,0.95,1.43,2.39
艺术与传媒学院,7,7.41,2.1,1.28,1.92,3.21
上海国际知识产权学院,4,5.21,2.09,0.84,1.26,2.11
马克思主义学院,8,6.3,2.26,1.06,1.59,2.65
国际文化交流学院,4,4.38,2.07,0.68,1.02,1.69
法学院,6,6.2,2.06,1.04,1.56,2.6
体育部（国际足球学院）,11,7.45,2.18,1.29,1.93,3.22
医学与生命科学部,2,2.0,0.0,0.2,0.3,0.5
出国培训学院，留德预备部,0,3.76,2.1,0.75,1.13,1.88
网络教育学院，继续教育学院,9,3.82,2.1,0.56,0.85,1.41
中德学院,3,3.62,2.11,0.52,0.78,1.31
创新创业学院,8,3.61,2.11,0.52,0.78,1.31
新生院,3,3.57,2.1,0.51,0.77,1.28
国豪书院（未来技术学院）,8,6.8,2.6,0.96,1.44,2.4
国家卓越工程师学院，国际工程师学院,7,7.0,0.0,1.2,1.8,3.0
中意工程创新学院,4,4.0,0.0,0.6,0.9,1.5
启迪书院,4,3.95,2.18,0.59,0.89,1.48
口腔医学院,0,4.11,2.1,0.62,0.93,1.55
上海自主智能无人系统科学中心,11,5.2,2.17,0.64,0.96,1.6
同济大学上海国际设计创新学院,0,4.04,2.11,0.81,1.21,2.02
