部门名称,实际编制,GPR预测(含组织员),GPR_std,正科(20%),副科(30%),科级以下(50%)
物理科学与工程学院,6,9.91,2.11,1.78,2.67,4.45
数学科学学院,6,7.1,2.12,1.22,1.83,3.05
化学科学与工程学院,7,6.73,2.14,1.15,1.72,2.87
海洋与地球科学学院,8,8.47,2.15,1.49,2.24,3.74
生命科学与技术学院,8,10.47,2.15,1.89,2.84,4.74
机械工程与机器人学院,11,9.28,2.29,1.46,2.19,3.64
测绘与地理信息学院,5,6.39,2.14,1.08,1.62,2.69
计算机科学与技术学院（软件学院）,12,12.73,2.36,2.15,3.22,5.37
汽车与能源学院,11,13.7,2.27,2.34,3.51,5.85
材料科学与工程学院,9,9.75,2.13,1.75,2.62,4.37
电子与信息工程学院,16,17.54,2.56,3.11,4.66,7.77
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,17,16.33,2.32,2.87,4.3,7.16
土木工程学院,27,26.62,2.71,4.32,6.49,10.81
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,20,18.84,2.27,3.37,5.05,8.42
建筑与城市规划学院,20,19.86,2.41,3.37,5.06,8.43
航空航天与力学学院,7,7.5,2.1,1.3,1.95,3.25
中德工程学院，职业技术教育学院,5,5.0,2.17,0.8,1.2,2.0
医学院,22,21.55,2.71,3.51,5.26,8.77
设计创意学院,9,6.66,2.1,1.13,1.7,2.83
人文学院,7,7.71,2.12,1.34,2.01,3.36
外国语学院,12,10.41,2.31,1.88,2.82,4.71
经济与管理学院,22,17.23,2.26,3.05,4.57,7.62
政治与国际关系学院,3,5.8,2.07,0.96,1.44,2.4
艺术与传媒学院,7,6.92,2.15,1.18,1.77,2.96
上海国际知识产权学院,4,5.31,2.1,0.86,1.29,2.16
马克思主义学院,8,6.01,2.21,1.0,1.5,2.51
国际文化交流学院,4,4.5,2.08,0.7,1.05,1.75
法学院,6,6.17,2.08,1.03,1.55,2.58
体育部（国际足球学院）,11,7.62,2.21,1.32,1.99,3.31
医学与生命科学部,2,2.0,0.0,0.2,0.3,0.5
出国培训学院，留德预备部,0,3.91,2.11,0.78,1.17,1.96
网络教育学院，继续教育学院,9,3.98,2.11,0.6,0.89,1.49
中德学院,3,3.76,2.11,0.55,0.83,1.38
创新创业学院,8,3.76,2.11,0.55,0.83,1.38
新生院,3,3.69,2.11,0.54,0.81,1.34
国豪书院（未来技术学院）,8,6.73,2.64,0.95,1.42,2.37
国家卓越工程师学院，国际工程师学院,7,7.0,0.0,1.2,1.8,3.0
中意工程创新学院,4,4.0,0.0,0.6,0.9,1.5
启迪书院,4,3.87,2.21,0.57,0.86,1.43
口腔医学院,0,4.05,2.11,0.61,0.91,1.52
上海自主智能无人系统科学中心,11,5.21,2.19,0.64,0.96,1.6
同济大学上海国际设计创新学院,0,4.11,2.12,0.82,1.23,2.05
