部门名称,实际编制,GPR预测(含组织员),GPR_std,正科(20%),副科(30%),科级以下(50%)
物理科学与工程学院,6,9.15,2.2,1.63,2.44,4.07
数学科学学院,6,6.66,2.72,1.13,1.7,2.83
化学科学与工程学院,7,6.95,2.19,1.19,1.78,2.97
海洋与地球科学学院,8,8.05,2.12,1.41,2.11,3.52
生命科学与技术学院,8,9.75,2.14,1.75,2.62,4.37
机械工程与机器人学院,11,9.05,2.24,1.41,2.11,3.52
测绘与地理信息学院,5,6.71,2.06,1.14,1.71,2.86
计算机科学与技术学院（软件学院）,12,12.28,2.41,2.06,3.09,5.14
汽车与能源学院,11,12.67,2.24,2.13,3.2,5.33
材料科学与工程学院,9,9.29,2.11,1.66,2.49,4.15
电子与信息工程学院,16,17.4,2.53,3.08,4.62,7.7
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,17,16.72,2.32,2.94,4.42,7.36
土木工程学院,27,26.11,2.61,4.22,6.33,10.56
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,20,17.9,2.28,3.18,4.77,7.95
建筑与城市规划学院,20,21.18,2.52,3.64,5.45,9.09
航空航天与力学学院,7,7.59,2.09,1.32,1.98,3.3
中德工程学院，职业技术教育学院,5,6.15,2.25,1.03,1.55,2.58
医学院,22,21.79,2.65,3.56,5.34,8.9
设计创意学院,9,7.52,2.13,1.3,1.96,3.26
人文学院,7,7.84,2.11,1.37,2.05,3.42
外国语学院,12,9.54,2.4,1.71,2.56,4.27
经济与管理学院,22,19.02,2.34,3.4,5.11,8.51
政治与国际关系学院,3,5.92,2.06,0.98,1.48,2.46
艺术与传媒学院,7,7.69,2.1,1.34,2.01,3.35
上海国际知识产权学院,4,5.43,2.1,0.89,1.33,2.22
马克思主义学院,8,6.51,2.18,1.1,1.65,2.75
国际文化交流学院,4,5.4,2.74,0.88,1.32,2.2
法学院,6,6.17,2.06,1.03,1.55,2.59
体育部（国际足球学院）,11,7.21,2.18,1.24,1.86,3.11
医学与生命科学部,2,2.0,0.0,0.2,0.3,0.5
出国培训学院，留德预备部,0,3.75,2.11,0.75,1.13,1.88
网络教育学院，继续教育学院,9,4.15,2.13,0.63,0.94,1.57
中德学院,3,3.6,2.12,0.52,0.78,1.3
创新创业学院,8,3.6,2.12,0.52,0.78,1.3
新生院,3,3.55,2.11,0.51,0.76,1.27
国豪书院（未来技术学院）,8,6.55,2.6,0.91,1.37,2.28
国家卓越工程师学院，国际工程师学院,7,7.0,0.0,1.2,1.8,3.0
中意工程创新学院,4,4.0,0.0,0.6,0.9,1.5
启迪书院,4,3.82,2.19,0.56,0.85,1.41
口腔医学院,0,4.01,2.11,0.6,0.9,1.5
上海自主智能无人系统科学中心,11,5.02,2.17,0.6,0.91,1.51
同济大学上海国际设计创新学院,0,3.96,2.12,0.79,1.19,1.98
