部门名称,实际编制,GPR预测(含组织员),GPR_std,正科(20%),副科(30%),科级以下(50%)
物理科学与工程学院,6,9.0,2.19,1.6,2.4,4.0
数学科学学院,6,7.61,2.34,1.32,1.98,3.31
化学科学与工程学院,7,6.78,2.19,1.16,1.73,2.89
海洋与地球科学学院,8,7.95,2.12,1.39,2.08,3.47
生命科学与技术学院,8,9.68,2.14,1.74,2.6,4.34
机械工程与机器人学院,11,8.96,2.23,1.39,2.09,3.48
测绘与地理信息学院,5,6.62,2.06,1.12,1.69,2.81
计算机科学与技术学院（软件学院）,12,12.0,2.47,2.0,3.0,5.0
汽车与能源学院,11,12.75,2.24,2.15,3.23,5.38
材料科学与工程学院,9,9.24,2.1,1.65,2.47,4.12
电子与信息工程学院,16,17.4,2.54,3.08,4.62,7.7
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,17,16.68,2.31,2.94,4.4,7.34
土木工程学院,27,26.08,2.62,4.22,6.32,10.54
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,20,17.89,2.28,3.18,4.77,7.95
建筑与城市规划学院,20,21.18,2.52,3.64,5.45,9.09
航空航天与力学学院,7,7.36,2.09,1.27,1.91,3.18
中德工程学院，职业技术教育学院,5,6.19,2.25,1.04,1.56,2.59
医学院,22,21.92,2.65,3.58,5.37,8.96
设计创意学院,9,7.54,2.13,1.31,1.96,3.27
人文学院,7,7.68,2.11,1.34,2.0,3.34
外国语学院,12,9.86,2.51,1.77,2.66,4.43
经济与管理学院,22,19.04,2.34,3.41,5.11,8.52
政治与国际关系学院,3,5.89,2.06,0.98,1.47,2.45
艺术与传媒学院,7,7.57,2.11,1.31,1.97,3.28
上海国际知识产权学院,4,5.44,2.1,0.89,1.33,2.22
马克思主义学院,8,6.39,2.25,1.08,1.62,2.69
国际文化交流学院,4,5.41,2.74,0.88,1.32,2.2
法学院,6,6.14,2.06,1.03,1.54,2.57
体育部（国际足球学院）,11,7.04,2.19,1.21,1.81,3.02
医学与生命科学部,2,2.0,0.0,0.2,0.3,0.5
出国培训学院，留德预备部,0,3.73,2.11,0.75,1.12,1.86
网络教育学院，继续教育学院,9,4.13,2.13,0.63,0.94,1.57
中德学院,3,3.59,2.12,0.52,0.78,1.29
创新创业学院,8,3.59,2.12,0.52,0.78,1.29
新生院,3,3.53,2.11,0.51,0.76,1.27
国豪书院（未来技术学院）,8,6.63,2.6,0.93,1.39,2.32
国家卓越工程师学院，国际工程师学院,7,7.0,0.0,1.2,1.8,3.0
中意工程创新学院,4,4.0,0.0,0.6,0.9,1.5
启迪书院,4,3.83,2.19,0.57,0.85,1.42
口腔医学院,0,4.05,2.11,0.61,0.92,1.53
上海自主智能无人系统科学中心,11,5.09,2.17,0.62,0.93,1.55
同济大学上海国际设计创新学院,0,3.99,2.12,0.8,1.2,2.0
