部门名称,实际编制,GPR预测(含组织员),GPR_std,正科(20%),副科(30%),科级以下(50%)
物理科学与工程学院,6,9.26,2.09,1.65,2.48,4.13
数学科学学院,6,7.1,2.08,1.22,1.83,3.05
化学科学与工程学院,7,6.73,2.06,1.15,1.72,2.87
海洋与地球科学学院,8,8.01,2.09,1.4,2.1,3.51
生命科学与技术学院,8,9.61,2.11,1.72,2.58,4.31
机械工程与机器人学院,11,8.96,2.2,1.39,2.09,3.48
测绘与地理信息学院,5,6.47,2.06,1.09,1.64,2.73
计算机科学与技术学院（软件学院）,12,12.81,2.3,2.16,3.24,5.41
汽车与能源学院,11,12.27,2.23,2.05,3.08,5.14
材料科学与工程学院,9,9.01,2.1,1.6,2.4,4.0
电子与信息工程学院,16,17.06,2.57,3.01,4.52,7.53
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,17,17.17,2.38,3.03,4.55,7.59
土木工程学院,27,26.17,2.66,4.23,6.35,10.59
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,20,17.91,2.3,3.18,4.77,7.95
建筑与城市规划学院,20,21.12,2.56,3.62,5.44,9.06
航空航天与力学学院,7,7.35,2.06,1.27,1.91,3.18
中德工程学院，职业技术教育学院,5,6.06,2.3,1.01,1.52,2.53
医学院,22,21.86,2.69,3.57,5.36,8.93
设计创意学院,9,7.42,2.15,1.28,1.92,3.21
人文学院,7,7.71,2.08,1.34,2.01,3.36
外国语学院,12,9.97,2.28,1.79,2.69,4.49
经济与管理学院,22,19.4,2.39,3.48,5.22,8.7
政治与国际关系学院,3,5.86,2.06,0.97,1.46,2.43
艺术与传媒学院,7,7.46,2.1,1.29,1.94,3.23
上海国际知识产权学院,4,5.54,2.12,0.91,1.36,2.27
马克思主义学院,8,6.38,2.09,1.08,1.61,2.69
国际文化交流学院,4,5.12,2.77,0.82,1.24,2.06
法学院,6,6.0,2.05,1.0,1.5,2.5
体育部（国际足球学院）,11,7.21,2.14,1.24,1.86,3.1
医学与生命科学部,2,2.0,0.0,0.2,0.3,0.5
出国培训学院，留德预备部,0,3.88,2.12,0.78,1.17,1.94
网络教育学院，继续教育学院,9,4.34,2.16,0.67,1.0,1.67
中德学院,3,3.74,2.12,0.55,0.82,1.37
创新创业学院,8,3.73,2.12,0.55,0.82,1.37
新生院,3,3.63,2.12,0.53,0.79,1.32
国豪书院（未来技术学院）,8,6.7,2.62,0.94,1.41,2.35
国家卓越工程师学院，国际工程师学院,7,7.0,0.0,1.2,1.8,3.0
中意工程创新学院,4,4.0,0.0,0.6,0.9,1.5
启迪书院,4,3.57,2.22,0.51,0.77,1.29
口腔医学院,0,3.84,2.12,0.57,0.85,1.42
上海自主智能无人系统科学中心,11,5.0,2.19,0.6,0.9,1.5
同济大学上海国际设计创新学院,0,4.02,2.13,0.8,1.21,2.01
