部门名称,实际编制,GPR预测(含组织员),GPR_std,正科(20%),副科(30%),科级以下(50%)
物理科学与工程学院,6,9.11,2.19,1.62,2.43,4.05
数学科学学院,6,6.62,2.7,1.12,1.68,2.81
化学科学与工程学院,7,6.96,2.17,1.19,1.79,2.98
海洋与地球科学学院,8,8.17,2.11,1.43,2.15,3.59
生命科学与技术学院,8,9.85,2.13,1.77,2.66,4.43
机械工程与机器人学院,11,9.18,2.22,1.44,2.15,3.59
测绘与地理信息学院,5,6.84,2.06,1.17,1.75,2.92
计算机科学与技术学院（软件学院）,12,12.33,2.37,2.07,3.1,5.17
汽车与能源学院,11,12.79,2.21,2.16,3.24,5.4
材料科学与工程学院,9,9.49,2.09,1.7,2.55,4.25
电子与信息工程学院,16,17.35,2.5,3.07,4.6,7.67
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,17,16.18,2.26,2.84,4.26,7.09
土木工程学院,27,26.43,2.58,4.29,6.43,10.72
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,20,17.25,2.27,3.05,4.57,7.62
建筑与城市规划学院,20,21.25,2.33,3.65,5.47,9.12
航空航天与力学学院,7,7.69,2.08,1.34,2.01,3.34
中德工程学院，职业技术教育学院,5,5.59,2.16,0.92,1.38,2.3
医学院,22,21.78,2.63,3.56,5.33,8.89
设计创意学院,9,7.35,2.12,1.27,1.9,3.17
人文学院,7,7.98,2.1,1.4,2.09,3.49
外国语学院,12,9.46,2.36,1.69,2.54,4.23
经济与管理学院,22,19.29,2.47,3.46,5.19,8.65
政治与国际关系学院,3,5.94,2.06,0.99,1.48,2.47
艺术与传媒学院,7,7.75,2.09,1.35,2.03,3.38
上海国际知识产权学院,4,5.33,2.11,0.87,1.3,2.17
马克思主义学院,8,6.45,2.16,1.09,1.64,2.73
国际文化交流学院,4,5.42,2.75,0.88,1.33,2.21
法学院,6,6.33,2.05,1.07,1.6,2.66
体育部（国际足球学院）,11,7.33,2.16,1.27,1.9,3.16
医学与生命科学部,2,2.0,0.0,0.2,0.3,0.5
出国培训学院，留德预备部,0,3.75,2.1,0.75,1.13,1.88
网络教育学院，继续教育学院,9,3.82,2.1,0.56,0.85,1.41
中德学院,3,3.6,2.11,0.52,0.78,1.3
创新创业学院,8,3.59,2.11,0.52,0.78,1.3
新生院,3,3.57,2.1,0.51,0.77,1.28
国豪书院（未来技术学院）,8,6.45,2.56,0.89,1.33,2.22
国家卓越工程师学院，国际工程师学院,7,7.0,0.0,1.2,1.8,3.0
中意工程创新学院,4,4.0,0.0,0.6,0.9,1.5
启迪书院,4,4.03,2.16,0.61,0.91,1.52
口腔医学院,0,4.17,2.1,0.63,0.95,1.59
上海自主智能无人系统科学中心,11,5.13,2.15,0.63,0.94,1.57
同济大学上海国际设计创新学院,0,4.01,2.11,0.8,1.2,2.0
