部门名称,实际编制,GPR预测(含组织员),GPR_std,正科(20%),副科(30%),科级以下(50%)
物理科学与工程学院,6,9.15,2.11,1.63,2.44,4.07
数学科学学院,6,7.06,2.11,1.21,1.82,3.03
化学科学与工程学院,7,6.73,2.13,1.15,1.72,2.86
海洋与地球科学学院,8,8.38,2.13,1.48,2.21,3.69
生命科学与技术学院,8,10.09,2.16,1.82,2.73,4.55
机械工程与机器人学院,11,9.0,2.24,1.4,2.1,3.5
测绘与地理信息学院,5,6.43,2.13,1.09,1.63,2.71
计算机科学与技术学院（软件学院）,12,12.59,2.3,2.12,3.18,5.29
汽车与能源学院,11,13.01,2.25,2.2,3.3,5.51
材料科学与工程学院,9,9.05,2.13,1.61,2.41,4.02
电子与信息工程学院,16,17.05,2.53,3.01,4.51,7.52
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,17,16.17,2.29,2.83,4.25,7.08
土木工程学院,27,26.55,2.67,4.31,6.46,10.77
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,20,17.49,2.32,3.1,4.65,7.74
建筑与城市规划学院,20,20.87,2.49,3.57,5.36,8.93
航空航天与力学学院,7,7.36,2.1,1.27,1.91,3.18
中德工程学院，职业技术教育学院,5,5.58,2.17,0.92,1.37,2.29
医学院,22,21.66,2.66,3.53,5.3,8.83
设计创意学院,9,7.35,2.14,1.27,1.9,3.17
人文学院,7,7.61,2.11,1.32,1.98,3.31
外国语学院,12,9.69,2.26,1.74,2.61,4.35
经济与管理学院,22,19.85,2.57,3.57,5.36,8.93
政治与国际关系学院,3,6.04,2.07,1.01,1.51,2.52
艺术与传媒学院,7,7.45,2.14,1.29,1.93,3.22
上海国际知识产权学院,4,5.4,2.11,0.88,1.32,2.2
马克思主义学院,8,6.16,2.17,1.03,1.55,2.58
国际文化交流学院,4,5.15,2.77,0.83,1.24,2.07
法学院,6,6.44,2.07,1.09,1.63,2.72
体育部（国际足球学院）,11,7.55,2.19,1.31,1.97,3.28
医学与生命科学部,2,2.0,0.0,0.2,0.3,0.5
出国培训学院，留德预备部,0,3.82,2.11,0.76,1.15,1.91
网络教育学院，继续教育学院,9,3.89,2.1,0.58,0.87,1.44
中德学院,3,3.65,2.11,0.53,0.79,1.32
创新创业学院,8,3.65,2.11,0.53,0.79,1.32
新生院,3,3.62,2.11,0.52,0.79,1.31
国豪书院（未来技术学院）,8,6.47,2.59,0.89,1.34,2.24
国家卓越工程师学院，国际工程师学院,7,7.0,0.0,1.2,1.8,3.0
中意工程创新学院,4,4.0,0.0,0.6,0.9,1.5
启迪书院,4,4.06,2.17,0.61,0.92,1.53
口腔医学院,0,4.22,2.1,0.64,0.96,1.61
上海自主智能无人系统科学中心,11,5.22,2.16,0.64,0.97,1.61
同济大学上海国际设计创新学院,0,4.07,2.12,0.81,1.22,2.03
