部门名称,实际编制,GPR预测(含组织员),GPR_std,正科(20%),副科(30%),科级以下(50%)
物理科学与工程学院,6,9.34,2.09,1.67,2.5,4.17
数学科学学院,6,7.25,2.08,1.25,1.87,3.12
化学科学与工程学院,7,6.95,2.06,1.19,1.79,2.98
海洋与地球科学学院,8,8.06,2.08,1.41,2.12,3.53
生命科学与技术学院,8,9.67,2.1,1.73,2.6,4.34
机械工程与机器人学院,11,9.22,2.18,1.44,2.17,3.61
测绘与地理信息学院,5,6.64,2.06,1.13,1.69,2.82
计算机科学与技术学院（软件学院）,12,12.84,2.27,2.17,3.25,5.42
汽车与能源学院,11,12.43,2.2,2.09,3.13,5.22
材料科学与工程学院,9,9.23,2.09,1.65,2.47,4.12
电子与信息工程学院,16,17.0,2.54,3.0,4.5,7.5
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,17,16.43,2.32,2.89,4.33,7.22
土木工程学院,27,26.45,2.62,4.29,6.43,10.72
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,20,17.08,2.28,3.02,4.52,7.54
建筑与城市规划学院,20,21.45,2.36,3.69,5.54,9.23
航空航天与力学学院,7,7.54,2.06,1.31,1.96,3.27
中德工程学院，职业技术教育学院,5,5.35,2.18,0.87,1.31,2.18
医学院,22,21.87,2.66,3.57,5.36,8.94
设计创意学院,9,7.13,2.15,1.23,1.84,3.06
人文学院,7,7.8,2.07,1.36,2.04,3.4
外国语学院,12,9.9,2.25,1.78,2.67,4.45
经济与管理学院,22,19.59,2.52,3.52,5.28,8.79
政治与国际关系学院,3,5.82,2.06,0.96,1.45,2.41
艺术与传媒学院,7,7.5,2.1,1.3,1.95,3.25
上海国际知识产权学院,4,5.35,2.13,0.87,1.3,2.17
马克思主义学院,8,6.46,2.08,1.09,1.64,2.73
国际文化交流学院,4,5.18,2.78,0.84,1.25,2.09
法学院,6,6.13,2.05,1.03,1.54,2.56
体育部（国际足球学院）,11,7.22,2.13,1.24,1.87,3.11
医学与生命科学部,2,2.0,0.0,0.2,0.3,0.5
出国培训学院，留德预备部,0,3.87,2.11,0.77,1.16,1.94
网络教育学院，继续教育学院,9,3.93,2.11,0.59,0.88,1.47
中德学院,3,3.72,2.12,0.54,0.82,1.36
创新创业学院,8,3.72,2.12,0.54,0.82,1.36
新生院,3,3.66,2.11,0.53,0.8,1.33
国豪书院（未来技术学院）,8,6.53,2.58,0.91,1.36,2.26
国家卓越工程师学院，国际工程师学院,7,7.0,0.0,1.2,1.8,3.0
中意工程创新学院,4,4.0,0.0,0.6,0.9,1.5
启迪书院,4,3.85,2.19,0.57,0.85,1.42
口腔医学院,0,4.06,2.1,0.61,0.92,1.53
上海自主智能无人系统科学中心,11,5.13,2.17,0.63,0.94,1.57
同济大学上海国际设计创新学院,0,4.08,2.12,0.82,1.22,2.04
