部门名称,实际编制,GPR预测(含组织员),GPR_std,预算约束,约束后总编(含组织员),正科(20%),副科(30%),科级以下(50%)
物理科学与工程学院,6,9.91,2.06,10,9.91,1.78,2.67,4.45
数学科学学院,6,7.4,2.06,7,7.0,1.2,1.8,3.0
化学科学与工程学院,7,6.69,2.06,7,6.69,1.14,1.71,2.84
海洋与地球科学学院,8,7.98,2.09,8,7.98,1.4,2.09,3.49
生命科学与技术学院,8,10.03,2.08,11,10.03,1.81,2.71,4.51
机械工程与机器人学院,11,8.96,2.29,16,8.96,1.39,2.09,3.48
测绘与地理信息学院,5,6.39,2.07,6,6.0,1.0,1.5,2.5
计算机科学与技术学院（软件学院）,12,12.37,2.39,15,12.37,2.07,3.11,5.18
汽车与能源学院,11,13.62,2.15,13,13.0,2.2,3.3,5.5
材料科学与工程学院,9,9.41,2.07,11,9.41,1.68,2.52,4.21
电子与信息工程学院,16,17.07,2.56,20,17.07,3.01,4.52,7.54
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,17,16.21,2.32,16,16.0,2.8,4.2,7.0
土木工程学院,27,26.33,2.63,33,26.33,4.27,6.4,10.67
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,20,19.53,2.16,22,19.53,3.51,5.26,8.76
建筑与城市规划学院,20,20.84,2.3,22,20.84,3.57,5.35,8.92
航空航天与力学学院,7,7.6,2.04,7,7.0,1.2,1.8,3.0
医学院,22,21.79,2.67,30,21.79,3.56,5.34,8.9
设计创意学院,9,6.28,2.08,8,6.28,1.06,1.58,2.64
人文学院,7,7.9,2.05,7,7.0,1.2,1.8,3.0
外国语学院,12,11.01,2.28,11,11.0,2.0,3.0,5.0
经济与管理学院,22,17.03,2.13,21,17.03,3.01,4.51,7.52
政治与国际关系学院,3,5.36,2.1,4,4.0,0.6,0.9,1.5
艺术与传媒学院,7,7.25,2.13,7,7.0,1.2,1.8,3.0
马克思主义学院,8,6.24,2.11,6,6.0,1.0,1.5,2.5
国际文化交流学院,4,4.27,2.27,4,4.0,0.6,0.9,1.5
法学院,6,5.77,2.07,4,4.0,0.6,0.9,1.5
体育部（国际足球学院）,11,7.4,2.12,8,7.4,1.28,1.92,3.2
