部门名称,GPR预测(含组织员),GPR_std,正科(20%),副科(30%),科级以下(50%)
物理科学与工程学院,8.63,2.34,1.53,2.29,3.82
数学科学学院,6.69,2.84,1.14,1.71,2.84
化学科学与工程学院,7.38,2.29,1.28,1.91,3.19
海洋与地球科学学院,5.45,2.05,0.89,1.33,2.22
生命科学与技术学院,5.77,2.05,0.95,1.43,2.38
机械工程与机器人学院,9.45,2.23,1.49,2.24,3.73
测绘与地理信息学院,5.66,2.07,0.93,1.4,2.33
计算机科学与技术学院（软件学院）,11.11,2.46,1.82,2.73,4.55
汽车与能源学院,11.6,2.13,1.92,2.88,4.8
材料科学与工程学院,7.45,2.07,1.29,1.93,3.22
电子与信息工程学院,18.32,2.3,3.26,4.9,8.16
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,9.39,2.11,1.48,2.22,3.7
土木工程学院,14.13,2.14,1.83,2.74,4.56
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,13.74,2.14,2.35,3.52,5.87
建筑与城市规划学院,13.43,2.14,2.09,3.13,5.22
航空航天与力学学院,6.27,2.2,1.05,1.58,2.64
中德工程学院，职业技术教育学院,17.74,2.18,3.35,5.02,8.37
医学院,20.97,2.26,3.39,5.09,8.48
设计创意学院,6.94,2.07,1.19,1.78,2.97
人文学院,6.22,2.05,1.04,1.56,2.61
外国语学院,9.88,2.59,1.78,2.66,4.44
经济与管理学院,16.1,2.14,2.82,4.23,7.05
政治与国际关系学院,5.04,2.05,0.81,1.21,2.02
艺术与传媒学院,6.69,2.08,1.14,1.71,2.84
上海国际知识产权学院,4.84,2.06,0.77,1.15,1.92
马克思主义学院,6.66,2.37,1.13,1.7,2.83
国际文化交流学院,4.8,2.06,0.76,1.14,1.9
法学院,5.82,2.05,0.96,1.45,2.41
体育部（国际足球学院）,5.06,2.05,0.81,1.22,2.03
医学与生命科学部,2.0,0.0,0.2,0.3,0.5
出国培训学院，留德预备部,4.23,2.12,0.85,1.27,2.11
网络教育学院，继续教育学院,4.23,2.12,0.65,0.97,1.62
中德学院,4.5,2.08,0.7,1.05,1.75
创新创业学院,4.23,2.12,0.65,0.97,1.61
新生院,4.29,2.11,0.66,0.99,1.65
国豪书院（未来技术学院）,11.7,2.13,1.94,2.91,4.85
国家卓越工程师学院，国际工程师学院,7.0,0.0,1.2,1.8,3.0
中意工程创新学院,4.0,0.0,0.6,0.9,1.5
启迪书院,9.76,2.11,1.75,2.63,4.38
口腔医学院,5.21,2.05,0.84,1.26,2.1
上海自主智能无人系统科学中心,4.23,2.12,0.45,0.67,1.11
同济大学上海国际设计创新学院,4.66,2.07,0.93,1.4,2.33
