部门名称,GPR预测(含组织员),GPR_std,正科(20%),副科(30%),科级以下(50%)
物理科学与工程学院,6.9,2.3,1.18,1.77,2.95
数学科学学院,8.72,2.38,1.54,2.32,3.86
化学科学与工程学院,6.34,2.3,1.07,1.6,2.67
海洋与地球科学学院,5.51,2.05,0.9,1.35,2.25
生命科学与技术学院,5.85,2.05,0.97,1.46,2.43
机械工程与机器人学院,9.74,2.23,1.55,2.32,3.87
测绘与地理信息学院,5.69,2.08,0.94,1.41,2.34
计算机科学与技术学院（软件学院）,10.83,2.5,1.77,2.65,4.41
汽车与能源学院,11.7,2.11,1.94,2.91,4.85
材料科学与工程学院,7.61,2.07,1.32,1.98,3.3
电子与信息工程学院,18.64,2.28,3.33,4.99,8.32
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,9.56,2.1,1.51,2.27,3.78
土木工程学院,14.22,2.15,1.84,2.77,4.61
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,13.74,2.13,2.35,3.52,5.87
建筑与城市规划学院,13.45,2.13,2.09,3.14,5.23
航空航天与力学学院,5.94,2.19,0.99,1.48,2.47
中德工程学院，职业技术教育学院,17.5,2.17,3.3,4.95,8.25
医学院,20.54,2.24,3.31,4.96,8.27
设计创意学院,7.09,2.07,1.22,1.83,3.05
人文学院,6.32,2.05,1.06,1.6,2.66
外国语学院,9.65,2.56,1.73,2.6,4.33
经济与管理学院,16.0,2.13,2.8,4.2,7.0
政治与国际关系学院,5.05,2.05,0.81,1.22,2.03
艺术与传媒学院,6.84,2.08,1.17,1.75,2.92
上海国际知识产权学院,4.82,2.06,0.76,1.15,1.91
马克思主义学院,6.31,2.42,1.06,1.59,2.65
国际文化交流学院,4.77,2.06,0.75,1.13,1.89
法学院,5.91,2.05,0.98,1.47,2.46
体育部（国际足球学院）,5.07,2.05,0.81,1.22,2.03
医学与生命科学部,2.0,0.0,0.2,0.3,0.5
出国培训学院，留德预备部,4.07,2.12,0.81,1.22,2.03
网络教育学院，继续教育学院,4.07,2.11,0.61,0.92,1.54
中德学院,4.42,2.08,0.68,1.03,1.71
创新创业学院,4.07,2.12,0.61,0.92,1.53
新生院,4.15,2.1,0.63,0.95,1.58
国豪书院（未来技术学院）,11.8,2.12,1.96,2.94,4.9
国家卓越工程师学院，国际工程师学院,7.0,0.0,1.2,1.8,3.0
中意工程创新学院,4.0,0.0,0.6,0.9,1.5
启迪书院,9.92,2.1,1.78,2.68,4.46
口腔医学院,5.24,2.05,0.85,1.27,2.12
上海自主智能无人系统科学中心,4.07,2.12,0.41,0.62,1.03
同济大学上海国际设计创新学院,4.61,2.07,0.92,1.38,2.31
