部门名称,GPR预测(含组织员),GPR_std,正科(20%),副科(30%),科级以下(50%)
物理科学与工程学院,6.11,2.04,1.02,1.53,2.55
数学科学学院,6.15,2.04,1.03,1.54,2.57
化学科学与工程学院,5.98,2.04,1.0,1.49,2.49
海洋与地球科学学院,5.72,2.04,0.94,1.42,2.36
生命科学与技术学院,6.03,2.04,1.01,1.51,2.52
机械工程与机器人学院,10.85,2.08,1.77,2.66,4.43
测绘与地理信息学院,5.93,2.04,0.99,1.48,2.47
计算机科学与技术学院（软件学院）,14.81,2.1,2.56,3.84,6.4
汽车与能源学院,11.19,2.08,1.84,2.76,4.6
材料科学与工程学院,7.65,2.05,1.33,1.99,3.32
电子与信息工程学院,19.03,2.16,3.41,5.11,8.52
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,9.29,2.07,1.46,2.19,3.65
土木工程学院,14.04,2.1,1.81,2.71,4.52
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,13.03,2.09,2.21,3.31,5.52
建筑与城市规划学院,12.77,2.09,1.95,2.93,4.89
航空航天与力学学院,6.18,2.04,1.04,1.56,2.59
中德工程学院，职业技术教育学院,16.53,2.12,3.11,4.66,7.77
医学院,19.51,2.18,3.1,4.65,7.76
设计创意学院,7.12,2.05,1.22,1.84,3.06
人文学院,6.49,2.04,1.1,1.65,2.74
外国语学院,6.24,2.04,1.05,1.57,2.62
经济与管理学院,15.27,2.11,2.65,3.98,6.63
政治与国际关系学院,5.32,2.04,0.86,1.3,2.16
艺术与传媒学院,7.01,2.05,1.2,1.8,3.01
上海国际知识产权学院,5.11,2.05,0.82,1.23,2.06
马克思主义学院,5.14,2.05,0.83,1.24,2.07
国际文化交流学院,5.07,2.05,0.81,1.22,2.03
法学院,6.08,2.04,1.02,1.53,2.54
体育部（国际足球学院）,5.33,2.04,0.87,1.3,2.17
医学与生命科学部,2.0,0.0,0.2,0.3,0.5
出国培训学院，留德预备部,4.42,2.11,0.88,1.33,2.21
网络教育学院，继续教育学院,4.43,2.11,0.69,1.03,1.71
中德学院,4.75,2.07,0.75,1.12,1.87
创新创业学院,4.42,2.11,0.68,1.03,1.71
新生院,4.5,2.1,0.7,1.05,1.75
国豪书院（未来技术学院）,11.28,2.08,1.86,2.78,4.64
国家卓越工程师学院，国际工程师学院,7.0,0.0,1.2,1.8,3.0
中意工程创新学院,4.0,0.0,0.6,0.9,1.5
启迪书院,9.61,2.07,1.72,2.58,4.31
口腔医学院,5.49,2.04,0.9,1.35,2.24
上海自主智能无人系统科学中心,4.42,2.11,0.48,0.73,1.21
同济大学上海国际设计创新学院,4.93,2.06,0.99,1.48,2.46
