部门名称,GPR预测(含组织员),GPR_std,正科(20%),副科(30%),科级以下(50%)
物理科学与工程学院,8.82,2.25,1.56,2.35,3.91
数学科学学院,7.24,2.77,1.25,1.87,3.12
化学科学与工程学院,7.58,2.17,1.32,1.97,3.29
海洋与地球科学学院,8.25,2.15,1.45,2.18,3.63
生命科学与技术学院,9.41,2.2,1.68,2.52,4.2
机械工程与机器人学院,10.75,2.15,1.75,2.62,4.37
测绘与地理信息学院,7.56,2.08,1.31,1.97,3.28
计算机科学与技术学院（软件学院）,16.07,2.44,2.81,4.22,7.04
汽车与能源学院,12.47,2.11,2.09,3.14,5.24
材料科学与工程学院,10.4,2.12,1.88,2.82,4.7
电子与信息工程学院,17.83,2.56,3.17,4.75,7.92
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,14.48,2.29,2.5,3.74,6.24
土木工程学院,19.02,2.51,2.8,4.21,7.01
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,16.66,2.27,2.93,4.4,7.33
建筑与城市规划学院,17.89,2.41,2.98,4.47,7.45
航空航天与力学学院,8.28,2.12,1.46,2.18,3.64
中德工程学院，职业技术教育学院,10.44,4.76,1.89,2.83,4.72
医学院,19.1,2.18,3.02,4.53,7.55
设计创意学院,7.0,2.06,1.2,1.8,3.0
人文学院,8.38,2.1,1.48,2.21,3.69
外国语学院,9.39,2.37,1.68,2.52,4.19
经济与管理学院,17.05,2.16,3.01,4.51,7.52
政治与国际关系学院,5.79,2.06,0.96,1.44,2.4
艺术与传媒学院,7.22,2.09,1.24,1.87,3.11
上海国际知识产权学院,5.34,2.09,0.87,1.3,2.17
马克思主义学院,6.92,2.2,1.18,1.77,2.96
国际文化交流学院,4.38,2.1,0.68,1.01,1.69
法学院,6.23,2.05,1.05,1.57,2.61
体育部（国际足球学院）,7.29,2.14,1.26,1.89,3.14
医学与生命科学部,2.0,0.0,0.2,0.3,0.5
出国培训学院，留德预备部,3.77,2.1,0.75,1.13,1.88
网络教育学院，继续教育学院,3.83,2.1,0.57,0.85,1.42
中德学院,3.89,2.1,0.58,0.87,1.44
创新创业学院,3.61,2.11,0.52,0.78,1.31
新生院,3.57,2.1,0.51,0.77,1.28
国豪书院（未来技术学院）,7.86,2.96,1.17,1.76,2.93
国家卓越工程师学院，国际工程师学院,7.0,0.0,1.2,1.8,3.0
中意工程创新学院,4.0,0.0,0.6,0.9,1.5
启迪书院,6.72,2.59,1.14,1.72,2.86
口腔医学院,4.03,2.1,0.61,0.91,1.51
上海自主智能无人系统科学中心,3.58,2.11,0.32,0.47,0.79
同济大学上海国际设计创新学院,4.0,2.11,0.8,1.2,2.0
