部门名称,GPR预测(含组织员),GPR_std,正科(20%),副科(30%),科级以下(50%)
物理科学与工程学院,8.67,2.25,1.53,2.3,3.83
数学科学学院,8.42,2.31,1.48,2.23,3.71
化学科学与工程学院,7.33,2.19,1.27,1.9,3.16
海洋与地球科学学院,8.12,2.16,1.42,2.14,3.56
生命科学与技术学院,9.25,2.21,1.65,2.48,4.13
机械工程与机器人学院,10.59,2.16,1.72,2.58,4.3
测绘与地理信息学院,7.4,2.08,1.28,1.92,3.2
计算机科学与技术学院（软件学院）,15.58,2.57,2.72,4.08,6.79
汽车与能源学院,12.46,2.11,2.09,3.14,5.23
材料科学与工程学院,10.26,2.12,1.85,2.78,4.63
电子与信息工程学院,17.82,2.57,3.16,4.75,7.91
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,14.33,2.3,2.47,3.7,6.16
土木工程学院,18.78,2.54,2.76,4.13,6.89
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,16.59,2.27,2.92,4.38,7.3
建筑与城市规划学院,17.75,2.42,2.95,4.43,7.38
航空航天与力学学院,8.04,2.14,1.41,2.11,3.52
中德工程学院，职业技术教育学院,10.63,4.79,1.93,2.89,4.81
医学院,19.17,2.18,3.03,4.55,7.59
设计创意学院,6.99,2.06,1.2,1.8,3.0
人文学院,8.23,2.11,1.45,2.17,3.61
外国语学院,9.7,2.5,1.74,2.61,4.35
经济与管理学院,16.98,2.16,3.0,4.49,7.49
政治与国际关系学院,5.74,2.06,0.95,1.42,2.37
艺术与传媒学院,7.09,2.1,1.22,1.83,3.05
上海国际知识产权学院,5.33,2.09,0.87,1.3,2.17
马克思主义学院,6.69,2.27,1.14,1.71,2.84
国际文化交流学院,4.34,2.1,0.67,1.0,1.67
法学院,6.2,2.05,1.04,1.56,2.6
体育部（国际足球学院）,7.16,2.15,1.23,1.85,3.08
医学与生命科学部,2.0,0.0,0.2,0.3,0.5
出国培训学院，留德预备部,3.76,2.1,0.75,1.13,1.88
网络教育学院，继续教育学院,3.82,2.1,0.56,0.85,1.41
中德学院,3.91,2.11,0.58,0.87,1.46
创新创业学院,3.61,2.11,0.52,0.78,1.31
新生院,3.57,2.1,0.51,0.77,1.28
国豪书院（未来技术学院）,7.98,2.98,1.2,1.79,2.99
国家卓越工程师学院，国际工程师学院,7.0,0.0,1.2,1.8,3.0
中意工程创新学院,4.0,0.0,0.6,0.9,1.5
启迪书院,6.8,2.6,1.16,1.74,2.9
口腔医学院,4.07,2.1,0.61,0.92,1.53
上海自主智能无人系统科学中心,3.58,2.11,0.32,0.48,0.79
同济大学上海国际设计创新学院,4.04,2.11,0.81,1.21,2.02
