部门名称,GPR预测(含组织员),GPR_std,正科(20%),副科(30%),科级以下(50%)
物理科学与工程学院,8.95,2.19,1.59,2.38,3.97
数学科学学院,8.37,2.16,1.47,2.21,3.69
化学科学与工程学院,7.32,2.13,1.26,1.9,3.16
海洋与地球科学学院,8.26,2.2,1.45,2.18,3.63
生命科学与技术学院,9.41,2.25,1.68,2.52,4.2
机械工程与机器人学院,11.13,2.14,1.83,2.74,4.57
测绘与地理信息学院,7.04,2.15,1.21,1.81,3.02
计算机科学与技术学院（软件学院）,17.55,2.32,3.11,4.67,7.78
汽车与能源学院,12.28,2.17,2.06,3.08,5.14
材料科学与工程学院,10.11,2.13,1.82,2.73,4.55
电子与信息工程学院,17.57,2.61,3.11,4.67,7.79
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,14.48,2.35,2.5,3.74,6.24
土木工程学院,19.25,2.75,2.85,4.27,7.12
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,16.29,2.38,2.86,4.29,7.14
建筑与城市规划学院,17.59,2.52,2.92,4.38,7.29
航空航天与力学学院,7.92,2.13,1.38,2.07,3.46
中德工程学院，职业技术教育学院,10.23,5.12,1.85,2.77,4.61
医学院,18.75,2.28,2.95,4.42,7.37
设计创意学院,6.92,2.09,1.18,1.78,2.96
人文学院,7.82,2.11,1.36,2.05,3.41
外国语学院,10.02,2.27,1.8,2.71,4.51
经济与管理学院,17.57,2.34,3.11,4.67,7.79
政治与国际关系学院,5.81,2.08,0.96,1.44,2.4
艺术与传媒学院,6.57,2.15,1.11,1.67,2.79
上海国际知识产权学院,5.45,2.1,0.89,1.34,2.23
马克思主义学院,6.47,2.21,1.09,1.64,2.73
国际文化交流学院,4.52,2.11,0.7,1.06,1.76
法学院,6.18,2.07,1.04,1.55,2.59
体育部（国际足球学院）,7.29,2.18,1.26,1.89,3.15
医学与生命科学部,2.0,0.0,0.2,0.3,0.5
出国培训学院，留德预备部,3.91,2.11,0.78,1.17,1.96
网络教育学院，继续教育学院,3.98,2.11,0.6,0.89,1.49
中德学院,4.01,2.11,0.6,0.9,1.5
创新创业学院,3.76,2.11,0.55,0.83,1.38
新生院,3.69,2.11,0.54,0.81,1.34
国豪书院（未来技术学院）,7.93,3.06,1.19,1.78,2.96
国家卓越工程师学院，国际工程师学院,7.0,0.0,1.2,1.8,3.0
中意工程创新学院,4.0,0.0,0.6,0.9,1.5
启迪书院,6.73,2.64,1.15,1.72,2.87
口腔医学院,4.02,2.11,0.6,0.91,1.51
上海自主智能无人系统科学中心,3.73,2.12,0.35,0.52,0.86
同济大学上海国际设计创新学院,4.11,2.12,0.82,1.23,2.05
