部门名称,GPR预测(含组织员),GPR_std,正科(20%),副科(30%),科级以下(50%)
物理科学与工程学院,8.55,2.25,1.51,2.26,3.77
数学科学学院,8.5,2.31,1.5,2.25,3.75
化学科学与工程学院,7.23,2.19,1.25,1.87,3.11
海洋与地球科学学院,7.73,2.17,1.35,2.02,3.37
生命科学与技术学院,8.66,2.23,1.53,2.3,3.83
机械工程与机器人学院,10.3,2.15,1.66,2.49,4.15
测绘与地理信息学院,7.2,2.09,1.24,1.86,3.1
计算机科学与技术学院（软件学院）,15.13,2.58,2.63,3.94,6.57
汽车与能源学院,11.32,2.16,1.86,2.8,4.66
材料科学与工程学院,9.52,2.15,1.7,2.56,4.26
电子与信息工程学院,17.49,2.59,3.1,4.65,7.74
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,14.89,2.39,2.58,3.87,6.44
土木工程学院,20.01,2.65,3.0,4.5,7.5
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,15.63,2.36,2.73,4.09,6.82
建筑与城市规划学院,18.67,2.72,3.13,4.7,7.83
航空航天与力学学院,7.73,2.14,1.35,2.02,3.37
中德工程学院，职业技术教育学院,11.78,4.88,2.16,3.24,5.39
医学院,19.38,2.22,3.08,4.61,7.69
设计创意学院,7.83,2.14,1.37,2.05,3.42
人文学院,7.87,2.12,1.37,2.06,3.43
外国语学院,9.66,2.48,1.73,2.6,4.33
经济与管理学院,18.85,2.35,3.37,5.06,8.43
政治与国际关系学院,5.89,2.07,0.98,1.47,2.44
艺术与传媒学院,7.51,2.11,1.3,1.95,3.25
上海国际知识产权学院,5.57,2.1,0.91,1.37,2.29
马克思主义学院,6.73,2.26,1.15,1.72,2.87
国际文化交流学院,4.9,2.99,0.78,1.17,1.95
法学院,6.17,2.05,1.03,1.55,2.58
体育部（国际足球学院）,6.86,2.15,1.17,1.76,2.93
医学与生命科学部,2.0,0.0,0.2,0.3,0.5
出国培训学院，留德预备部,3.73,2.11,0.75,1.12,1.86
网络教育学院，继续教育学院,4.14,2.14,0.63,0.94,1.57
中德学院,3.87,2.11,0.57,0.86,1.44
创新创业学院,3.59,2.12,0.52,0.78,1.29
新生院,3.53,2.11,0.51,0.76,1.27
国豪书院（未来技术学院）,7.85,2.95,1.17,1.75,2.92
国家卓越工程师学院，国际工程师学院,7.0,0.0,1.2,1.8,3.0
中意工程创新学院,4.0,0.0,0.6,0.9,1.5
启迪书院,6.63,2.6,1.13,1.69,2.82
口腔医学院,4.02,2.1,0.6,0.91,1.51
上海自主智能无人系统科学中心,3.56,2.12,0.31,0.47,0.78
同济大学上海国际设计创新学院,3.99,2.12,0.8,1.2,2.0
