部门名称,GPR预测(含组织员),GPR_std,正科(20%),副科(30%),科级以下(50%)
物理科学与工程学院,8.82,2.16,1.56,2.34,3.91
数学科学学院,8.3,2.13,1.46,2.19,3.65
化学科学与工程学院,7.34,2.09,1.27,1.9,3.17
海洋与地球科学学院,7.86,2.12,1.37,2.06,3.43
生命科学与技术学院,8.83,2.16,1.57,2.35,3.91
机械工程与机器人学院,10.48,2.1,1.7,2.54,4.24
测绘与地理信息学院,7.31,2.07,1.26,1.89,3.16
计算机科学与技术学院（软件学院）,16.51,2.31,2.9,4.35,7.26
汽车与能源学院,11.04,2.14,1.81,2.71,4.52
材料科学与工程学院,9.54,2.11,1.71,2.56,4.27
电子与信息工程学院,17.13,2.63,3.03,4.54,7.57
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,15.44,2.45,2.69,4.03,6.72
土木工程学院,20.31,2.76,3.06,4.59,7.66
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,15.65,2.35,2.73,4.09,6.82
建筑与城市规划学院,18.48,2.84,3.1,4.64,7.74
航空航天与力学学院,7.92,2.1,1.38,2.07,3.46
中德工程学院，职业技术教育学院,11.56,5.35,2.11,3.17,5.28
医学院,19.58,2.23,3.12,4.67,7.79
设计创意学院,7.79,2.18,1.36,2.04,3.39
人文学院,7.86,2.08,1.37,2.06,3.43
外国语学院,9.69,2.23,1.74,2.61,4.35
经济与管理学院,19.23,2.41,3.45,5.17,8.61
政治与国际关系学院,5.93,2.07,0.99,1.48,2.47
艺术与传媒学院,7.44,2.12,1.29,1.93,3.22
上海国际知识产权学院,5.71,2.12,0.94,1.41,2.36
马克思主义学院,6.81,2.12,1.16,1.74,2.91
国际文化交流学院,4.53,3.06,0.71,1.06,1.76
法学院,6.03,2.05,1.01,1.51,2.52
体育部（国际足球学院）,6.97,2.12,1.19,1.79,2.98
医学与生命科学部,2.0,0.0,0.2,0.3,0.5
出国培训学院，留德预备部,3.88,2.12,0.78,1.17,1.94
网络教育学院，继续教育学院,4.36,2.16,0.67,1.01,1.68
中德学院,3.94,2.12,0.59,0.88,1.47
创新创业学院,3.73,2.12,0.55,0.82,1.37
新生院,3.63,2.12,0.53,0.79,1.32
国豪书院（未来技术学院）,8.09,3.02,1.22,1.83,3.04
国家卓越工程师学院，国际工程师学院,7.0,0.0,1.2,1.8,3.0
中意工程创新学院,4.0,0.0,0.6,0.9,1.5
启迪书院,6.7,2.62,1.14,1.71,2.85
口腔医学院,3.84,2.11,0.57,0.85,1.42
上海自主智能无人系统科学中心,3.7,2.13,0.34,0.51,0.85
同济大学上海国际设计创新学院,4.02,2.13,0.8,1.21,2.01
