部门名称,GPR预测(含组织员),GPR_std,正科(20%),副科(30%),科级以下(50%)
物理科学与工程学院,8.6,2.23,1.52,2.28,3.8
数学科学学院,7.36,2.73,1.27,1.91,3.18
化学科学与工程学院,7.48,2.15,1.3,1.94,3.24
海洋与地球科学学院,8.0,2.15,1.4,2.1,3.5
生命科学与技术学院,8.91,2.2,1.58,2.37,3.96
机械工程与机器人学院,10.54,2.13,1.71,2.56,4.27
测绘与地理信息学院,7.35,2.08,1.27,1.9,3.17
计算机科学与技术学院（软件学院）,15.51,2.38,2.7,4.05,6.75
汽车与能源学院,11.48,2.15,1.9,2.84,4.74
材料科学与工程学院,9.81,2.13,1.76,2.64,4.4
电子与信息工程学院,17.5,2.54,3.1,4.65,7.75
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,14.63,2.32,2.53,3.79,6.32
土木工程学院,20.32,2.59,3.06,4.6,7.66
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,15.25,2.31,2.65,3.97,6.62
建筑与城市规划学院,19.14,2.5,3.23,4.84,8.07
航空航天与力学学院,8.04,2.11,1.41,2.11,3.52
中德工程学院，职业技术教育学院,10.98,4.51,2.0,3.0,4.99
医学院,19.06,2.18,3.01,4.52,7.53
设计创意学院,7.53,2.13,1.31,1.96,3.26
人文学院,8.12,2.1,1.42,2.13,3.56
外国语学院,9.19,2.33,1.64,2.46,4.09
经济与管理学院,19.07,2.5,3.41,5.12,8.53
政治与国际关系学院,5.92,2.07,0.98,1.48,2.46
艺术与传媒学院,7.49,2.09,1.3,1.95,3.24
上海国际知识产权学院,5.47,2.11,0.89,1.34,2.23
马克思主义学院,6.83,2.17,1.17,1.75,2.91
国际文化交流学院,5.1,2.91,0.82,1.23,2.05
法学院,6.33,2.05,1.07,1.6,2.66
体育部（国际足球学院）,7.08,2.14,1.22,1.82,3.04
医学与生命科学部,2.0,0.0,0.2,0.3,0.5
出国培训学院，留德预备部,3.75,2.1,0.75,1.13,1.88
网络教育学院，继续教育学院,3.82,2.1,0.56,0.85,1.41
中德学院,3.89,2.11,0.58,0.87,1.45
创新创业学院,3.59,2.11,0.52,0.78,1.3
新生院,3.57,2.1,0.51,0.77,1.28
国豪书院（未来技术学院）,7.48,2.88,1.1,1.64,2.74
国家卓越工程师学院，国际工程师学院,7.0,0.0,1.2,1.8,3.0
中意工程创新学院,4.0,0.0,0.6,0.9,1.5
启迪书院,6.45,2.56,1.09,1.63,2.72
口腔医学院,4.13,2.09,0.63,0.94,1.56
上海自主智能无人系统科学中心,3.56,2.11,0.31,0.47,0.78
同济大学上海国际设计创新学院,4.01,2.11,0.8,1.2,2.0
