部门名称,GPR预测(含组织员),GPR_std,正科(20%),副科(30%),科级以下(50%)
物理科学与工程学院,8.49,2.22,1.5,2.25,3.74
数学科学学院,8.38,2.3,1.48,2.22,3.69
化学科学与工程学院,7.28,2.17,1.26,1.88,3.14
海洋与地球科学学院,7.84,2.15,1.37,2.05,3.42
生命科学与技术学院,8.72,2.21,1.54,2.32,3.86
机械工程与机器人学院,10.38,2.14,1.68,2.51,4.19
测绘与地理信息学院,7.17,2.09,1.23,1.85,3.09
计算机科学与技术学院（软件学院）,15.11,2.49,2.62,3.93,6.56
汽车与能源学院,11.42,2.15,1.88,2.83,4.71
材料科学与工程学院,9.63,2.14,1.73,2.59,4.32
电子与信息工程学院,17.42,2.56,3.08,4.63,7.71
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,14.51,2.33,2.5,3.75,6.26
土木工程学院,20.19,2.61,3.04,4.56,7.59
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,15.14,2.32,2.63,3.94,6.57
建筑与城市规划学院,19.08,2.51,3.22,4.82,8.04
航空航天与力学学院,7.78,2.13,1.36,2.03,3.39
中德工程学院，职业技术教育学院,11.27,4.57,2.05,3.08,5.14
医学院,19.16,2.19,3.03,4.55,7.58
设计创意学院,7.53,2.13,1.31,1.96,3.26
人文学院,7.95,2.11,1.39,2.08,3.47
外国语学院,9.59,2.47,1.72,2.58,4.29
经济与管理学院,19.09,2.51,3.42,5.13,8.55
政治与国际关系学院,5.86,2.07,0.97,1.46,2.43
艺术与传媒学院,7.36,2.1,1.27,1.91,3.18
上海国际知识产权学院,5.45,2.11,0.89,1.34,2.23
马克思主义学院,6.7,2.24,1.14,1.71,2.85
国际文化交流学院,5.06,2.91,0.81,1.22,2.03
法学院,6.28,2.05,1.06,1.58,2.64
体育部（国际足球学院）,6.93,2.15,1.19,1.78,2.97
医学与生命科学部,2.0,0.0,0.2,0.3,0.5
出国培训学院，留德预备部,3.75,2.11,0.75,1.12,1.87
网络教育学院，继续教育学院,3.81,2.1,0.56,0.84,1.41
中德学院,3.91,2.11,0.58,0.87,1.46
创新创业学院,3.6,2.11,0.52,0.78,1.3
新生院,3.57,2.1,0.51,0.77,1.29
国豪书院（未来技术学院）,7.65,2.9,1.13,1.7,2.83
国家卓越工程师学院，国际工程师学院,7.0,0.0,1.2,1.8,3.0
中意工程创新学院,4.0,0.0,0.6,0.9,1.5
启迪书院,6.56,2.58,1.11,1.67,2.78
口腔医学院,4.15,2.09,0.63,0.94,1.57
上海自主智能无人系统科学中心,3.57,2.11,0.31,0.47,0.78
同济大学上海国际设计创新学院,4.04,2.11,0.81,1.21,2.02
