部门名称,GPR预测(含组织员),GPR_std,正科(20%),副科(30%),科级以下(50%)
物理科学与工程学院,8.52,2.17,1.5,2.26,3.76
数学科学学院,8.07,2.14,1.41,2.12,3.54
化学科学与工程学院,7.24,2.12,1.25,1.87,3.12
海洋与地球科学学院,8.21,2.17,1.44,2.16,3.61
生命科学与技术学院,9.17,2.23,1.63,2.45,4.09
机械工程与机器人学院,10.44,2.13,1.69,2.53,4.22
测绘与地理信息学院,6.99,2.13,1.2,1.8,3.0
计算机科学与技术学院（软件学院）,15.96,2.29,2.79,4.19,6.98
汽车与能源学院,11.72,2.18,1.94,2.92,4.86
材料科学与工程学院,9.41,2.13,1.68,2.52,4.2
电子与信息工程学院,17.22,2.57,3.04,4.57,7.61
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,14.67,2.35,2.53,3.8,6.33
土木工程学院,20.68,2.72,3.14,4.71,7.84
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,15.53,2.37,2.71,4.06,6.76
建筑与城市规划学院,18.8,2.62,3.16,4.74,7.9
航空航天与力学学院,7.72,2.12,1.34,2.02,3.36
中德工程学院，职业技术教育学院,10.98,4.66,2.0,2.99,4.99
医学院,18.97,2.25,2.99,4.49,7.49
设计创意学院,7.53,2.14,1.31,1.96,3.26
人文学院,7.72,2.11,1.34,2.02,3.36
外国语学院,9.4,2.23,1.68,2.52,4.2
经济与管理学院,19.87,2.67,3.57,5.36,8.93
政治与国际关系学院,6.02,2.08,1.0,1.51,2.51
艺术与传媒学院,7.21,2.15,1.24,1.86,3.1
上海国际知识产权学院,5.54,2.12,0.91,1.36,2.27
马克思主义学院,6.53,2.18,1.11,1.66,2.77
国际文化交流学院,4.87,2.93,0.77,1.16,1.93
法学院,6.43,2.07,1.09,1.63,2.72
体育部（国际足球学院）,7.29,2.16,1.26,1.89,3.14
医学与生命科学部,2.0,0.0,0.2,0.3,0.5
出国培训学院，留德预备部,3.82,2.11,0.76,1.15,1.91
网络教育学院，继续教育学院,3.89,2.1,0.58,0.87,1.44
中德学院,3.95,2.11,0.59,0.89,1.48
创新创业学院,3.65,2.11,0.53,0.79,1.32
新生院,3.62,2.11,0.52,0.79,1.31
国豪书院（未来技术学院）,7.52,2.92,1.1,1.66,2.76
国家卓越工程师学院，国际工程师学院,7.0,0.0,1.2,1.8,3.0
中意工程创新学院,4.0,0.0,0.6,0.9,1.5
启迪书院,6.47,2.59,1.09,1.64,2.74
口腔医学院,4.17,2.1,0.63,0.95,1.58
上海自主智能无人系统科学中心,3.61,2.11,0.32,0.48,0.81
同济大学上海国际设计创新学院,4.07,2.12,0.81,1.22,2.03
