部门名称,GPR预测(含组织员),GPR_std,正科(20%),副科(30%),科级以下(50%)
物理科学与工程学院,8.74,2.15,1.55,2.32,3.87
数学科学学院,8.28,2.12,1.46,2.18,3.64
化学科学与工程学院,7.46,2.08,1.29,1.94,3.23
海洋与地球科学学院,7.86,2.11,1.37,2.06,3.43
生命科学与技术学院,8.76,2.15,1.55,2.33,3.88
机械工程与机器人学院,10.6,2.09,1.72,2.58,4.3
测绘与地理信息学院,7.24,2.07,1.25,1.87,3.12
计算机科学与技术学院（软件学院）,16.16,2.24,2.83,4.25,7.08
汽车与能源学院,11.16,2.12,1.83,2.75,4.58
材料科学与工程学院,9.6,2.1,1.72,2.58,4.3
电子与信息工程学院,17.11,2.58,3.02,4.53,7.56
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,14.73,2.35,2.55,3.82,6.37
土木工程学院,20.35,2.68,3.07,4.6,7.67
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,14.94,2.28,2.59,3.88,6.47
建筑与城市规划学院,19.23,2.57,3.25,4.87,8.12
航空航天与力学学院,7.93,2.1,1.39,2.08,3.46
中德工程学院，职业技术教育学院,11.26,4.91,2.05,3.08,5.13
医学院,19.17,2.19,3.03,4.55,7.58
设计创意学院,7.37,2.16,1.27,1.91,3.18
人文学院,7.89,2.08,1.38,2.07,3.45
外国语学院,9.6,2.21,1.72,2.58,4.3
经济与管理学院,19.31,2.58,3.46,5.19,8.65
政治与国际关系学院,5.82,2.07,0.96,1.45,2.41
艺术与传媒学院,7.24,2.1,1.25,1.87,3.12
上海国际知识产权学院,5.48,2.13,0.9,1.35,2.24
马克思主义学院,6.85,2.11,1.17,1.75,2.92
国际文化交流学院,4.82,2.95,0.76,1.15,1.91
法学院,6.14,2.05,1.03,1.54,2.57
体育部（国际足球学院）,6.94,2.11,1.19,1.78,2.97
医学与生命科学部,2.0,0.0,0.2,0.3,0.5
出国培训学院，留德预备部,3.87,2.11,0.77,1.16,1.94
网络教育学院，继续教育学院,3.93,2.11,0.59,0.88,1.47
中德学院,3.98,2.11,0.6,0.89,1.49
创新创业学院,3.72,2.12,0.54,0.82,1.36
新生院,3.66,2.11,0.53,0.8,1.33
国豪书院（未来技术学院）,7.74,2.96,1.15,1.72,2.87
国家卓越工程师学院，国际工程师学院,7.0,0.0,1.2,1.8,3.0
中意工程创新学院,4.0,0.0,0.6,0.9,1.5
启迪书院,6.53,2.58,1.11,1.66,2.76
口腔医学院,4.03,2.1,0.61,0.91,1.52
上海自主智能无人系统科学中心,3.69,2.12,0.34,0.51,0.85
同济大学上海国际设计创新学院,4.08,2.12,0.82,1.22,2.04
