部门名称,GPR预测(含组织员),GPR_std,正科(20%),副科(30%),科级以下(50%)
物理科学与工程学院,9.12,2.16,1.62,2.44,4.06
数学科学学院,8.56,2.13,1.51,2.27,3.78
化学科学与工程学院,7.58,2.09,1.32,1.98,3.29
海洋与地球科学学院,7.97,2.12,1.39,2.09,3.48
生命科学与技术学院,9.12,2.16,1.62,2.44,4.06
机械工程与机器人学院,10.88,2.1,1.78,2.66,4.44
测绘与地理信息学院,7.34,2.07,1.27,1.9,3.17
计算机科学与技术学院（软件学院）,17.27,2.23,3.05,4.58,7.63
汽车与能源学院,12.14,2.1,2.03,3.04,5.07
材料科学与工程学院,10.08,2.1,1.82,2.73,4.54
电子与信息工程学院,17.22,2.62,3.04,4.57,7.61
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,14.45,2.29,2.49,3.73,6.22
土木工程学院,19.0,2.64,2.8,4.2,7.0
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,16.48,2.27,2.9,4.34,7.24
建筑与城市规划学院,17.86,2.46,2.97,4.46,7.43
航空航天与力学学院,8.12,2.1,1.42,2.14,3.56
中德工程学院，职业技术教育学院,10.46,5.36,1.89,2.84,4.73
医学院,19.27,2.19,3.05,4.58,7.63
设计创意学院,6.6,2.06,1.12,1.68,2.8
人文学院,8.0,2.08,1.4,2.1,3.5
外国语学院,10.14,2.23,1.83,2.74,4.57
经济与管理学院,17.24,2.18,3.05,4.57,7.62
政治与国际关系学院,5.58,2.06,0.92,1.37,2.29
艺术与传媒学院,6.79,2.1,1.16,1.74,2.9
上海国际知识产权学院,5.34,2.09,0.87,1.3,2.17
马克思主义学院,6.95,2.12,1.19,1.79,2.98
国际文化交流学院,4.51,2.11,0.7,1.05,1.75
法学院,5.89,2.05,0.98,1.47,2.44
体育部（国际足球学院）,7.01,2.12,1.2,1.8,3.01
医学与生命科学部,2.0,0.0,0.2,0.3,0.5
出国培训学院，留德预备部,3.97,2.11,0.79,1.19,1.98
网络教育学院，继续教育学院,4.02,2.11,0.6,0.91,1.51
中德学院,4.03,2.11,0.61,0.91,1.52
创新创业学院,3.83,2.12,0.57,0.85,1.42
新生院,3.73,2.11,0.55,0.82,1.37
国豪书院（未来技术学院）,8.36,3.09,1.27,1.91,3.18
国家卓越工程师学院，国际工程师学院,7.0,0.0,1.2,1.8,3.0
中意工程创新学院,4.0,0.0,0.6,0.9,1.5
启迪书院,7.03,2.63,1.21,1.81,3.01
口腔医学院,3.91,2.11,0.58,0.87,1.45
上海自主智能无人系统科学中心,3.8,2.12,0.36,0.54,0.9
同济大学上海国际设计创新学院,4.12,2.12,0.82,1.24,2.06
