部门名称,官方参数1,2026实际编制,本+研+师_预测,本+研+师_差值,本+研+师+是否公课_预测,本+研+师+是否公课_差值,本+研+师+公课数量_预测,本+研+师+公课数量_差值,本+研+师+公课学分_预测,本+研+师+公课学分_差值,本+研+师+留_预测,本+研+师+留_差值,本+研+师+留+是否公课_预测,本+研+师+留+是否公课_差值,本+研+师+长留_预测,本+研+师+长留_差值,本+研+师+长留+公课学分_预测,本+研+师+长留+公课学分_差值,本+研+师+留+公课学分_预测,本+研+师+留+公课学分_差值,本+研+师+长留+公课数量_预测,本+研+师+长留+公课数量_差值,本+研+师+长留+是否公课_预测,本+研+师+长留+是否公课_差值,本+研+师+留+公课数量_预测,本+研+师+留+公课数量_差值,折合学生数+是否公课_预测,折合学生数+是否公课_差值,折合学生数+公课数量_预测,折合学生数+公课数量_差值,折合学生数+公课学分_预测,折合学生数+公课学分_差值,折合学生数_预测,折合学生数_差值
物理科学与工程学院,9.5,6,9.12,-0.38,8.95,-0.56,8.67,-0.84,8.82,-0.69,8.82,-0.69,8.62,-0.88,8.74,-0.76,8.6,-0.91,8.76,-0.75,8.49,-1.02,8.52,-0.98,8.55,-0.96,6.96,-2.54,6.9,-2.61,8.63,-0.87,6.11,-3.4
数学科学学院,9.01,6,8.56,-0.45,8.37,-0.64,8.42,-0.59,7.24,-1.77,8.3,-0.71,8.15,-0.86,8.28,-0.73,7.36,-1.65,7.37,-1.65,8.38,-0.63,8.07,-0.94,8.5,-0.51,6.98,-2.03,8.72,-0.29,6.69,-2.32,6.15,-2.86
化学科学与工程学院,7.77,7,7.58,-0.18,7.32,-0.45,7.33,-0.44,7.58,-0.19,7.34,-0.43,7.21,-0.55,7.46,-0.3,7.48,-0.29,7.5,-0.27,7.28,-0.48,7.24,-0.52,7.23,-0.54,6.91,-0.86,6.34,-1.42,7.38,-0.38,5.98,-1.79
海洋与地球科学学院,8.1,8,7.97,-0.14,8.26,0.16,8.12,0.02,8.25,0.15,7.86,-0.24,8.07,-0.03,7.86,-0.24,8.0,-0.11,7.89,-0.22,7.84,-0.26,8.21,0.11,7.73,-0.37,5.49,-2.61,5.51,-2.6,5.45,-2.65,5.72,-2.38
生命科学与技术学院,9.43,8,9.12,-0.31,9.41,-0.03,9.25,-0.18,9.41,-0.03,8.83,-0.61,9.06,-0.37,8.76,-0.67,8.91,-0.52,8.85,-0.59,8.72,-0.71,9.17,-0.26,8.66,-0.78,5.82,-3.61,5.85,-3.58,5.77,-3.67,6.03,-3.4
机械工程与机器人学院,11.02,11,10.88,-0.13,11.13,0.12,10.59,-0.42,10.75,-0.27,10.48,-0.53,10.44,-0.58,10.6,-0.42,10.54,-0.48,10.5,-0.52,10.38,-0.64,10.44,-0.58,10.3,-0.72,10.15,-0.87,9.74,-1.28,9.45,-1.56,10.85,-0.16
测绘与地理信息学院,7.1,5,7.34,0.24,7.04,-0.06,7.4,0.3,7.56,0.46,7.31,0.21,7.2,0.1,7.24,0.14,7.35,0.25,7.38,0.28,7.17,0.07,6.99,-0.11,7.2,0.1,6.89,-0.21,5.69,-1.41,5.66,-1.44,5.93,-1.17
计算机科学与技术学院（软件学院）,17.83,12,17.27,-0.56,17.55,-0.28,15.58,-2.25,16.07,-1.76,16.51,-1.32,16.19,-1.64,16.16,-1.67,15.51,-2.32,15.64,-2.2,15.11,-2.72,15.96,-1.87,15.13,-2.7,13.85,-3.99,10.83,-7.0,11.11,-6.73,14.81,-3.03
汽车与能源学院,12.3,11,12.14,-0.16,12.28,-0.02,12.46,0.16,12.47,0.17,11.04,-1.26,11.53,-0.77,11.16,-1.14,11.48,-0.82,11.35,-0.95,11.42,-0.88,11.72,-0.58,11.32,-0.98,11.44,-0.86,11.7,-0.6,11.6,-0.7,11.19,-1.11
材料科学与工程学院,10.37,9,10.08,-0.28,10.11,-0.26,10.26,-0.11,10.4,0.03,9.54,-0.83,9.42,-0.94,9.6,-0.77,9.81,-0.56,9.69,-0.68,9.63,-0.74,9.41,-0.96,9.52,-0.84,7.77,-2.6,7.61,-2.76,7.45,-2.92,7.65,-2.72
