大类,部门名称,组织员人数,编制人数,本科生,研究生,留学生人数,长期留学生人数,折合学生数,在编-教师,公共课学分,公共课数量,是否公共课,预算约束人数,在编-教辅,在编-思政,在编-管理,在编-工勤,博士后,双轨制,学校经费派遣,部门经费派遣,项目经费派遣,可上报高研院,不可上报高研院,可上报柔性,不可上报柔性,劳动合同制专职科研人员,一年制科研助理
理,物理科学与工程学院,1,6,500,533,17,7,1302.3,110,40.5,15,1,10,20,1,8,1,34,3,0,0,27,6,0,2,3,7,2
理,数学科学学院,1,6,467,257,16,6,854.9,82,101,22,1,7,2,2,5,0,13,4,0,1,0,6,0,0,1,0,0
理,化学科学与工程学院,1,7,260,395,5,5,854.5,65,30,12,1,7,15,4,7,0,28,3,0,0,1,6,0,1,1,0,0
理,海洋与地球科学学院,1,8,194,375,22,22,765.3,92,0,0,0,8,19,2,8,0,39,8,0,3,4,7,1,1,4,0,0
理,生命科学与技术学院,1,8,337,644,17,10,1307,109,0,0,0,11,15,2,7,0,99,6,0,4,16,14,0,0,3,0,3
工,机械工程与机器人学院,2,11,991,759,51,48,2148.7,62,23,8,1,16,12,5,10,0,71,7,0,5,14,4,0,0,3,0,0
工,测绘与地理信息学院,1,5,341,393,17,2,931.3,57,5,2,1,6,5,2,6,0,20,1,0,2,4,3,0,3,2,0,1
工,计算机科学与技术学院（软件学院）,2,12,1491,816,118,89,2750.6,124,33.5,14,1,15,11,7,11,0,27,3,0,9,2,6,0,1,9,0,1
工,汽车与能源学院,2,11,1021,1132,13,8,2722.2,118,0,0,0,13,21,5,9,1,9,2,3,33,25,3,0,2,2,0,5
工,材料科学与工程学院,1,9,491,688,16,15,1529,92,2,1,1,11,17,2,8,1,26,6,0,0,0,20,0,0,6,0,1
工,电子与信息工程学院,2,16,1685,1201,163,97,3525.3,219,14,5,1,20,20,7,13,0,40,5,0,11,19,8,0,0,7,4,5
工,环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,2,17,375,1278,248,202,2372.8,162,0,0,0,16,18,7,14,0,60,5,0,15,13,7,0,2,6,5,2
工,土木工程学院,5,27,882,2716,489,375,5106,273,7,3,1,33,42,8,25,0,249,10,1,57,70,21,0,4,14,2,3
工,交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,2,20,975,1490,104,47,3228.8,192,0,0,0,22,51,7,19,1,56,4,2,16,29,7,2,0,13,2,2
工,建筑与城市规划学院,3,20,822,1362,720,381,3017.4,232,0,0,0,22,14,6,18,0,92,8,2,40,3,7,0,1,10,0,22
工,航空航天与力学学院,1,7,433,375,13,7,998.3,80,17,5,1,7,16,2,5,0,25,6,0,1,2,10,0,0,1,1,0
工,中德工程学院，职业技术教育学院,1,5,640,94,236,107,823.8,26,0,0,0,5,7,4,8,0,0,2,0,12,0,0,0,0,0,0,5
医,医学院,4,22,1227,2903,218,184,5655.1,139,0,0,0,30,41,8,17,0,405,11,5,52,21,8,1,3,11,1,2
文,设计创意学院,1,9,470,322,181,142,1009.8,55,0,0,0,8,0,3,5,0,23,7,0,24,4,3,7,1,1,2,5
文,人文学院,1,7,312,305,18,16,775.9,92,2,1,1,7,0,4,6,0,37,1,0,1,0,0,0,0,0,0,1
文,外国语学院,1,12,370,249,14,13,748.7,148,54,25,1,11,5,1,13,0,7,4,0,0,0,0,0,0,4,0,0
文,经济与管理学院,2,22,931,1240,558,532,3003.8,168,2,1,1,21,2,8,25,0,62,2,0,92,7,3,0,1,8,10,8
