部门名称,大类,2026实际编制,全局GPR预测,部分池化预测,GPR_std,官方参数1_backup,官方参数2_backup,正科_全局(20%),副科_全局(30%),科级以下_全局(50%),正科_部分池化(20%),副科_部分池化(30%),科级以下_部分池化(50%)
物理科学与工程学院,理,6,6.01,6.01,0.57,10.18,11.0,1.0,1.5,2.5,1.0,1.5,2.5
数学科学学院,理,6,6.34,6.23,0.55,7.8,8.0,1.07,1.6,2.67,1.05,1.57,2.61
化学科学与工程学院,理,7,6.65,6.77,0.55,6.69,7.0,1.13,1.7,2.83,1.15,1.73,2.89
海洋与地球科学学院,理,8,7.89,7.93,0.57,7.93,9.0,1.38,2.07,3.45,1.39,2.08,3.46
生命科学与技术学院,理,8,8.01,8.01,0.57,9.98,11.0,1.4,2.1,3.51,1.4,2.1,3.5
机械工程与机器人学院,工,11,11.25,11.12,0.57,9.49,9.0,1.85,2.77,4.62,1.82,2.73,4.56
测绘与地理信息学院,工,5,5.21,5.09,0.55,6.46,7.0,0.84,1.26,2.11,0.82,1.23,2.05
计算机科学与技术学院（软件学院）,工,12,11.77,11.89,0.57,14.39,14.0,1.95,2.93,4.89,1.98,2.97,4.95
汽车与能源学院,工,11,11.01,11.01,0.57,13.65,13.0,1.8,2.7,4.5,1.8,2.7,4.5
材料科学与工程学院,工,9,9.13,9.06,0.57,9.59,10.0,1.63,2.44,4.06,1.61,2.42,4.03
电子与信息工程学院,工,16,15.89,15.95,0.57,21.17,21.0,2.78,4.17,6.95,2.79,4.18,6.97
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,工,17,16.89,16.95,0.57,14.7,15.0,2.98,4.47,7.45,2.99,4.48,7.47
土木工程学院,工,27,26.77,26.89,0.57,26.05,25.0,4.35,6.53,10.89,4.38,6.57,10.95
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,工,20,20.06,20.04,0.57,18.55,18.0,3.61,5.42,9.03,3.61,5.41,9.02
建筑与城市规划学院,工,20,20.13,20.06,0.57,19.98,20.0,3.43,5.14,8.56,3.41,5.12,8.53
航空航天与力学学院,工,7,7.01,7.01,0.57,7.92,9.0,1.2,1.8,3.0,1.2,1.8,3.0
中德工程学院，职业技术教育学院,工,5,5.37,5.17,0.57,null,null,0.87,1.31,2.18,0.83,1.25,2.09
医学院,医,22,21.65,21.71,0.57,20.15,18.0,3.53,5.3,8.83,3.54,5.31,8.86
设计创意学院,文,9,8.89,8.95,0.57,6.51,7.0,1.58,2.37,3.95,1.59,2.38,3.97
人文学院,文,7,7.01,7.0,0.57,8.06,9.0,1.2,1.8,3.0,1.2,1.8,3.0
外国语学院,文,12,12.01,12.0,0.57,11.14,12.0,2.2,3.3,5.5,2.2,3.3,5.5
经济与管理学院,文,22,22.01,22.0,0.57,16.44,16.0,4.0,6.0,10.0,4.0,6.0,10.0
政治与国际关系学院,文,3,3.18,3.08,0.56,5.0,6.0,0.44,0.66,1.09,0.42,0.62,1.04
艺术与传媒学院,文,7,7.12,7.05,0.57,7.83,8.0,1.22,1.84,3.06,1.21,1.82,3.03
上海国际知识产权学院,文,4,4.01,4.0,0.57,3.6,4.0,0.6,0.9,1.5,0.6,0.9,1.5
马克思主义学院,文,8,8.01,8.0,0.57,5.89,7.0,1.4,2.1,3.5,1.4,2.1,3.5
国际文化交流学院,文,4,4.11,4.05,0.56,3.0,4.0,0.62,0.93,1.56,0.61,0.91,1.52
法学院,文,6,6.01,6.0,0.57,5.72,6.0,1.0,1.5,2.5,1.0,1.5,2.5
体育部（国际足球学院）,文,11,11.13,11.06,0.57,7.38,8.0,2.03,3.04,5.06,2.01,3.02,5.03
医学与生命科学部,医,2,2.0,2.0,0.0,null,null,0.2,0.3,0.5,0.2,0.3,0.5
出国培训学院，留德预备部,文,0,0.01,0.0,0.57,null,null,0.0,0.0,0.0,0.0,0.0,0.0
网络教育学院，继续教育学院,文,9,10.82,9.72,0.49,null,null,1.96,2.95,4.91,1.74,2.62,4.36
中德学院,文,3,3.0,3.0,0.0,null,null,0.4,0.6,1.0,0.4,0.6,1.0
创新创业学院,文,8,8.0,8.0,0.0,null,null,1.4,2.1,3.5,1.4,2.1,3.5
新生院,工,3,3.0,3.0,0.0,null,null,0.4,0.6,1.0,0.4,0.6,1.0
国豪书院（未来技术学院）,工,8,8.0,8.0,0.0,null,null,1.2,1.8,3.0,1.2,1.8,3.0
国家卓越工程师学院，国际工程师学院,工,7,7.11,7.04,0.5,null,null,1.22,1.83,3.05,1.21,1.81,3.02
中意工程创新学院,工,4,1.82,3.15,0.49,null,null,0.16,0.25,0.41,0.43,0.65,1.08
启迪书院,工,4,3.89,3.96,0.55,null,null,0.58,0.87,1.45,0.59,0.89,1.48
口腔医学院,医,0,0.0,0.0,0.52,null,null,0.0,0.0,0.0,0.0,0.0,0.0
上海自主智能无人系统科学中心,工,11,10.9,10.97,0.56,null,null,1.78,2.67,4.45,1.79,2.69,4.48
同济大学上海国际设计创新学院,文,0,0.0,0.0,0.54,null,null,0.0,0.0,0.0,0.0,0.0,0.0
