部门名称,大类,官方参数1_backup,官方参数2_backup,2026实际编制,本_研_师_派遣_高研院_部分池化预测,本_研_师_派遣_高研院_部分池化vs参数1差值,本_研_师_派遣_高研院_部分池化vs参数2差值,本_研_师_公课数量_派遣_高研院_部分池化预测,本_研_师_公课数量_派遣_高研院_部分池化vs参数1差值,本_研_师_公课数量_派遣_高研院_部分池化vs参数2差值,本_研_师_是否公课_派遣_高研院_部分池化预测,本_研_师_是否公课_派遣_高研院_部分池化vs参数1差值,本_研_师_是否公课_派遣_高研院_部分池化vs参数2差值
物理科学与工程学院,理,10.18,11,6,6.01,-4.17,-4.99,6.01,-4.17,-4.99,6.01,-4.17,-4.99
数学科学学院,理,7.8,8,6,6.23,-1.58,-1.77,6.23,-1.58,-1.77,6.23,-1.58,-1.77
化学科学与工程学院,理,6.69,7,7,6.77,0.08,-0.23,6.77,0.08,-0.23,6.77,0.08,-0.23
海洋与地球科学学院,理,7.93,9,8,7.93,-0.01,-1.07,7.93,-0.01,-1.07,7.93,-0.01,-1.07
生命科学与技术学院,理,9.98,11,8,8.01,-1.97,-2.99,8.01,-1.97,-2.99,8.01,-1.97,-2.99
机械工程与机器人学院,工,9.49,9,11,11.12,1.63,2.12,11.12,1.63,2.12,11.12,1.63,2.12
测绘与地理信息学院,工,6.46,7,5,5.09,-1.37,-1.91,5.09,-1.37,-1.91,5.09,-1.37,-1.91
计算机科学与技术学院（软件学院）,工,14.39,14,12,11.89,-2.5,-2.11,11.89,-2.5,-2.11,11.89,-2.5,-2.11
汽车与能源学院,工,13.65,13,11,11.01,-2.64,-1.99,11.01,-2.64,-1.99,11.01,-2.64,-1.99
材料科学与工程学院,工,9.59,10,9,9.06,-0.52,-0.94,9.06,-0.52,-0.94,9.06,-0.52,-0.94
电子与信息工程学院,工,21.17,21,16,15.95,-5.22,-5.05,15.95,-5.22,-5.05,15.95,-5.22,-5.05
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,工,14.7,15,17,16.95,2.25,1.95,16.95,2.25,1.95,16.95,2.25,1.95
土木工程学院,工,26.05,25,27,26.89,0.84,1.89,26.89,0.84,1.89,26.89,0.84,1.89
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,工,18.55,18,20,20.04,1.49,2.04,20.04,1.49,2.04,20.04,1.49,2.04
建筑与城市规划学院,工,19.98,20,20,20.06,0.08,0.06,20.06,0.08,0.06,20.06,0.08,0.06
航空航天与力学学院,工,7.92,9,7,7.01,-0.92,-1.99,7.01,-0.92,-1.99,7.01,-0.92,-1.99
中德工程学院，职业技术教育学院,工,null,null,5,5.17,,,5.17,,,5.17,,
