部门名称,大类,2026实际编制,全局GPR预测,部分池化预测,GPR_std,官方参数1_backup,官方参数2_backup,正科_全局(20%),副科_全局(30%),科级以下_全局(50%),正科_部分池化(20%),副科_部分池化(30%),科级以下_部分池化(50%)
物理科学与工程学院,理,6,9.83,8.54,2.08,10.18,11.0,1.77,2.65,4.42,1.51,2.26,3.77
数学科学学院,理,6,7.3,6.86,2.08,7.8,8.0,1.26,1.89,3.15,1.17,1.76,2.93
化学科学与工程学院,理,7,6.96,6.97,2.06,6.69,7.0,1.19,1.79,2.98,1.19,1.79,2.99
海洋与地球科学学院,理,8,8.19,8.12,2.09,7.93,9.0,1.44,2.16,3.59,1.42,2.14,3.56
生命科学与技术学院,理,8,10.21,9.46,2.1,9.98,11.0,1.84,2.76,4.61,1.69,2.54,4.23
机械工程与机器人学院,工,11,9.14,10.19,2.21,9.49,9.0,1.43,2.14,3.57,1.64,2.46,4.09
测绘与地理信息学院,工,5,6.6,5.97,2.06,6.46,7.0,1.12,1.68,2.8,0.99,1.49,2.49
计算机科学与技术学院（软件学院）,工,12,12.6,12.21,2.31,14.39,14.0,2.12,3.18,5.3,2.04,3.06,5.11
汽车与能源学院,工,11,13.72,12.18,2.18,13.65,13.0,2.34,3.52,5.86,2.04,3.05,5.09
材料科学与工程学院,工,9,9.6,9.27,2.09,9.59,10.0,1.72,2.58,4.3,1.65,2.48,4.13
电子与信息工程学院,工,16,17.18,16.44,2.57,21.17,21.0,3.04,4.55,7.59,2.89,4.33,7.22
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,工,17,16.5,16.77,2.31,14.7,15.0,2.9,4.35,7.25,2.95,4.43,7.39
土木工程学院,工,27,26.26,26.65,2.65,26.05,25.0,4.25,6.38,10.63,4.33,6.5,10.83
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,工,20,19.36,19.64,2.18,18.55,18.0,3.47,5.21,8.68,3.53,5.29,8.82
建筑与城市规划学院,工,20,20.46,20.23,2.32,19.98,20.0,3.49,5.24,8.73,3.45,5.17,8.61
航空航天与力学学院,工,7,7.63,6.97,2.06,7.92,9.0,1.33,1.99,3.31,1.19,1.79,2.99
中德工程学院，职业技术教育学院,工,5,4.76,4.92,2.15,null,null,0.75,1.13,1.88,0.78,1.18,1.96
医学院,医,22,21.91,21.9,2.7,20.15,18.0,3.58,5.37,8.95,3.58,5.37,8.95
设计创意学院,文,9,6.32,7.86,2.06,6.51,7.0,1.06,1.6,2.66,1.37,2.06,3.43
人文学院,文,7,7.91,7.35,2.08,8.06,9.0,1.38,2.07,3.46,1.27,1.9,3.17
外国语学院,文,12,10.53,11.12,2.27,11.14,12.0,1.91,2.86,4.76,2.02,3.04,5.06
经济与管理学院,文,22,16.87,19.08,2.14,16.44,16.0,2.97,4.46,7.43,3.42,5.12,8.54
政治与国际关系学院,文,3,5.55,4.23,2.05,5.0,6.0,0.91,1.37,2.28,0.65,0.97,1.62
艺术与传媒学院,文,7,7.11,7.04,2.1,7.83,8.0,1.22,1.83,3.05,1.21,1.81,3.02
上海国际知识产权学院,文,4,5.2,4.66,2.1,3.6,4.0,0.84,1.26,2.1,0.73,1.1,1.83
马克思主义学院,文,8,6.5,7.37,2.09,5.89,7.0,1.1,1.65,2.75,1.27,1.91,3.19
国际文化交流学院,文,4,4.42,4.36,2.08,3.0,4.0,0.68,1.02,1.71,0.67,1.01,1.68
法学院,文,6,5.87,6.02,2.05,5.72,6.0,0.97,1.46,2.44,1.0,1.51,2.51
体育部（国际足球学院）,文,11,7.34,9.36,2.14,7.38,8.0,1.27,1.9,3.17,1.67,2.51,4.18
医学与生命科学部,医,2,2.0,2.0,0.0,null,null,0.2,0.3,0.5,0.2,0.3,0.5
出国培训学院，留德预备部,文,0,3.97,1.97,2.11,null,null,0.79,1.19,1.98,0.39,0.59,0.98
网络教育学院，继续教育学院,文,9,4.02,6.98,2.11,null,null,0.6,0.91,1.51,1.2,1.79,2.99
中德学院,文,3,3.83,4.79,2.12,null,null,0.57,0.85,1.42,0.76,1.14,1.89
创新创业学院,文,8,3.83,5.05,2.12,null,null,0.57,0.85,1.42,0.81,1.22,2.03
新生院,工,3,3.73,3.45,2.11,null,null,0.55,0.82,1.37,0.49,0.74,1.23
国豪书院（未来技术学院）,工,8,7.03,7.67,2.63,null,null,1.01,1.51,2.51,1.13,1.7,2.84
国家卓越工程师学院，国际工程师学院,工,7,7.0,7.0,0.0,null,null,1.2,1.8,3.0,1.2,1.8,3.0
中意工程创新学院,工,4,4.0,4.0,0.0,null,null,0.6,0.9,1.5,0.6,0.9,1.5
启迪书院,工,4,3.74,3.86,2.22,null,null,0.55,0.82,1.37,0.57,0.86,1.43
口腔医学院,医,0,3.92,3.27,2.12,null,null,0.58,0.87,1.46,0.45,0.68,1.13
上海自主智能无人系统科学中心,工,11,5.1,8.51,2.2,null,null,0.62,0.93,1.55,1.3,1.95,3.25
同济大学上海国际设计创新学院,文,0,4.12,2.02,2.12,null,null,0.82,1.24,2.06,0.4,0.61,1.01
