部门名称,大类,2026实际编制,全局GPR预测,部分池化预测,GPR_std,官方参数1_backup,官方参数2_backup,正科_全局(20%),副科_全局(30%),科级以下_全局(50%),正科_部分池化(20%),副科_部分池化(30%),科级以下_部分池化(50%)
物理科学与工程学院,理,6,9.28,8.18,2.19,10.18,11.0,1.66,2.48,4.14,1.44,2.15,3.59
数学科学学院,理,6,7.45,6.96,2.35,7.8,8.0,1.29,1.93,3.22,1.19,1.79,2.98
化学科学与工程学院,理,7,6.8,6.86,2.2,6.69,7.0,1.16,1.74,2.9,1.17,1.76,2.93
海洋与地球科学学院,理,8,8.37,8.24,2.11,7.93,9.0,1.47,2.21,3.68,1.45,2.17,3.62
生命科学与技术学院,理,8,10.45,9.62,2.11,9.98,11.0,1.89,2.84,4.73,1.72,2.59,4.31
机械工程与机器人学院,工,11,9.02,10.23,2.24,9.49,9.0,1.4,2.1,3.51,1.65,2.47,4.11
测绘与地理信息学院,工,5,6.85,6.1,2.05,6.46,7.0,1.17,1.75,2.92,1.02,1.53,2.55
计算机科学与技术学院（软件学院）,工,12,11.76,11.92,2.48,14.39,14.0,1.95,2.93,4.88,1.98,2.98,4.96
汽车与能源学院,工,11,14.08,12.27,2.18,13.65,13.0,2.42,3.62,6.04,2.05,3.08,5.13
材料科学与工程学院,工,9,9.92,9.28,2.09,9.59,10.0,1.78,2.68,4.46,1.66,2.48,4.14
电子与信息工程学院,工,16,17.74,16.65,2.53,21.17,21.0,3.15,4.72,7.87,2.93,4.39,7.32
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,工,17,16.26,16.69,2.26,14.7,15.0,2.85,4.28,7.13,2.94,4.41,7.35
土木工程学院,工,27,26.04,26.57,2.61,26.05,25.0,4.21,6.31,10.52,4.31,6.47,10.79
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,工,20,19.21,19.6,2.17,18.55,18.0,3.44,5.16,8.61,3.52,5.28,8.8
建筑与城市规划学院,工,20,20.19,20.13,2.29,19.98,20.0,3.44,5.16,8.6,3.43,5.14,8.56
航空航天与力学学院,工,7,7.67,7.12,2.09,7.92,9.0,1.33,2.0,3.34,1.22,1.84,3.06
中德工程学院，职业技术教育学院,工,5,5.14,4.86,2.14,null,null,0.83,1.24,2.07,0.77,1.16,1.93
医学院,医,22,21.99,21.97,2.66,20.15,18.0,3.6,5.4,8.99,3.59,5.39,8.99
设计创意学院,文,9,6.78,8.03,2.07,6.51,7.0,1.16,1.73,2.89,1.41,2.11,3.52
人文学院,文,7,8.1,7.42,2.1,8.06,9.0,1.42,2.13,3.55,1.28,1.93,3.21
外国语学院,文,12,9.97,10.91,2.53,11.14,12.0,1.79,2.69,4.48,1.98,2.97,4.95
经济与管理学院,文,22,16.81,19.06,2.13,16.44,16.0,2.96,4.44,7.41,3.41,5.12,8.53
政治与国际关系学院,文,3,5.77,4.31,2.05,5.0,6.0,0.95,1.43,2.39,0.66,0.99,1.66
艺术与传媒学院,文,7,7.41,7.16,2.1,7.83,8.0,1.28,1.92,3.21,1.23,1.85,3.08
上海国际知识产权学院,文,4,5.21,4.66,2.09,3.6,4.0,0.84,1.26,2.11,0.73,1.1,1.83
马克思主义学院,文,8,6.3,7.3,2.26,5.89,7.0,1.06,1.59,2.65,1.26,1.89,3.15
国际文化交流学院,文,4,4.38,4.35,2.07,3.0,4.0,0.68,1.02,1.69,0.67,1.0,1.67
法学院,文,6,6.2,6.15,2.06,5.72,6.0,1.04,1.56,2.6,1.03,1.54,2.57
体育部（国际足球学院）,文,11,7.45,9.4,2.18,7.38,8.0,1.29,1.93,3.22,1.68,2.52,4.2
医学与生命科学部,医,2,2.0,2.0,0.0,null,null,0.2,0.3,0.5,0.2,0.3,0.5
出国培训学院，留德预备部,文,0,3.76,1.89,2.1,null,null,0.75,1.13,1.88,0.38,0.57,0.94
网络教育学院，继续教育学院,文,9,3.82,6.91,2.1,null,null,0.56,0.85,1.41,1.18,1.77,2.95
中德学院,文,3,3.62,4.71,2.11,null,null,0.52,0.78,1.31,0.74,1.11,1.85
创新创业学院,文,8,3.61,4.97,2.11,null,null,0.52,0.78,1.31,0.79,1.19,1.99
新生院,工,3,3.57,3.43,2.1,null,null,0.51,0.77,1.28,0.49,0.73,1.22
国豪书院（未来技术学院）,工,8,6.8,7.57,2.6,null,null,0.96,1.44,2.4,1.11,1.67,2.79
国家卓越工程师学院，国际工程师学院,工,7,7.0,7.0,0.0,null,null,1.2,1.8,3.0,1.2,1.8,3.0
中意工程创新学院,工,4,4.0,4.0,0.0,null,null,0.6,0.9,1.5,0.6,0.9,1.5
启迪书院,工,4,3.95,4.05,2.18,null,null,0.59,0.89,1.48,0.61,0.91,1.52
口腔医学院,医,0,4.11,3.43,2.1,null,null,0.62,0.93,1.55,0.49,0.73,1.21
上海自主智能无人系统科学中心,工,11,5.2,8.48,2.17,null,null,0.64,0.96,1.6,1.3,1.94,3.24
同济大学上海国际设计创新学院,文,0,4.04,1.99,2.11,null,null,0.81,1.21,2.02,0.4,0.6,0.99
