部门名称,大类,2026实际编制,全局GPR预测,部分池化预测,GPR_std,官方参数1_backup,官方参数2_backup,正科_全局(20%),副科_全局(30%),科级以下_全局(50%),正科_部分池化(20%),副科_部分池化(30%),科级以下_部分池化(50%)
物理科学与工程学院,理,6,9.78,8.5,2.08,10.18,11.0,1.76,2.63,4.39,1.5,2.25,3.75
数学科学学院,理,6,7.33,6.88,2.08,7.8,8.0,1.27,1.9,3.16,1.18,1.76,2.94
化学科学与工程学院,理,7,6.81,6.87,2.07,6.69,7.0,1.16,1.74,2.9,1.17,1.76,2.94
海洋与地球科学学院,理,8,7.97,7.97,2.12,7.93,9.0,1.39,2.09,3.48,1.39,2.09,3.49
生命科学与技术学院,理,8,10.03,9.34,2.37,9.98,11.0,1.81,2.71,4.52,1.67,2.5,4.17
机械工程与机器人学院,工,11,9.5,10.25,2.35,9.49,9.0,1.5,2.25,3.75,1.65,2.48,4.13
测绘与地理信息学院,工,5,6.52,6.85,2.06,6.46,7.0,1.1,1.66,2.76,1.17,1.75,2.92
计算机科学与技术学院（软件学院）,工,12,12.65,12.14,2.32,14.39,14.0,2.13,3.19,5.32,2.03,3.04,5.07
汽车与能源学院,工,11,13.28,12.8,2.31,13.65,13.0,2.26,3.38,5.64,2.16,3.24,5.4
材料科学与工程学院,工,9,9.53,9.53,2.1,9.59,10.0,1.71,2.56,4.27,1.71,2.56,4.26
电子与信息工程学院,工,16,17.02,16.62,2.58,21.17,21.0,3.0,4.51,7.51,2.92,4.39,7.31
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,工,17,16.34,16.46,2.34,14.7,15.0,2.87,4.3,7.17,2.89,4.34,7.23
土木工程学院,工,27,26.5,26.64,2.73,26.05,25.0,4.3,6.45,10.75,4.33,6.49,10.82
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,工,20,19.22,18.68,2.25,18.55,18.0,3.44,5.17,8.61,3.34,5.0,8.34
建筑与城市规划学院,工,20,20.7,20.23,2.37,19.98,20.0,3.54,5.31,8.85,3.45,5.17,8.61
航空航天与力学学院,工,7,7.56,7.39,2.06,7.92,9.0,1.31,1.97,3.28,1.28,1.92,3.19
中德工程学院，职业技术教育学院,工,5,4.82,4.77,2.16,null,null,0.76,1.15,1.91,0.75,1.13,1.89
医学院,医,22,21.74,21.76,2.81,20.15,18.0,3.55,5.32,8.87,3.55,5.33,8.88
设计创意学院,文,9,6.23,7.83,2.07,6.51,7.0,1.05,1.57,2.62,1.37,2.05,3.41
人文学院,文,7,7.74,7.28,2.1,8.06,9.0,1.35,2.02,3.37,1.26,1.89,3.14
外国语学院,文,12,10.58,11.14,2.32,11.14,12.0,1.92,2.87,4.79,2.03,3.04,5.07
经济与管理学院,文,22,17.04,19.15,2.16,16.44,16.0,3.01,4.51,7.52,3.43,5.14,8.57
政治与国际关系学院,文,3,5.68,4.28,2.06,5.0,6.0,0.94,1.4,2.34,0.66,0.98,1.64
艺术与传媒学院,文,7,7.21,7.08,2.13,7.83,8.0,1.24,1.86,3.11,1.22,1.83,3.04
上海国际知识产权学院,文,4,5.32,4.7,2.11,3.6,4.0,0.86,1.3,2.16,0.74,1.11,1.85
马克思主义学院,文,8,6.62,7.42,2.1,5.89,7.0,1.12,1.69,2.81,1.28,1.93,3.21
国际文化交流学院,文,4,4.5,4.39,2.08,3.0,4.0,0.7,1.05,1.75,0.68,1.02,1.69
法学院,文,6,6.01,6.07,2.06,5.72,6.0,1.0,1.5,2.5,1.01,1.52,2.54
体育部（国际足球学院）,文,11,7.54,9.43,2.16,7.38,8.0,1.31,1.96,3.27,1.69,2.53,4.22
医学与生命科学部,医,2,2.0,2.0,0.0,null,null,0.2,0.3,0.5,0.2,0.3,0.5
出国培训学院，留德预备部,文,0,3.99,1.97,2.11,null,null,0.8,1.2,2.0,0.39,0.59,0.99
网络教育学院，继续教育学院,文,9,4.05,6.99,2.11,null,null,0.61,0.92,1.53,1.2,1.8,3.0
中德学院,文,3,3.84,4.79,2.12,null,null,0.57,0.85,1.42,0.76,1.14,1.9
创新创业学院,文,8,3.84,5.06,2.12,null,null,0.57,0.85,1.42,0.81,1.22,2.03
新生院,工,3,3.74,4.51,2.11,null,null,0.55,0.82,1.37,0.7,1.05,1.75
国豪书院（未来技术学院）,工,8,7.0,7.18,2.64,null,null,1.0,1.5,2.5,1.04,1.56,2.59
国家卓越工程师学院，国际工程师学院,工,7,7.0,7.0,0.0,null,null,1.2,1.8,3.0,1.2,1.8,3.0
中意工程创新学院,工,4,4.0,4.0,0.0,null,null,0.6,0.9,1.5,0.6,0.9,1.5
启迪书院,工,4,3.74,4.12,2.22,null,null,0.55,0.82,1.37,0.62,0.94,1.56
口腔医学院,医,0,3.67,3.06,2.13,null,null,0.53,0.8,1.33,0.41,0.62,1.03
上海自主智能无人系统科学中心,工,11,5.19,6.54,2.22,null,null,0.64,0.96,1.6,0.91,1.36,2.27
同济大学上海国际设计创新学院,文,0,4.15,2.03,2.12,null,null,0.83,1.25,2.08,0.41,0.61,1.02
