部门名称,大类,2026实际编制,全局GPR预测,部分池化预测,GPR_std,官方参数1_backup,官方参数2_backup,正科_全局(20%),副科_全局(30%),科级以下_全局(50%),正科_部分池化(20%),副科_部分池化(30%),科级以下_部分池化(50%)
物理科学与工程学院,理,6,9.91,8.58,2.11,10.18,11.0,1.78,2.67,4.45,1.52,2.27,3.79
数学科学学院,理,6,7.1,6.73,2.12,7.8,8.0,1.22,1.83,3.05,1.15,1.72,2.87
化学科学与工程学院,理,7,6.73,6.82,2.14,6.69,7.0,1.15,1.72,2.87,1.16,1.74,2.91
海洋与地球科学学院,理,8,8.47,8.31,2.15,7.93,9.0,1.49,2.24,3.74,1.46,2.19,3.66
生命科学与技术学院,理,8,10.47,9.63,2.15,9.98,11.0,1.89,2.84,4.74,1.73,2.59,4.32
机械工程与机器人学院,工,11,9.28,10.28,2.29,9.49,9.0,1.46,2.19,3.64,1.66,2.49,4.14
测绘与地理信息学院,工,5,6.39,5.72,2.14,6.46,7.0,1.08,1.62,2.69,0.94,1.42,2.36
计算机科学与技术学院（软件学院）,工,12,12.73,12.31,2.36,14.39,14.0,2.15,3.22,5.37,2.06,3.09,5.16
汽车与能源学院,工,11,13.7,12.16,2.27,13.65,13.0,2.34,3.51,5.85,2.03,3.05,5.08
材料科学与工程学院,工,9,9.75,9.33,2.13,9.59,10.0,1.75,2.62,4.37,1.67,2.5,4.16
电子与信息工程学院,工,16,17.54,16.57,2.56,21.17,21.0,3.11,4.66,7.77,2.91,4.37,7.29
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,工,17,16.33,16.75,2.32,14.7,15.0,2.87,4.3,7.16,2.95,4.43,7.38
土木工程学院,工,27,26.62,26.8,2.71,26.05,25.0,4.32,6.49,10.81,4.36,6.54,10.9
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,工,20,18.84,19.37,2.27,18.55,18.0,3.37,5.05,8.42,3.47,5.21,8.69
建筑与城市规划学院,工,20,19.86,20.02,2.41,19.98,20.0,3.37,5.06,8.43,3.4,5.11,8.51
航空航天与力学学院,工,7,7.5,7.02,2.1,7.92,9.0,1.3,1.95,3.25,1.2,1.81,3.01
中德工程学院，职业技术教育学院,工,5,5.0,4.98,2.17,null,null,0.8,1.2,2.0,0.8,1.19,1.99
医学院,医,22,21.55,21.6,2.71,20.15,18.0,3.51,5.26,8.77,3.52,5.28,8.8
设计创意学院,文,9,6.66,7.99,2.1,6.51,7.0,1.13,1.7,2.83,1.4,2.1,3.49
人文学院,文,7,7.71,7.27,2.12,8.06,9.0,1.34,2.01,3.36,1.25,1.88,3.14
外国语学院,文,12,10.41,11.08,2.31,11.14,12.0,1.88,2.82,4.71,2.02,3.02,5.04
经济与管理学院,文,22,17.23,19.22,2.26,16.44,16.0,3.05,4.57,7.62,3.44,5.17,8.61
政治与国际关系学院,文,3,5.8,4.32,2.07,5.0,6.0,0.96,1.44,2.4,0.66,1.0,1.66
艺术与传媒学院,文,7,6.92,6.97,2.15,7.83,8.0,1.18,1.77,2.96,1.19,1.79,2.99
上海国际知识产权学院,文,4,5.31,4.7,2.1,3.6,4.0,0.86,1.29,2.16,0.74,1.11,1.85
马克思主义学院,文,8,6.01,7.19,2.21,5.89,7.0,1.0,1.5,2.51,1.24,1.86,3.09
国际文化交流学院,文,4,4.5,4.39,2.08,3.0,4.0,0.7,1.05,1.75,0.68,1.02,1.69
法学院,文,6,6.17,6.13,2.08,5.72,6.0,1.03,1.55,2.58,1.03,1.54,2.57
体育部（国际足球学院）,文,11,7.62,9.46,2.21,7.38,8.0,1.32,1.99,3.31,1.69,2.54,4.23
医学与生命科学部,医,2,2.0,2.0,0.0,null,null,0.2,0.3,0.5,0.2,0.3,0.5
出国培训学院，留德预备部,文,0,3.91,1.95,2.11,null,null,0.78,1.17,1.96,0.39,0.58,0.97
网络教育学院，继续教育学院,文,9,3.98,6.96,2.11,null,null,0.6,0.89,1.49,1.19,1.79,2.98
中德学院,文,3,3.76,4.76,2.11,null,null,0.55,0.83,1.38,0.75,1.13,1.88
创新创业学院,文,8,3.76,5.03,2.11,null,null,0.55,0.83,1.38,0.81,1.21,2.01
新生院,工,3,3.69,3.54,2.11,null,null,0.54,0.81,1.34,0.51,0.76,1.27
国豪书院（未来技术学院）,工,8,6.73,7.52,2.64,null,null,0.95,1.42,2.37,1.1,1.66,2.76
国家卓越工程师学院，国际工程师学院,工,7,7.0,7.0,0.0,null,null,1.2,1.8,3.0,1.2,1.8,3.0
中意工程创新学院,工,4,4.0,4.0,0.0,null,null,0.6,0.9,1.5,0.6,0.9,1.5
启迪书院,工,4,3.87,3.93,2.21,null,null,0.57,0.86,1.43,0.59,0.88,1.46
口腔医学院,医,0,4.05,3.38,2.11,null,null,0.61,0.91,1.52,0.48,0.71,1.19
上海自主智能无人系统科学中心,工,11,5.21,8.54,2.19,null,null,0.64,0.96,1.6,1.31,1.96,3.27
同济大学上海国际设计创新学院,文,0,4.11,2.02,2.12,null,null,0.82,1.23,2.05,0.4,0.61,1.01
