部门名称,大类,官方参数1_backup,官方参数2_backup,2026实际编制,本_研_师_全局预测,本_研_师_全局vs参数1差值,本_研_师_全局vs参数2差值,本_研_师_部分池化预测,本_研_师_部分池化vs参数1差值,本_研_师_部分池化vs参数2差值,本_研_师_是否公课_全局预测,本_研_师_是否公课_全局vs参数1差值,本_研_师_是否公课_全局vs参数2差值,本_研_师_是否公课_部分池化预测,本_研_师_是否公课_部分池化vs参数1差值,本_研_师_是否公课_部分池化vs参数2差值,本_研_师_博士后_全局预测,本_研_师_博士后_全局vs参数1差值,本_研_师_博士后_全局vs参数2差值,本_研_师_博士后_部分池化预测,本_研_师_博士后_部分池化vs参数1差值,本_研_师_博士后_部分池化vs参数2差值
物理科学与工程学院,理,10.18,11.0,6,9.83,-0.34,-1.17,8.54,-1.64,-2.46,9.91,-0.27,-1.09,8.58,-1.59,-2.42,9.78,-0.4,-1.22,8.5,-1.68,-2.5
数学科学学院,理,7.8,8.0,6,7.3,-0.5,-0.7,6.86,-0.94,-1.14,7.1,-0.71,-0.9,6.73,-1.07,-1.27,7.33,-0.48,-0.67,6.88,-0.92,-1.12
化学科学与工程学院,理,6.69,7.0,7,6.96,0.27,-0.04,6.97,0.29,-0.03,6.73,0.04,-0.27,6.82,0.13,-0.18,6.81,0.12,-0.19,6.87,0.19,-0.13
海洋与地球科学学院,理,7.93,9.0,8,8.19,0.26,-0.81,8.12,0.19,-0.88,8.47,0.54,-0.53,8.31,0.38,-0.69,7.97,0.03,-1.03,7.97,0.04,-1.03
生命科学与技术学院,理,9.98,11.0,8,10.21,0.23,-0.79,9.46,-0.52,-1.54,10.47,0.49,-0.53,9.63,-0.35,-1.37,10.03,0.05,-0.97,9.34,-0.64,-1.66
机械工程与机器人学院,工,9.49,9.0,11,9.14,-0.35,0.14,10.19,0.7,1.19,9.28,-0.2,0.28,10.28,0.8,1.28,9.5,0.02,0.5,10.25,0.77,1.25
测绘与地理信息学院,工,6.46,7.0,5,6.6,0.13,-0.4,5.97,-0.49,-1.03,6.39,-0.08,-0.61,5.72,-0.74,-1.28,6.52,0.06,-0.48,6.85,0.38,-0.15
计算机科学与技术学院（软件学院）,工,14.39,14.0,12,12.6,-1.8,-1.4,12.21,-2.18,-1.79,12.73,-1.66,-1.27,12.31,-2.08,-1.69,12.65,-1.75,-1.35,12.14,-2.26,-1.86
汽车与能源学院,工,13.65,13.0,11,13.72,0.08,0.72,12.18,-1.47,-0.82,13.7,0.05,0.7,12.16,-1.49,-0.84,13.28,-0.36,0.28,12.8,-0.85,-0.2
材料科学与工程学院,工,9.59,10.0,9,9.6,0.01,-0.4,9.27,-0.32,-0.73,9.75,0.16,-0.25,9.33,-0.26,-0.67,9.53,-0.05,-0.47,9.53,-0.06,-0.47
