部门名称,2026实际编制,差分GPR预测(含组织员),GPR_std,官方参数1_backup,官方参数2_backup,正科(20%),副科(30%),科级以下(50%)
物理科学与工程学院,6,5.98,0.5,10.18,11.0,1.0,1.49,2.49
数学科学学院,6,6.0,0.54,7.8,8.0,1.0,1.5,2.5
化学科学与工程学院,7,6.74,0.51,6.69,7.0,1.15,1.72,2.87
海洋与地球科学学院,8,7.94,0.58,7.93,9.0,1.39,2.08,3.47
生命科学与技术学院,8,8.43,0.51,9.98,11.0,1.49,2.23,3.72
机械工程与机器人学院,11,11.15,0.58,9.49,9.0,1.83,2.74,4.57
测绘与地理信息学院,5,5.51,0.45,6.46,7.0,0.9,1.35,2.25
计算机科学与技术学院（软件学院）,12,11.86,0.58,14.39,14.0,1.97,2.96,4.93
汽车与能源学院,11,11.01,0.58,13.65,13.0,1.8,2.7,4.5
材料科学与工程学院,9,9.08,0.58,9.59,10.0,1.62,2.42,4.04
电子与信息工程学院,16,15.8,0.57,21.17,21.0,2.76,4.14,6.9
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,17,16.94,0.58,14.7,15.0,2.99,4.48,7.47
土木工程学院,27,26.87,0.58,26.05,25.0,4.37,6.56,10.94
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,20,20.15,0.53,18.55,18.0,3.63,5.44,9.07
建筑与城市规划学院,20,20.15,0.57,19.98,20.0,3.43,5.14,8.57
航空航天与力学学院,7,6.97,0.57,7.92,9.0,1.19,1.79,2.98
中德工程学院，职业技术教育学院,5,5.22,0.58,null,null,0.84,1.27,2.11
医学院,22,21.73,0.57,20.15,18.0,3.55,5.32,8.87
设计创意学院,9,9.01,0.57,6.51,7.0,1.6,2.4,4.01
人文学院,7,7.07,0.56,8.06,9.0,1.21,1.82,3.03
外国语学院,12,12.0,0.54,11.14,12.0,2.2,3.3,5.5
经济与管理学院,22,22.12,0.57,16.44,16.0,4.02,6.04,10.06
政治与国际关系学院,3,3.69,0.5,5.0,6.0,0.54,0.81,1.34
艺术与传媒学院,7,7.08,0.58,7.83,8.0,1.22,1.82,3.04
上海国际知识产权学院,4,3.94,0.55,3.6,4.0,0.59,0.88,1.47
马克思主义学院,8,8.06,0.5,5.89,7.0,1.41,2.12,3.53
国际文化交流学院,4,4.3,0.46,3.0,4.0,0.66,0.99,1.65
法学院,6,5.75,0.46,5.72,6.0,0.95,1.43,2.38
体育部（国际足球学院）,11,11.08,0.58,7.38,8.0,2.02,3.02,5.04
医学与生命科学部,2,2.0,0.0,null,null,0.2,0.3,0.5
出国培训学院，留德预备部,0,0.0,0.48,null,null,0.0,0.0,0.0
网络教育学院，继续教育学院,9,9.0,0.0,null,null,1.6,2.4,4.0
中德学院,3,3.0,0.0,null,null,0.4,0.6,1.0
创新创业学院,8,7.32,0.44,null,null,1.26,1.9,3.16
新生院,3,2.35,0.49,null,null,0.27,0.4,0.67
国豪书院（未来技术学院）,8,8.53,0.43,null,null,1.31,1.96,3.27
国家卓越工程师学院，国际工程师学院,7,8.09,0.47,null,null,1.42,2.13,3.54
中意工程创新学院,4,2.09,0.47,null,null,0.22,0.33,0.54
启迪书院,4,4.92,0.46,null,null,0.78,1.18,1.96
口腔医学院,0,0.0,0.43,null,null,0.0,0.0,0.0
上海自主智能无人系统科学中心,11,10.8,0.46,null,null,1.76,2.64,4.4
同济大学上海国际设计创新学院,0,0.0,0.43,null,null,0.0,0.0,0.0
