部门名称,官方参数1_backup,官方参数2_backup,2026实际编制,本_研_师_在编_博士后_高研院_预测,本_研_师_在编_博士后_高研院_vs参数1差值,本_研_师_在编_博士后_高研院_vs参数2差值,本_研_师_公课数量_在编_博士后_高研院_预测,本_研_师_公课数量_在编_博士后_高研院_vs参数1差值,本_研_师_公课数量_在编_博士后_高研院_vs参数2差值,本_研_师_是否公课_在编_博士后_高研院_预测,本_研_师_是否公课_在编_博士后_高研院_vs参数1差值,本_研_师_是否公课_在编_博士后_高研院_vs参数2差值
物理科学与工程学院,10.18,11.0,6,5.98,-4.2,-5.02,5.98,-4.2,-5.02,5.98,-4.2,-5.02
数学科学学院,7.8,8.0,6,6.0,-1.8,-2.0,6.0,-1.8,-2.0,6.0,-1.8,-2.0
化学科学与工程学院,6.69,7.0,7,6.74,0.05,-0.26,6.74,0.05,-0.26,6.74,0.05,-0.26
海洋与地球科学学院,7.93,9.0,8,7.94,0.01,-1.06,7.94,0.01,-1.06,7.94,0.01,-1.06
生命科学与技术学院,9.98,11.0,8,8.43,-1.55,-2.57,8.43,-1.55,-2.57,8.43,-1.55,-2.57
机械工程与机器人学院,9.49,9.0,11,11.15,1.66,2.15,11.15,1.66,2.15,11.15,1.66,2.15
测绘与地理信息学院,6.46,7.0,5,5.51,-0.96,-1.49,5.51,-0.96,-1.49,5.51,-0.96,-1.49
计算机科学与技术学院（软件学院）,14.39,14.0,12,11.86,-2.54,-2.14,11.86,-2.54,-2.14,11.86,-2.54,-2.14
汽车与能源学院,13.65,13.0,11,11.01,-2.64,-1.99,11.01,-2.64,-1.99,11.01,-2.64,-1.99
材料科学与工程学院,9.59,10.0,9,9.08,-0.5,-0.92,9.08,-0.5,-0.92,9.08,-0.5,-0.92
电子与信息工程学院,21.17,21.0,16,15.8,-5.37,-5.2,15.8,-5.37,-5.2,15.8,-5.37,-5.2
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,14.7,15.0,17,16.94,2.24,1.94,16.94,2.24,1.94,16.94,2.24,1.94
土木工程学院,26.05,25.0,27,26.87,0.82,1.87,26.87,0.82,1.87,26.87,0.82,1.87
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,18.55,18.0,20,20.15,1.6,2.15,20.15,1.6,2.15,20.15,1.6,2.15
建筑与城市规划学院,19.98,20.0,20,20.15,0.17,0.15,20.15,0.17,0.15,20.15,0.17,0.15
航空航天与力学学院,7.92,9.0,7,6.97,-0.96,-2.03,6.97,-0.96,-2.03,6.97,-0.96,-2.03
中德工程学院，职业技术教育学院,null,null,5,5.22,,,5.22,,,5.22,,
医学院,20.15,18.0,22,21.73,1.58,3.73,21.73,1.58,3.73,21.73,1.58,3.73
设计创意学院,6.51,7.0,9,9.01,2.5,2.01,9.01,2.5,2.01,9.01,2.5,2.01
人文学院,8.06,9.0,7,7.07,-0.99,-1.93,7.07,-0.99,-1.93,7.07,-0.99,-1.93
外国语学院,11.14,12.0,12,12.0,0.87,0.0,12.0,0.87,0.0,12.0,0.87,0.0
经济与管理学院,16.44,16.0,22,22.12,5.68,6.12,22.12,5.68,6.12,22.12,5.68,6.12
政治与国际关系学院,5.0,6.0,3,3.69,-1.31,-2.31,3.69,-1.31,-2.31,3.69,-1.31,-2.31
艺术与传媒学院,7.83,8.0,7,7.08,-0.76,-0.92,7.08,-0.76,-0.92,7.08,-0.76,-0.92
上海国际知识产权学院,3.6,4.0,4,3.94,0.34,-0.06,3.94,0.34,-0.06,3.94,0.34,-0.06
马克思主义学院,5.89,7.0,8,8.06,2.17,1.06,8.06,2.17,1.06,8.06,2.17,1.06
国际文化交流学院,3.0,4.0,4,4.3,1.3,0.3,4.3,1.3,0.3,4.3,1.3,0.3
法学院,5.72,6.0,6,5.75,0.03,-0.25,5.75,0.03,-0.25,5.75,0.03,-0.25
体育部（国际足球学院）,7.38,8.0,11,11.08,3.7,3.08,11.08,3.7,3.08,11.08,3.7,3.08
医学与生命科学部,null,null,2,2.0,,,2.0,,,2.0,,
出国培训学院，留德预备部,null,null,0,0.0,,,0.0,,,0.0,,
网络教育学院，继续教育学院,null,null,9,9.0,,,9.0,,,9.0,,
中德学院,null,null,3,3.0,,,3.0,,,3.0,,
创新创业学院,null,null,8,7.32,,,7.32,,,7.32,,
新生院,null,null,3,2.35,,,2.35,,,2.35,,
国豪书院（未来技术学院）,null,null,8,8.53,,,8.53,,,8.53,,
国家卓越工程师学院，国际工程师学院,null,null,7,8.09,,,8.09,,,8.09,,
中意工程创新学院,null,null,4,2.09,,,2.09,,,2.09,,
启迪书院,null,null,4,4.92,,,4.92,,,4.92,,
口腔医学院,null,null,0,0.0,,,0.0,,,0.0,,
上海自主智能无人系统科学中心,null,null,11,10.8,,,10.8,,,10.8,,
同济大学上海国际设计创新学院,null,null,0,0.0,,,0.0,,,0.0,,
【汇总】R²,,,,0.995,,,0.995,,,0.995,,
【汇总】MAPE(%),,,,5.095,,,5.095,,,5.095,,
【汇总】t_p(均值检验),,,,0.813,,,0.813,,,0.813,,
【汇总】均值检验结论,,,,通过,,,通过,,,通过,,
【汇总】F_p(方差检验),,,,0.999,,,0.999,,,0.999,,
【汇总】方差检验结论,,,,通过,,,通过,,,通过,,
【汇总】Levene_p,,,,0.983,,,0.983,,,0.983,,
【汇总】Levene检验结论,,,,通过,,,通过,,,通过,,
【汇总】MAE_vs参数1,,,,1.725,,,1.725,,,1.725,,
【汇总】RMSE_vs参数1,,,,2.267,,,2.267,,,2.267,,
【汇总】MAE_vs参数2,,,,1.954,,,1.954,,,1.954,,
【汇总】RMSE_vs参数2,,,,2.482,,,2.482,,,2.482,,
【汇总】信号方差,,,,1.490476,,,1.490476,,,1.490476,,
【汇总】长度尺度,,,,0.919672,,,0.919672,,,0.919672,,
【汇总】噪声方差,,,,0.1,,,0.1,,,0.1,,
【汇总】log边际似然,,,,-60.185324,,,-60.185324,,,-60.185324,,
