部门名称,2026实际编制,GPR预测(含组织员),GPR_std,官方参数1_backup,官方参数2_backup,正科(20%),副科(30%),科级以下(50%)
物理科学与工程学院,6,9.83,2.08,10.18,11.0,1.77,2.65,4.42
数学科学学院,6,7.3,2.08,7.8,8.0,1.26,1.89,3.15
化学科学与工程学院,7,6.96,2.06,6.69,7.0,1.19,1.79,2.98
海洋与地球科学学院,8,8.19,2.09,7.93,9.0,1.44,2.16,3.59
生命科学与技术学院,8,10.21,2.1,9.98,11.0,1.84,2.76,4.61
机械工程与机器人学院,11,9.14,2.21,9.49,9.0,1.43,2.14,3.57
测绘与地理信息学院,5,6.6,2.06,6.46,7.0,1.12,1.68,2.8
计算机科学与技术学院（软件学院）,12,12.6,2.31,14.39,14.0,2.12,3.18,5.3
汽车与能源学院,11,13.72,2.18,13.65,13.0,2.34,3.52,5.86
材料科学与工程学院,9,9.6,2.09,9.59,10.0,1.72,2.58,4.3
电子与信息工程学院,16,17.18,2.57,21.17,21.0,3.04,4.55,7.59
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,17,16.5,2.31,14.7,15.0,2.9,4.35,7.25
土木工程学院,27,26.26,2.65,26.05,25.0,4.25,6.38,10.63
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,20,19.36,2.18,18.55,18.0,3.47,5.21,8.68
建筑与城市规划学院,20,20.46,2.32,19.98,20.0,3.49,5.24,8.73
航空航天与力学学院,7,7.63,2.06,7.92,9.0,1.33,1.99,3.31
中德工程学院，职业技术教育学院,5,4.76,2.15,null,null,0.75,1.13,1.88
医学院,22,21.91,2.7,20.15,18.0,3.58,5.37,8.95
设计创意学院,9,6.32,2.06,6.51,7.0,1.06,1.6,2.66
人文学院,7,7.91,2.08,8.06,9.0,1.38,2.07,3.46
外国语学院,12,10.53,2.27,11.14,12.0,1.91,2.86,4.76
经济与管理学院,22,16.87,2.14,16.44,16.0,2.97,4.46,7.43
政治与国际关系学院,3,5.55,2.05,5.0,6.0,0.91,1.37,2.28
艺术与传媒学院,7,7.11,2.1,7.83,8.0,1.22,1.83,3.05
上海国际知识产权学院,4,5.2,2.1,3.6,4.0,0.84,1.26,2.1
马克思主义学院,8,6.5,2.09,5.89,7.0,1.1,1.65,2.75
国际文化交流学院,4,4.42,2.08,3.0,4.0,0.68,1.02,1.71
法学院,6,5.87,2.05,5.72,6.0,0.97,1.46,2.44
体育部（国际足球学院）,11,7.34,2.14,7.38,8.0,1.27,1.9,3.17
医学与生命科学部,2,2.0,0.0,null,null,0.2,0.3,0.5
出国培训学院，留德预备部,0,3.97,2.11,null,null,0.79,1.19,1.98
网络教育学院，继续教育学院,9,4.02,2.11,null,null,0.6,0.91,1.51
中德学院,3,3.83,2.12,null,null,0.57,0.85,1.42
创新创业学院,8,3.83,2.12,null,null,0.57,0.85,1.42
新生院,3,3.73,2.11,null,null,0.55,0.82,1.37
国豪书院（未来技术学院）,8,7.03,2.63,null,null,1.01,1.51,2.51
国家卓越工程师学院，国际工程师学院,7,7.0,0.0,null,null,1.2,1.8,3.0
中意工程创新学院,4,4.0,0.0,null,null,0.6,0.9,1.5
启迪书院,4,3.74,2.22,null,null,0.55,0.82,1.37
口腔医学院,0,3.92,2.12,null,null,0.58,0.87,1.46
上海自主智能无人系统科学中心,11,5.1,2.2,null,null,0.62,0.93,1.55
同济大学上海国际设计创新学院,0,4.12,2.12,null,null,0.82,1.24,2.06
